pred_prob,f_1,f_2
0,-507.4108137,-459.3637711
0,149.48867335916796,-64.44130436
0,-633.7614379,-532.9972236
0,181.88804601836057,654.4209126390264
0,-184.3680646,-800.0076622
0,-685.312452,-385.4643634
0,-63.91926071,-906.9486151
0,8.839637769117529,-521.2371146
0.013,-598.3776502,46.562153727597085
0,-742.1161586,-179.0212218
0,725.9800181,58.683076547035505
0.006,126.12900709014279,-631.680879
0,-655.2123435,-336.6287189
0,695.9874134760107,-82.88670425
0,-566.7727277,-221.597918
0,-82.91061326,-632.3055999
0,-80.70396413,-223.0394617
0,874.9175546946248,-625.947068
0,-373.2157571,-576.1213867
0,-765.7134801,-10.48136972
0.002,323.2982972487881,-202.004427
0,-131.971493,-869.6352932
0,-289.7407167,-828.7472943
0,4.957721520921291,755.6760925534454
0.001,-5.263162926,-600.7987426
0,-320.1045735,-518.5911327
0,633.9798680083834,664.7652496137156
0,-448.0313539,-456.3449767
0,206.84599657650062,453.9201589
0,-497.9003308,-563.8113299
0.002,693.5523406128463,-244.0151003
0.001,-232.6128931,-957.4050544
0,-745.9657675,22.37704100272728
0,33.33661063769769,-58.56893905
0,-138.5707134,-341.1595068
0,-510.3100937,-473.4161599
0.004,96.27749036218694,83.93729587602239
0,-619.3228914,-132.0932673
0,-526.9020008,-745.5329506
0,-399.1271798,-312.9248203
0,-354.5754871,-738.1925189
0,-629.9481112,-597.4394851
0.002,-222.4018572,10.753840670423505
0,-103.0319509,-303.5012731
0,-731.5281157,-653.4161416
0,209.41189672769175,-242.1392152
0,-53.53030998,-899.9707049
0.001,-408.4987217,253.87631127726408
0,1016.8782154278415,-206.5026635
0,241.81832811964122,-823.440592
0.183,-287.2032701,615.6816082
0.2,908.4335413630072,-643.5610043
0.122,175.94352837503746,-331.5526063
0.144,621.2477643340562,302.4573909208708
0.106,-1115.52009,-27.87869402
0.123,418.8626785,-196.5855071
0.134,765.1032839,-138.3850086
0.138,43.06874873,757.5942915
0.118,494.58623864431684,481.9853939589959
0.138,532.9026510243281,-280.3772176
0.166,311.8771359345941,-947.5703516
0.173,-881.886035,408.8036114852752
0.173,-796.2104375,-479.9040956
0.183,-183.7386636,205.52597746023196
0.108,738.0385452430644,-265.6543276
0.128,160.73040142891813,1300.3887917966006
0.109,1218.2333219110571,-620.8417255
0.108,-124.6160863,-827.9372353
0.119,1512.6134610364873,-236.0413394
0.111,966.2684188074529,-444.4866521
0.176,-922.8312188,1191.1592003357016
0.129,-47.24693581,-305.2797062
0.153,-857.5278944,110.69508504003649
0.142,-263.9538428,376.97208926431176
0.146,-85.49483671,80.50314398208063
0.184,888.2408511681614,-911.0246389
0.14,357.8668335488891,393.92213989442865
0.177,972.7976664268399,-277.0833255
0.111,577.8032087538168,-372.3103558
0.145,20.477599415070365,83.47530888474134
0.183,371.33363638549326,482.4696534809341
0.106,167.17266389383101,-445.1159627
0.2,-649.9661159,490.3541467
0.138,232.05868675258304,-279.9998358
0.177,1269.3383279567756,-68.26145547
0.14,296.0076379553024,194.61104886121112
0.146,1120.2517416522794,403.0380643216356
0.103,1240.7164940756825,-263.485048
0.113,646.8014941884368,629.6316193614588
0.109,985.2587381264611,1051.7212418071442
0.19,-359.4973122,-390.1505458
0.156,-1122.995348,212.92749815707262
0.132,-880.8977468,-102.9448698
0.105,-225.2445235,-3.653270226
0.193,992.4762876057091,467.0019561587264
0.113,-554.0711543,586.4440093
0.137,-656.1964738,-944.7622116
0.109,253.04070041908503,304.9002242714505
0.159,-893.1853424,-609.0187427
0.101,-458.0631872,776.9717981581905
0.287,-1169.385623,410.2442258797667
0.213,-489.6477074,-327.8674255
0.276,847.2377497264881,-500.8163716
0.226,-45.03154955,281.5992929227134
0.249,39.7491106,675.6463548467274
0.202,990.4732852271603,-29.88320097
0.227,490.7165177480141,-169.2753289
0.201,-640.7329695,313.52330698077435
0.237,-1180.18222,-370.8288362
0.267,-398.7502801,6.074644319400456
0.204,-626.4919588,27.637133926617167
0.235,-342.1565065,679.9103139461607
0.262,-938.9060789,671.3451892772513
0.259,-999.5431194,547.9204894
0.25,-526.6050194,-194.785027
0.235,-365.2487831,-166.1878925
0.206,859.8810965656476,923.1519384
0.22,-991.4136223,-74.59207662
0.224,-999.3355538,-456.4686226
0.297,-1146.057555,626.7687682
0.281,965.8892597730813,-182.4331402
0.24,43.97161943557429,-225.4035725
0.223,432.3496055768093,-159.4886243
0.234,-843.2495956,-741.6408513
0.21,-1273.19899,263.8281277522602
0.269,679.4812376285518,24.250108958455662
0.258,-1044.695813,635.391715
0.218,209.7899861207586,-853.4034904
0.231,-954.8658047,-654.7390045
0.203,-976.3420763,-387.4818797
0.294,165.4096578967666,158.77071907885636
0.248,91.33072989602009,-1177.872408
0.277,-990.4528035,-22.87025769
0.274,451.10501666488994,-802.5005259
0.224,274.45163059099144,474.3412498879663
0.252,-528.7320414,-262.6768042
0.238,158.7562115130105,176.06224054431993
0.264,1224.2258358606023,-415.7295959
0.213,841.1228446123988,500.6581251998499
0.281,607.6220787802489,809.5476374632838
0.208,-106.6268071,706.0760303
0.252,-77.59503674,-582.7046789
0.259,-235.9532671,802.4282618129944
0.218,672.9450808309726,589.9186900756176
0.264,1023.700074162754,-87.76700707
0.254,-99.84752464,-299.0082497
0.204,-921.893832,480.12759036317965
0.288,290.2712979753745,-465.6077404
0.228,1.8661634749132239,337.8108515369382
0.27,-133.8282493,-443.9476122
0.326,944.6865334,620.6744343974808
0.3,651.7291799605911,-912.3757439
0.32,-77.17688735,-345.0281715
0.318,-209.3627144,368.6406955253844
0.329,219.43940597930253,63.71301708869363
0.391,592.1668321734787,-1084.923775
0.344,-490.8358444,646.2914549045089
0.391,-843.1795977,92.38779043590817
0.32,808.6830823,809.4925182834493
0.377,764.2456245,1267.2537094632742
0.326,-746.6763806,-415.3443172
0.352,266.7762388404454,-918.1279021
0.331,282.8743447941986,1004.1904782099435
0.338,-77.8610003,144.4625016
0.348,-1258.893291,365.0634736886247
0.31,195.0325652794876,26.792239
0.384,-232.559205,204.86465424123702
0.31,-334.3516764,-145.4848795
0.383,202.06401883134524,258.3772486032503
0.344,-587.3938945,-1005.435546
0.373,-51.41123476,149.59057259850246
0.314,690.0662668,331.97357731482555
0.329,-533.5531061,501.3384228729053
0.31,-1271.301169,406.47840408579424
0.367,-1172.655729,-85.99928686
0.393,-773.0301261,-915.8755741
0.324,-426.9902801,631.9340059521498
0.303,547.0828653950927,37.81582558629679
0.383,710.5024382318148,532.674026
0.356,359.2841885859717,195.73881650647306
0.359,380.0751076315638,294.5782901425001
0.342,388.2543469075711,-835.0472916
0.384,-837.236333,-38.37230731
0.347,-692.8776782,17.955299844422207
0.382,-73.22686248,374.46460824010046
0.398,1072.620971982233,474.6365317060527
0.301,-766.3663934,356.2611745445494
0.314,-189.0476398,789.6718015233455
0.366,281.5648910551174,-908.7646326
0.388,1123.2378434240334,550.7223733088786
0.33,497.4350381461241,151.67051321032437
0.38,108.70445167164803,539.2178927
0.346,-110.9407832,1355.6208683421194
0.316,252.35616253781737,1141.9684847564663
0.314,454.21789078759343,-813.8764939
0.334,773.1496425,-646.7269302
0.32,-393.1528707,-626.2081647
0.344,-311.953134,126.40820855159583
0.345,-1130.004729,-141.0146194
0.395,-133.9401553,533.0118642979467
0.498,1213.5119273833097,-202.5374388
0.434,-475.4693043,-147.1541857
0.44,364.42282187242205,-187.0897895
0.439,-476.475291,-1052.455862
0.495,-585.2083458,708.9513779448275
0.412,1082.8681979935595,-276.1783589
0.476,656.2282508823614,144.9492883800206
0.425,-814.1422969,-513.1732079
0.407,224.54359968715667,467.7155258266574
0.427,-378.7624035,-664.972384
0.465,-621.7674479,352.89713146677457
0.471,862.1390389920405,-84.44728919
0.408,-318.7593266,1197.5018889715277
0.431,1209.7058128769618,-513.1141611
0.48,841.4980050033839,1051.3861353926459
0.407,619.2136343579372,1113.6165427653598
0.486,-689.7608026,262.63554209044383
0.476,-68.03633564,613.4107544
0.404,-1145.4633,258.9186444079373
0.464,596.3485153842962,-123.4162294
0.412,282.36340773924314,-601.4219253
0.437,987.5093830709366,770.3788446822093
0.406,285.5034944,-884.8610643
0.447,-357.8904468,731.1636154587233
0.494,-622.8375319,603.8262399521858
0.481,190.23440415757767,767.8809752265857
0.413,108.72914105102937,-891.390358
0.453,-1007.186844,309.1019875015371
0.429,-1097.242751,-679.5571862
0.428,-130.6201477,1413.8739673898237
0.48,-150.0290663,304.8291838794915
0.456,-1245.221943,156.03819054482227
0.488,30.64955376,131.1784974312157
0.464,-1422.781866,-79.27057314
0.481,-406.5192506,-530.6881692
0.434,-265.7682232,-791.4573633
0.485,-622.1273222,21.586715699684397
0.418,505.64072846089454,-955.7983466
0.438,929.0862982821187,-522.4099592
0.409,103.75823612069264,-622.040752
0.477,822.8671047856712,119.05523590624388
0.472,-797.9615433,17.66900551
0.484,520.8719235155448,-437.3419978
0.435,518.0556507172623,-74.45552594
0.535,352.78219646213086,-537.8256405
0.581,-545.8973029,851.1430549846227
0.548,-783.2477745,-668.2195919
0.522,1023.6578063113449,-856.0142826
0.501,-130.5553342,-307.6190826
0.542,-210.901507,96.48981926
0.509,1151.1637892840206,-521.0352708
0.524,1237.7637158828918,-20.06312547
0.518,-1032.93161,-493.1822242
0.524,293.4123334421814,-157.8491166
0.523,-1095.339638,549.4064951810298
0.592,968.4665368481074,245.99641464753975
0.503,417.60847109545097,773.3605158931013
0.588,296.6925203631338,271.2258682325208
0.502,284.9859049327379,778.3634874
0.596,-275.633179,-326.7225638
0.512,-872.5618896,732.4902384057104
0.592,161.14718806128135,142.5176391
0.546,1077.9491692147856,-304.2584049
0.596,-86.72990028,-250.0082835
0.561,812.2459073389468,-21.32176662
0.533,966.2301299372944,-485.4178362
0.508,-541.2179552,-30.90199554
0.512,-785.2973394,-708.638837
0.511,718.5065763383569,320.78506787589805
0.506,36.37108157852826,-373.700672
