pred_prob,f_1,f_2,f_3,f_4,f_5
0,-507.4103147,-459.3614865,-203.8514831,-23.08913925,556.8860004
0,149.4870849,-64.43007017,334.8358253,-683.1642326,-538.8762038
0,-633.7608112,-532.993298,-204.046352,-617.0371221,115.1595849
0,181.8884376,654.4203649,701.1164279,-6.439685077,-115.072953
0,-184.3694895,-800.0099492,-111.5634102,392.6184361,-359.3628028
0,-685.3119223,-385.4609866,-114.8418564,-437.2457212,215.3815158
0,-63.91904422,-906.9538317,37.10711012,305.0682417,-31.38655338
0,8.840099593,-521.2372037,-391.2111359,293.3513167,-253.4867761
0.013,-598.3783328,46.57210284,-47.56884946,649.864928,-681.9915678
0,-742.1143165,-179.0236467,330.1088749,745.3474578,149.3256458
0,725.9791956,58.68694868,639.1429634,-15.48548521,230.2722151
0.006,126.1290793,-631.6798953,906.1338759,-93.84993489,-472.3671756
0,-655.211076,-336.6325326,-341.3460997,743.9737887,-27.92385099
0,695.988158,-82.89443893,598.2836434,517.0587909,191.5993615
0,-566.7710923,-221.5971045,-355.7942743,-663.463161,131.7619681
0,-82.9105961,-632.3156185,-288.2799678,539.0998793,-149.2114942
0,-80.70394825,-223.0359847,-208.2507126,-3.809340153,597.9103739
0,874.9180712,-625.9431063,659.6855802,-338.8069181,-311.0575991
0,-373.216033,-576.1231064,-362.2588123,498.8560369,-342.2823773
0,-765.7118663,-10.49162866,254.8697105,337.001258,450.2085611
0.002,323.2985811,-201.9996252,-355.0345458,-62.86388983,-1004.871983
0,-131.9718801,-869.6301926,503.6486822,66.21906388,-470.858885
0,-289.7418664,-828.7462377,-293.8470019,209.7497809,-185.2593709
0,4.957322794,755.6782079,1238.801114,625.9051342,-416.598834
0.001,-5.263670173,-600.7902676,-324.6043091,-39.26133098,337.100835
0,-320.1044667,-518.5982315,-329.2669259,817.321712,-288.3884131
0,633.9796012,664.7619857,582.9272312,263.7547235,92.65206992
0,-448.0300175,-456.3436498,-586.0996409,-530.1551619,67.48763401
0,206.8452333,453.9210084,-636.7625135,-243.8272647,329.5186391
0,-497.8993034,-563.8138067,-650.1301382,-480.1608952,160.0393863
0.002,693.5501297,-244.0149836,-715.5980176,212.6626806,128.6900563
0.001,-232.6128442,-957.4081287,450.2543316,43.14213678,-449.1970376
0,-745.9651742,22.373621,195.0366758,182.1630376,402.3642048
0,33.33566246,-58.56834096,563.1128894,-515.9792722,-226.6246001
0,-138.5701587,-341.1576619,-287.8809211,187.8543234,191.100756
0,-510.3082868,-473.4170024,-539.385269,-482.5248399,224.7548054
0.004,96.27733752,83.94364217,-62.9595671,-633.5971187,-8.015189426
0,-619.3214286,-132.0917818,-281.1881163,-446.1593229,172.1858389
0,-526.9010107,-745.5301695,-487.2687439,-661.5092459,155.9696983
0,-399.1263532,-312.9221203,-363.8376248,89.12682324,270.4321676
0,-354.5758589,-738.1970335,28.70714438,698.8435059,-200.3712746
0,-629.9483909,-597.4383354,120.6548248,-534.5191741,-149.1778265
0.002,-222.4020559,10.75593631,-660.9884083,-667.9175226,-211.8519817
0,-103.0318681,-303.5027899,-794.3470488,-237.851915,-119.3069341
0,-731.5283117,-653.415582,127.6366107,-331.0038423,-449.9955228
0,209.4118212,-242.1514658,24.31286819,1301.889685,-305.4973205
0,-53.5324157,-899.9655771,95.91305756,489.7980542,-368.1237668
0.001,-408.4994229,253.8832787,-436.4781839,-432.801444,-873.5816779
0,1016.878895,-206.5007165,825.2788405,165.7139284,-108.9850245
0,241.8172036,-823.4319051,731.7883305,-180.814602,-810.8714947
0.183,-287.2028173,615.6831122,-306.335954,-910.1877979,-463.2567773
