pred_prob,f_1
0,-507.4104918
0,149.48740192068527
0,-633.7610492
0,181.88733041258791
0,-184.3673348
0,-685.3120791
0,-63.91748614
0,8.839789747798045
0.013,-598.3768873
0,-742.1157688
0,725.9795673098452
0.006,126.13001798363995
0,-655.2109583
0,695.9866543281701
0,-566.7710757
0,-82.907841
0,-80.70356322
0,874.9174201899522
0,-373.2147772
0,-765.7124823
0.002,323.2967926702318
0,-131.9705373
0,-289.7400714
0,4.956901541106906
0.001,-5.263120903
0,-320.1033962
0,633.9785602239378
0,-448.0305196
0,206.84579629368702
0,-497.8988188
0.002,693.5508653422881
0.001,-232.6144767
0,-745.9653899
0,33.336740658725745
0,-138.5694784
0,-510.3087021
0.004,96.27693895510029
0,-619.3217834
0,-526.9017099
0,-399.1263997
0,-354.5727953
0,-629.9478095
0.002,-222.4018694
0,-103.030741
0,-731.5276127
0,209.4142551815786
0,-53.53043993
0.001,-408.5000658
0,1016.8789097724912
0,241.81960374092742
0.183,-287.2029118
0.2,908.4338656459378
0.122,175.94311597915421
0.144,621.2487891572192
0.106,-1115.520548
0.123,418.86482314311695
0.134,765.1014455560356
0.138,43.06815175037617
0.118,494.58359043327715
0.138,532.9010376039448
0.166,311.87567533684165
0.173,-881.8838425
0.173,-796.2136024
0.183,-183.7369006
0.108,738.0374514698775
0.128,160.73032522464612
0.109,1218.2344749531903
0.108,-124.6147891
0.119,1512.6143650828487
0.111,966.2692259719611
0.176,-922.8292753
0.129,-47.2473465
0.153,-857.5264322
0.142,-263.9525894
0.146,-85.49283831
0.184,888.2411711115504
0.14,357.8662689309608
0.177,972.7986438758321
0.111,577.8034163701828
0.145,20.477364019851162
0.183,371.3340024778999
0.106,167.17113188291393
0.2,-649.9670429
0.138,232.0587520991553
0.177,1269.3383686335912
0.14,296.0072719
0.146,1120.2520003010018
0.103,1240.716587706583
0.113,646.8028473696454
0.109,985.2588319388983
0.19,-359.4956125
0.156,-1122.996218
0.132,-880.8980707
0.105,-225.244097
0.193,992.4768116432222
0.113,-554.0716473
0.137,-656.195805
0.109,253.0417026271701
0.159,-893.1853076
0.101,-458.0631033
0.287,-1169.38609
0.213,-489.6452204
0.276,847.2374263761395
0.226,-45.03216441
0.249,39.74933540002611
0.202,990.4727104127184
0.227,490.71687281039596
0.201,-640.7330418
0.237,-1180.182013
0.267,-398.7498634
0.204,-626.4931091
0.235,-342.1571564
0.262,-938.9040827
0.259,-999.5423734
0.25,-526.604713
0.235,-365.2475406
0.206,859.8816123596782
0.22,-991.4140263
0.224,-999.3359132
0.297,-1146.056864
0.281,965.8905895492368
0.24,43.97329155179239
0.223,432.3486063421051
0.234,-843.2484941
0.21,-1273.1977
0.269,679.4817139512047
0.258,-1044.694123
0.218,209.79141379842238
0.231,-954.8654656
0.203,-976.3412689
0.294,165.40964961841118
0.248,91.33086643010509
0.277,-990.4542968
0.274,451.10395236129574
0.224,274.4499427002827
0.252,-528.7323477
0.238,158.75772735449706
0.264,1224.2252963427454
0.213,841.1215755742169
0.281,607.6218349707124
0.208,-106.6275956
0.252,-77.59353392
0.259,-235.9553158
0.218,672.945386
0.264,1023.6998089066738
0.254,-99.84874466
0.204,-921.8917811
0.288,290.2702004037827
0.228,1.8679012933312888
0.27,-133.8303918
0.326,944.6848869023388
0.3,651.7301299
0.32,-77.17681663
0.318,-209.3637639
0.329,219.44125185871522
0.391,592.1681246127416
0.344,-490.8342685
0.391,-843.1800375
0.32,808.6833498860266
0.377,764.2446822081716
0.326,-746.6764298
0.352,266.77506317685385
0.331,282.8741467525966
0.338,-77.86161507
0.348,-1258.894294
0.31,195.03435859110243
0.384,-232.5579964
0.31,-334.3522481
0.383,202.06304553978688
0.344,-587.3937759
0.373,-51.41059873
0.314,690.0666519449087
0.329,-533.5523231
0.31,-1271.301101
0.367,-1172.656356
0.393,-773.0296649
0.324,-426.9896739
0.303,547.0823573289257
0.383,710.5016837329429
0.356,359.2838578921037
0.359,380.07514534728557
0.342,388.2554031379956
0.384,-837.2361736
0.347,-692.8778237
0.382,-73.22765586
