pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50
0,-272.2392013,-696.204281,529.1802107,-298.9093525,85.66425689,-81.78708817,297.0553964,-700.9617224,186.3701848,-684.0394584,11.22949842,-9.463740139,-561.2344041,147.5584095,401.5009208,-191.4470091,214.5664924,-163.9112968,-76.88956315,-269.3559989,-256.4195785,-103.1761047,-217.9430649,-235.7281931,-297.6542141,114.2818596,191.1066893,-261.0477612,31.20696744,146.6304611,1.301136133,-216.2085552,-68.34423424,-197.9857024,-80.59114904,112.4011348,389.1596244,21.95368389,285.0412241,179.5602877,2.796768381,-10.73983563,39.00727003,-116.8113068,-60.95541252,-120.10778,107.6369399,-184.4299794,207.9931356,-176.1478354
0,229.2221597,393.4752156,-1012.896017,-673.1814192,454.4948093,116.8233831,-187.7674042,312.625121,-155.6604033,-199.4291744,341.7758118,152.9843289,-569.1185261,-363.9567014,559.967412,385.2778834,128.0033709,286.7929278,34.80857474,-397.1827523,231.0320404,-147.8742039,-83.23286879,-163.5490487,34.71366676,-75.69814639,51.25571317,38.98289729,-116.3158572,28.6418324,148.6619778,-164.330551,171.7336647,-112.9339459,183.030577,-237.6947034,-384.7080917,30.37929998,189.2981003,-31.17445448,14.25814719,323.3120399,152.3758516,-58.05657773,13.48139122,-274.3081428,29.82839062,146.2861732,117.3760875,18.60309889
0.002,-446.8203727,-845.6471211,-686.5707021,-317.8344637,-40.34483956,-102.1233537,-102.3504015,-170.0409758,-51.74200007,-51.2392444,321.9409374,-181.6689075,483.6367764,234.7596211,34.73262263,-54.14570766,15.14001807,-126.1176724,11.96932083,100.7167243,191.8552987,194.0870493,35.12536368,-181.6779897,108.2917607,-58.79215949,-271.8707106,-100.1388632,-148.0997451,133.1710565,-141.2269833,-212.3791512,66.32771122,-256.4948849,93.11948694,-53.52163752,206.0477425,326.2964711,-0.318831139,12.20634172,19.32088984,-13.87794091,141.7701757,136.3587667,103.3480755,-182.6510962,9.713310873,-58.36445516,96.30268038,130.4051446
0,274.6063336,713.8827453,598.2602823,20.38640316,465.2835464,509.8149464,34.00677128,-127.173939,-254.2114118,-737.566352,386.9236724,-509.9454578,-79.15670691,602.1932863,547.4334684,-114.9647294,-460.8127846,227.4223559,102.073043,-510.3714588,288.6619014,-352.1311425,66.03586941,239.1538682,254.3338754,114.1835826,-108.2360093,-49.36120586,83.86680196,211.2410935,-153.5110505,161.4197589,-208.532516,-67.57255806,-42.8009168,59.06725817,9.893137169,301.9519387,-284.748017,20.63847954,45.082324,44.16659923,71.16356421,104.5225596,-246.4933657,5.882897664,-89.7218124,0.920052602,-21.19875244,-314.2452397
0,185.6275512,-435.7905623,831.7418826,-693.699626,-380.9626466,276.9845622,188.0506557,-182.234579,-229.1873319,549.7926082,-369.0214168,-148.1542324,-487.1941694,492.0126178,386.649266,23.69420519,-26.31519154,-223.6102927,-261.7342255,352.9893511,133.6567728,-235.8712826,237.8646366,18.02876696,446.0700284,-67.42422008,37.09861167,-152.2945467,105.7545844,163.0092693,-43.27740727,-168.1256872,278.5643957,338.9168528,182.5362081,-36.66663847,-207.6789453,55.63683997,103.7415061,104.1276413,-127.4899345,219.3331061,-61.78039854,-33.46507225,-92.49529159,-16.59623846,74.9091332,-222.7784699,6.492668855,9.735120339
0,-456.3927599,-817.6562602,-681.1425067,0.818348626,64.59452413,-367.200323,-140.005579,-165.277911,28.38739173,-29.98145925,291.6417821,-325.2431629,490.2885712,250.6984437,29.69350055,89.26748116,-55.71862101,-102.0978107,-11.52698401,204.53147,167.0076393,230.8173756,12.12047301,-58.90128456,-12.76946556,-134.7760504,-291.7113053,-68.59761188,-128.244287,38.62149762,-114.1846284,-137.7141913,67.96234262,-319.7849028,-29.1655088,-92.05299976,243.8679655,273.2083862,31.4198446,-31.90131013,60.01116631,85.77528455,124.159615,126.5583434,-24.76627311,-118.1366888,-20.55798599,-87.28205469,42.32449538,62.96779652
0.01,251.9891894,-535.3214533,492.2688069,-605.4567104,-173.8738449,-367.7874195,56.14882577,-719.8667981,-509.8526433,-197.5170041,-68.87027413,629.8246791,-186.4009342,-306.9598212,-97.11724561,-16.59860637,374.518483,-199.5990578,-413.3133166,-9.264044313,-29.39020507,62.35982208,-235.338568,66.56613265,-49.64385122,-187.1604161,43.96650029,260.2853821,-14.39061771,-47.87335515,-64.58504026,217.584529,28.55132499,440.9306557,-152.3081967,-96.064921,183.6677409,-80.79321608,182.4998539,185.9820611,60.01233299,-323.5986498,5.77157876,45.00287435,64.96190882,32.0629631,2.066155094,-288.1835743,-56.03354835,166.771901
0,416.4762088,-476.6126051,5.113621058,-326.8300329,284.7974451,223.77371,792.4024312,436.8956401,-186.1241909,187.525646,-343.8549363,-220.5442339,393.0057581,-113.2229155,-198.9459632,-553.0339914,107.5316054,-108.4399806,91.70921928,60.0361685,-193.8560195,-133.5009271,-48.59938034,-6.533781885,540.9224632,71.04498475,216.3516448,-456.3243499,137.3574268,-78.2790806,310.8608893,211.3822178,-174.3572324,-366.0872035,-154.5403392,0.727663302,311.8456471,11.0240626,23.42361779,-71.23522856,88.29989329,9.398570253,2.815657452,-89.51102341,31.84677898,86.35567806,-34.59161819,58.58622246,-24.35610676,-54.01445431
0,-104.803116,-223.7723947,449.6201298,13.46829938,124.1584369,451.6954929,65.86897219,-161.6542169,-419.2632969,1052.575996,848.5171514,71.93860616,-85.09690764,200.1062179,548.6565151,168.387699,346.8822702,-198.2152443,57.15125048,295.3294989,321.9364062,-406.6521407,-116.3527905,189.1709434,-138.1194856,-99.76392961,-244.6815696,-131.3965258,-316.9234496,-302.4512345,-117.3609823,-225.0629268,-83.17561401,265.9222951,-90.7784082,-126.4864488,-233.5460805,-22.65930012,-92.71432711,177.0826624,51.4717644,168.883861,-68.67074109,-29.22786595,-433.0571303,232.115765,4.193693522,232.0736947,185.6533451,181.4913543
0,-478.3824701,-331.3072386,968.7736184,109.755923,651.7859593,-318.9615583,44.48563272,0.044188545,-262.7234144,-643.7056239,-159.0065686,-472.9633029,266.7804152,56.80914641,-185.0369829,-27.52116204,346.334328,-379.5710867,-30.4129143,34.7660808,232.2154734,368.2524516,-514.45352,23.03163145,-75.83229352,173.3018509,162.8181163,-138.5018351,382.0950199,208.034778,-38.89869208,56.71745967,220.9431661,190.5049514,135.0916451,-83.27258796,54.29450941,13.14844115,104.3740446,27.8459482,38.19343308,-10.39659214,141.8776693,-215.6851064,-101.7313616,-98.48395736,-20.12485604,-69.56935789,-160.2882478,-77.43414499
