pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10
0,-272.2391623,-696.2047559,529.1806659,-298.9081857,85.64911404,-81.77720448,297.0350005,-700.8993955,185.2721111,-684.516436
0,229.2220895,393.4755028,-1012.900109,-673.1817236,454.5277068,116.7099507,-187.7206889,312.9439167,-155.9640454,-199.3372226
0.002,-446.8203641,-845.6473716,-686.5702811,-317.8318451,-40.37764873,-102.1393107,-102.3224106,-170.3097086,-52.25655034,-51.1042757
0,274.6063078,713.883956,598.2520049,20.38238007,465.3937735,509.56621,34.05721382,-126.1776818,-253.9371491,-737.0232772
0,185.6275679,-435.7903997,831.7445429,-693.6990329,-380.9774396,277.0915963,188.0712755,-182.8009225,-228.0751061,549.7886697
0,-456.3927532,-817.6565725,-681.1412519,0.82068804,64.56036055,-367.2009666,-139.996263,-165.5459021,27.93129203,-29.8937661
0.01,251.9892217,-535.3222006,492.2720977,-605.4558632,-173.9138859,-367.7088465,56.0808211,-719.8942474,-510.5191935,-198.4412241
0,416.4762524,-476.6125474,5.116170122,-326.8308867,284.7827453,223.8704698,792.3765008,436.7311265,-185.6618656,187.0395628
0,-104.8031638,-223.7723565,449.623178,13.46649532,124.1613756,451.813264,65.80362937,-161.8619486,-418.5791127,1051.951953
0,-478.3824984,-331.3087314,968.7772361,109.7588438,651.7235759,-318.9188843,44.42941741,0.22309183,-264.8754028,-644.9364842
0,460.2608117,792.7110167,409.1874056,-971.7656155,-654.76592,185.0537528,-409.2016637,-236.4728568,125.0969103,-105.851612
0,273.868275,340.5056663,49.78443137,-845.2354385,-19.33601208,-231.1602534,-115.0135494,-84.13700584,-932.8028499,-199.0695301
0,-255.7075572,-482.6027727,758.9298451,137.2264447,-81.82689045,-0.936146335,660.5985196,-16.17023826,-442.2653208,-316.0368697
0,572.2610155,546.3310577,866.8628124,-548.8428624,-380.9562803,-225.4346581,87.56076911,365.1225239,326.97862,-292.658464
0,-308.3832021,-767.8939396,-711.6596598,37.98121168,334.1245292,148.9662858,17.8857421,-438.2973999,-220.7901478,-380.4772992
0.001,759.4736101,88.84191743,-350.0301345,-919.3613158,-456.495765,-23.63500806,-344.9542742,-89.01542657,204.6043317,-570.216438
0.001,287.1853638,-496.1443982,937.4304914,-254.7655143,-343.571238,208.7981199,291.7794017,-362.417573,-138.5060794,339.4727655
0,208.9413184,-490.5026286,485.2522977,-154.8832953,189.7035148,142.9625827,495.0579813,-714.4334435,259.6322979,-649.4652031
0,64.45973154,-412.6047782,447.3868369,-337.6544903,-465.9742301,220.0126054,607.8398002,-232.1171602,-521.2302917,18.91299749
0,-455.0946812,-246.9789058,321.5949442,343.0492719,553.980733,-498.1179789,429.9676612,-286.2612252,-298.1424812,-782.4876079
0,602.1248712,99.27252482,-71.27441218,-484.3381565,-62.61114424,858.6064999,33.0351555,404.6704503,-460.6339943,-337.5845613
0,245.4862021,-271.9777101,240.6246329,-513.8129745,126.641837,-188.0316401,-63.11272897,-412.6626589,-980.7141905,94.52041085
0,-375.3797954,-63.0567489,111.8222425,119.7358745,-271.2255299,789.5854888,396.4319446,211.5579004,248.1832251,-58.64107243
0,251.850408,-748.2035341,262.1570734,-512.292502,-226.4796426,131.5874585,429.1450891,-367.5088062,-425.8228594,337.4955337
0,31.36752783,1100.695854,1066.169773,-94.07342602,321.3279202,328.1450277,-461.2745486,-73.35278671,-311.8546133,138.8745088
0,303.682157,-711.8745279,373.3480075,-505.7262298,-36.10039483,245.3734021,833.2746817,-232.2587035,150.5250797,-60.10573415
0,155.9852584,-325.8180114,976.3067239,-271.4675597,-473.63842,480.9117338,535.5219593,41.20486826,-406.8030719,252.6902772
0,452.732824,1085.564486,525.7053971,-149.0981468,-179.7083672,-4.196700152,43.41651386,127.937265,352.3103476,-621.9788763
0.001,-153.0436121,-886.7730847,-490.1683974,-197.3161772,170.0211249,365.6216469,64.14382129,-237.6048303,-97.33442924,-420.4451978
