pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
0,-272.2391582,-696.2042832,529.1804105,-298.9088621,85.66535459,-81.78421615,297.0515738,-700.9750457,186.3830338,-684.0512745,11.20385159,-9.496173522,-561.2912677,147.5034874,401.5260686,-191.5048164,214.7220018,-164.1909083,-76.62410733,-269.3758196,-256.5066687,-103.2225199,-217.3383117,-235.4616404,-296.5574733,113.5813044,190.5666645,-263.1792499,33.17303254,144.6022826,3.314157693,-216.8090133,-64.36814779,-202.01791,-88.68586463,96.87139841,394.569631,-12.3234334,262.4763865,-181.0896678
0,229.2221184,393.4752253,-1012.896613,-673.181569,454.4926014,116.824525,-187.7663612,312.6311829,-155.6827836,-199.4230377,341.8247451,153.0473463,-569.0431958,-363.9208286,559.8572877,385.2665978,127.8054332,286.8516926,35.16188598,-397.0452477,231.2615913,-148.2552946,-84.12369331,-163.7179331,35.32948294,-76.45262921,50.8030171,37.12908251,-116.0753775,21.43837663,150.9699785,-170.5705986,179.5326071,-128.0615945,173.9659128,-232.4226933,-350.2986009,51.27992838,200.4108632,-0.355046927
0.002,-446.8203696,-845.6470906,-686.5705341,-317.8344669,-40.34583905,-102.1257882,-102.3527818,-170.03994,-51.74076701,-51.2355936,321.9350254,-181.6898732,483.6308708,234.7355772,34.77725074,-54.10758846,15.13871794,-126.1617621,11.81584759,100.6267078,191.8806438,194.1352831,35.57195747,-181.1061042,108.6329843,-59.32653394,-272.2598052,-100.6256025,-148.8128132,129.4722631,-141.2538329,-212.6948618,72.16657873,-258.1616075,89.46605132,-56.11487004,227.0493198,305.7446722,-10.04235939,4.198925576
0,274.606363,713.8829226,598.259832,20.38627728,465.282165,509.8167917,34.00255781,-127.192126,-254.2051799,-737.5803242,386.9265169,-510.0106313,-79.1491682,602.1854436,547.4552539,-114.9371614,-460.7759914,227.3186066,102.4729116,-510.1515558,287.7190092,-352.1597747,66.81272941,239.4214155,254.7680141,114.1828372,-108.6252166,-50.73735652,83.42444437,213.1634221,-152.1251561,158.4980495,-211.4340117,-77.40805021,-34.94432133,61.03926215,16.70527393,305.5805267,-296.1952024,-33.10506674
0,185.6275447,-435.790648,831.741908,-693.6995975,-380.9622813,276.9847855,188.0536773,-182.2325888,-229.1886733,549.8036461,-369.0341156,-148.1032764,-487.201387,492.0171081,386.6227437,23.65145806,-26.31730375,-223.5271256,-262.0230925,353.0474258,133.6404446,-236.1277604,237.7797758,18.50487052,445.9662674,-67.33051789,35.97610265,-150.5260872,107.0300391,160.2651159,-45.48356597,-171.5234697,282.7849422,343.1182844,184.2413148,-40.64023247,-194.654223,55.11102748,98.70341186,-58.61986983
0,-456.3927607,-817.6562337,-681.1421419,0.81839156,64.59454324,-367.2020339,-140.0067355,-165.2753418,28.3921096,-29.98352866,291.6309117,-325.2595823,490.2586186,250.7065121,29.73154399,89.29638879,-55.67891188,-102.2485628,-11.75785834,204.5465924,167.1102171,230.7972337,12.02039477,-58.32087227,-12.5760185,-134.4894833,-291.8029085,-68.67153923,-128.1683573,36.84669158,-114.6960305,-139.8767819,73.8110102,-317.4371094,-33.78315568,-95.59201283,247.9156518,252.6808418,22.54755318,53.75831648
0.01,251.9892279,-535.3214744,492.2684727,-605.4567695,-173.8736259,-367.7864776,56.14957212,-719.8839904,-509.8479047,-197.5190971,-68.88591573,629.8307143,-186.4127761,-306.9739005,-97.10343199,-16.59095074,374.5465055,-199.4807416,-413.3320004,-9.137196522,-29.64742886,62.26024224,-235.0462641,66.64139814,-47.89873888,-188.2681069,44.28923312,260.6839417,-12.7460609,-47.63618377,-63.74580353,222.7517643,22.61369373,445.5575646,-150.5443222,-93.84721753,192.9991539,-90.87219153,166.6085105,-169.7702044
0,416.4762421,-476.6124286,5.113442689,-326.8302663,284.798159,223.7715777,792.3977316,436.8822255,-186.1324243,187.5277588,-343.8383806,-220.6210687,393.027058,-113.2350021,-198.995258,-553.0248474,107.4636142,-108.3841014,92.24541897,60.35528121,-194.8322587,-132.9749454,-47.19966462,-6.174987013,542.3997885,70.29126911,216.6120533,-458.8584986,134.4346725,-77.35176385,313.1151741,211.6583184,-174.5872191,-375.3179513,-153.7647975,10.22166063,318.8814317,-7.581024641,-6.908291373,28.06702108
0,-104.8031716,-223.77249,449.6204135,13.46869728,124.1563916,451.6987082,65.86471626,-161.6647922,-419.2502633,1052.567664,848.4923929,72.00720274,-85.16964458,200.0968744,548.6070089,168.4637454,346.9445996,-198.3780572,56.53238627,294.7364619,321.6812749,-407.3326336,-116.9674995,189.0837443,-140.0722942,-99.38134609,-245.5249052,-130.2765791,-311.5966217,-303.8601585,-119.0071614,-229.9163907,-78.03676672,274.7283013,-85.84057206,-132.5408772,-258.1014577,-27.1626167,-101.481843,-128.7335939
0,-478.3824841,-331.3073812,968.7741308,109.7562597,651.7839338,-318.9635035,44.48544552,0.058626186,-262.7173124,-643.6993589,-159.0298219,-472.9099884,266.7636113,56.73974763,-184.9812199,-27.61157184,346.4706903,-379.5731185,-30.81369673,34.21729881,233.1145453,367.9536772,-514.5339254,22.15048418,-78.02814134,174.1926525,163.0722643,-136.6030067,384.7622092,211.493133,-40.73976772,59.39207389,213.1269746,197.8419416,129.2825469,-94.3894791,39.48459495,7.507887153,132.867473,-40.44722784
0,460.2608573,792.7109326,409.1921077,-971.7667487,-654.8011494,185.2328343,-409.2751121,-236.9102952,125.9882372,-105.8948634,901.9199426,151.024785,13.66631167,760.0448483,120.7637662,-110.6340841,-232.046487,-204.7154874,152.1136486,-70.13830141,623.823347,30.07468365,-379.593145,-247.0126995,155.4812926,-141.7715223,-117.0965517,-278.364838,20.69272826,-22.19911347,37.84510741,245.148823,25.15428016,-12.53530913,-33.89676968,136.7923416,-173.3674171,-24.91935222,-14.97391003,402.8173023
0,273.8683141,340.5047519,49.7898365,-845.2315275,-19.43070994,-230.9964786,-115.0495461,-84.82031353,-933.4967248,-199.2732266,153.1832281,-94.22509164,-238.2091457,321.2838053,-158.1091471,-375.1820047,-429.2414479,-339.8275332,-243.3407674,143.1791453,612.6919233,-301.6560205,-137.722119,191.6271005,-39.34692626,72.48192685,-441.7103499,5.025206344,-261.4624303,-18.47484464,534.6039882,-106.0878329,-165.4820447,-22.37343274,-145.4243977,-140.631451,-306.2649921,175.0090943,85.61221239,416.7497179
0,-255.7075722,-482.6019826,758.9249443,137.225799,-81.77506702,-1.071816963,660.6752285,-15.93777341,-441.7450882,-315.1973583,-253.8209871,89.12851106,-297.3212983,-136.8424384,685.7464352,37.64339796,271.6014264,111.9247189,179.8195326,96.37381519,-153.1374655,74.43030376,-128.7853406,248.4507038,-34.88528927,-6.824606116,84.74960468,-145.97069,286.1841858,156.0052908,229.8189857,-37.23549763,-226.9353391,-64.04415126,-125.2556728,121.9535749,21.07377861,23.91772603,-235.8614983,-9.586105548
