,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
0,0,83,0.168,FALSE,7.566,8.195,-0.368,17.105,77,55,20.248,FALSE
1,0.014,40,0.062,FALSE,5.166,8.811,-0.368,19.474,24,25,20.248,FALSE
2,0,75,0.2,TRUE,6.567,2.213,-0.5,17,111,46,17.889,FALSE
3,0.001,74,0.12,FALSE,5.971,4.626,-0.222,21.333,19,75,18.439,FALSE
4,0.033,41,0.082,FALSE,5.201,7.95,-0.316,19.579,29,35,19.925,FALSE
5,0.002,72,0.125,FALSE,6.235,7.609,-0.5,24.5,26,72,20.125,FALSE
6,0,61,0.125,TRUE,5.334,8.264,0.722,4.944,60,38,22.204,FALSE
7,0,74,0.173,TRUE,7.09,5.806,1.75,-16,39,97,16.125,FALSE
8,0.045,77,0.18,TRUE,5.823,7.049,-0.667,26.333,49,92,21.633,FALSE
9,0,97,0.176,TRUE,8.065,1.478,-0.176,10.882,99,39,17.263,FALSE
10,0,101,0.171,TRUE,6.421,5.804,-1.3,31.7,69,65,16.401,FALSE
11,0,72,0.131,TRUE,5.647,5.809,-0.444,24.556,26,77,19.698,FALSE
12,0,86,0.171,TRUE,7.216,2.154,0.059,17.706,99,35,17.029,FALSE
13,0,42,0.089,FALSE,5.069,7.093,-0.158,15.632,34,36,19.235,FALSE
14,0,94,0.136,FALSE,7.649,6.105,1.667,-3.667,82,25,17.493,FALSE
15,0.004,80,0.129,TRUE,6.189,4.497,-0.056,17.389,32,69,18.028,FALSE
16,0,95,0.205,FALSE,6.982,8.328,0.938,5.25,125,36,21.932,FALSE
17,0,67,0.101,FALSE,5.28,6.017,-0.211,20.053,19,60,19.416,FALSE
18,0.012,61,0.156,TRUE,5.419,6.624,-0.611,24.278,40,82,21.095,FALSE
19,0,69,0.131,TRUE,5.736,6.015,0.214,8.286,24,79,14.318,FALSE
20,0,82,0.152,TRUE,5.986,5.154,0.538,2.154,26,93,14.765,FALSE
21,0,79,0.125,FALSE,6.844,9.247,-1.714,48.143,7,91,13.892,FALSE
22,0.002,66,0.089,FALSE,5.568,4.397,0.118,15.176,55,15,17.117,FALSE
23,0,84,0.29,TRUE,7.337,3.546,-0.933,22.733,150,77,20.518,FALSE
24,0,71,0.131,FALSE,5.714,4.361,-0.222,21.333,19,84,18.439,FALSE
25,0,84,0.202,TRUE,7.018,2.718,-0.118,19.706,54,104,17.117,FALSE
26,0,40,0.079,FALSE,5.098,7.514,0.158,11.368,30,32,19.235,FALSE
27,0,66,0.148,FALSE,6.239,7.151,1.091,-0.636,73,43,16.279,FALSE
