pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140
0,-163.1632532,354.234259,78.830166,48.72188933,-460.8566004,334.121509,82.02245092,592.9102354,84.50165192,-72.57758367,-261.00957,-190.5552493,-174.8200755,-119.4655477,-105.1768175,105.6277818,-227.0951079,-304.1693459,-165.619303,-5.699466478,153.635937,95.32828498,-189.9386851,31.21916043,43.53391512,268.0238646,-15.581798,-30.91356707,187.0159419,-191.5124026,-69.20858173,36.59823937,-120.5395799,-83.72229175,141.808772,12.56910858,-17.92669688,43.99768698,-101.1701933,-51.10422134,-30.14768757,14.42451128,-34.57422983,97.77781418,23.54946357,-118.6927957,-200.8097403,27.79307811,147.7083822,-192.296734,-110.309757,58.59065886,-46.94681707,28.60585051,75.53980044,-181.5575425,83.59577476,-66.44033558,186.0316794,14.10792575,-49.91116255,-81.24359188,-161.5503248,-81.83240399,-1.113972302,53.01405893,-21.34453321,52.74178367,-163.268564,-190.0079649,30.5656362,66.38627824,74.47781865,-17.06278931,-5.249988479,18.30885891,95.04766207,99.09025066,-36.84348293,66.21798974,-14.02170328,58.97951894,81.20213644,-95.9513081,78.33411958,-10.16726019,-9.945659986,-59.5583749,18.35814495,-19.14744467,87.75652317,-36.50147989,-0.945368831,32.23235567,1.850377088,-22.79405658,-44.54279361,-33.1659256,-73.54003898,-42.30868781,103.0516248,-8.154680776,35.35032921,58.62522313,-62.23387806,-18.39070394,46.32572198,41.36890726,-24.41265439,-36.98779371,-24.19981657,11.90774408,0.787791537,55.48622954,5.330493798,87.06222863,-12.10397898,-34.39761867,41.91184203,42.10085623,70.51420665,19.89168843,49.69266623,-44.0222397,134.3076606,-61.45541774,67.79853363,24.39233204,-53.35348621,-46.00471743,92.40254904,64.5110619,-52.46121501,-106.481474,-0.333844643,61.98797563,52.77665125,1.716805824,-70.70980139,-8.55079072
0,-124.3306682,-89.49909835,1014.215066,239.6220171,263.7988183,-211.010555,396.5260121,-196.4924724,-606.5097202,-20.6607594,-85.40916058,254.9927832,-290.1796053,293.6541648,-63.04981163,-76.93234937,-153.0860001,138.4578715,534.6544987,-102.8184137,499.5869127,-116.961698,-354.6633695,-238.6958274,-211.9538333,478.5643376,-320.5352062,-203.0200032,68.37979216,-10.55494522,-294.5341526,-303.2785026,-28.68099654,70.91915445,21.75294733,-93.80524862,73.25104154,124.3665321,-135.4756246,-94.30572597,28.88487587,-156.4001404,31.87775812,13.00239137,53.04271451,-141.008632,48.56267796,199.1756989,208.4484641,203.1869656,94.35178022,-67.83515448,-57.69889472,114.8062449,-135.4415144,53.41009211,79.91598531,-120.4654128,32.6012455,-129.7266383,191.7774796,-70.55698502,205.2100568,-1.818234737,-250.8591714,60.72251912,72.97876604,82.43361392,-58.79679549,-7.581186601,-124.0236331,5.715787208,35.21731913,-17.07348393,3.85350915,-6.507442338,201.9407261,71.20962976,-113.2770847,-112.9232839,5.406394729,130.9317196,-191.0856569,56.76795644,-20.66622804,106.6659605,153.3695349,-4.068460091,-63.9545071,-21.4941769,34.41672304,-157.670845,-45.75422831,89.92411607,-4.619363564,-19.9490425,6.558081704,-84.81132373,-45.29431061,33.25199433,-94.07250413,-82.65688278,145.5167925,-104.7035108,-61.57562932,24.3967206,80.75329196,-35.4195943,-124.0268757,101.9012846,110.0153169,114.8811292,-2.852862152,-71.3194099,73.54592904,-19.89588482,-84.56906367,55.00033687,42.53537495,66.61415954,39.9969996,34.08579706,-102.7636467,78.68938217,-11.24486051,42.53685465,83.18833516,150.2630172,-25.01904109,-44.62312578,30.42227381,-46.14714345,25.74605372,34.89378708,-27.04418457,6.419836184,-43.72760824,-122.9542143,112.326106,-100.8285765
0,-448.9330977,-12.1647985,739.1093153,-243.1650445,90.72833286,44.89218083,-27.74663497,-279.6878499,131.1586613,74.91857,108.1833233,237.1803987,-78.55707642,-281.8262786,-80.59396401,-33.51610669,-73.66646748,-123.9581375,127.3603771,-28.88559392,-16.97517845,-186.2953544,138.0961963,53.32066506,134.7281068,102.258914,185.50134,-9.01832985,227.3258934,-130.0228142,-6.505439295,34.46059814,-33.57121853,98.95479677,4.695336587,198.2706705,-141.7599987,-10.3400626,-28.8927327,33.58610572,58.20526251,251.243722,84.07026305,-7.121019833,0.432027383,14.43814512,74.94717367,-13.76550172,-97.83575187,-53.9289921,-34.96650549,78.63197179,76.27994778,125.6935972,-111.3118235,-101.495737,80.51526863,9.336986114,48.1993184,48.80499604,-72.67386011,-73.45925885,24.79994426,-57.142479,-22.77693919,-78.43983248,-87.23602487,72.64522441,12.67699312,-1.644800119,54.78305438,46.88506171,-25.40983839,31.14017459,-33.75753571,-61.75128378,-53.81128799,6.513683293,-8.911752697,-95.36461664,21.9160587,-48.7372095,-1.517280416,-53.17085315,13.28454073,32.19836911,-67.69073573,28.7573772,70.12968794,26.32345243,-29.44498776,-25.84980505,-25.0150752,109.5594794,73.21170437,23.04893488,45.11127695,-17.82538205,-12.59133372,38.96902111,61.09878533,-89.70536255,-58.86438391,-55.99301149,-2.00693275,-13.42273967,59.3944383,48.00167973,-104.3573295,-112.9922511,-80.32323731,57.65044388,33.46128772,-58.28794106,-55.25473063,2.86193458,7.046018291,-0.507336426,19.7011536,-85.48004211,-73.91757636,-58.85124132,-18.76357107,-49.00965935,2.700450692,20.15606554,25.04507584,46.64184227,35.23916821,-1.141145774,-9.868643545,60.03797337,-36.17757294,-45.29500041,-11.04025262,56.99543222,36.91383098,38.32932254,21.30099581,-41.61040925
0,384.3449173,691.0277677,47.59294154,681.4864192,-232.1178129,-270.9952071,489.083645,-288.1050244,-13.79378922,-559.5538272,13.77599581,-12.16309852,-77.5128682,123.0181356,-157.2710377,67.61203685,-110.021209,-339.5035682,161.6026072,-70.91426379,368.9667188,-198.1707851,-318.8808657,-180.762002,-215.4899141,-367.4060691,208.0165919,91.39261943,-133.0087171,57.11704318,48.55128121,-13.13725774,-10.56981827,168.0113082,143.874519,-24.83184941,-190.5443552,76.61620854,-72.55774866,-21.89021949,157.1644611,-7.621609144,-10.10078161,99.3559311,45.94002634,127.5989365,-165.801027,145.7995431,12.6657403,-4.231132432,-27.24166104,138.5605127,-13.69040224,-152.1165641,41.24592542,149.0889463,5.752605832,93.0685652,-139.7809074,33.34401326,-48.73246967,-166.1951941,60.78514189,50.91571131,-21.58491972,-195.1614443,5.107255277,67.24577293,-3.926087834,98.15793876,-100.2439552,49.86572085,106.5817783,-19.74621843,-37.66595036,6.211360754,-112.6768471,35.87103326,-31.71911265,-44.9676651,-41.40987147,128.5186384,38.56527893,-28.70841327,46.70453373,86.29664826,-27.40996155,65.45999188,-119.5927481,-71.85137586,16.19532718,6.451009628,193.1251075,31.16094426,52.30007042,53.23098356,-33.35369216,-95.53313993,52.97928824,-90.21921541,-73.62130491,54.26655306,116.4528869,102.9537025,41.00482411,-3.697040802,-38.61783262,-34.61346957,11.58006291,71.31429471,-48.98889217,-37.41822626,-40.00002967,48.97231159,-47.33410095,10.95211172,0.094703919,-19.13168408,88.63406482,27.96537208,-7.310408267,-16.39233418,64.68179732,7.183049198,-56.41308575,12.11787414,54.19639558,-6.866000075,-91.15707799,18.23957719,24.74562889,24.40581473,13.02877143,-55.67675754,40.33561848,0.302548441,49.6041021,-67.58335541,23.92625319,74.93652144
0.007,831.123683,274.0095112,110.87598,-527.459134,-350.0018279,-367.0134372,-115.5512255,313.2774336,30.42215872,62.3983819,-61.8686214,225.4295519,10.02924227,-119.3134116,322.0642761,-312.7190005,-239.3078286,-162.3131532,176.8718919,109.6460611,-92.03855874,103.0967115,101.8301262,-79.18446807,49.25566002,59.84920937,-2.399009121,-81.66573379,-88.32829459,-55.39341337,-106.2157756,-73.75821168,-117.7537703,-82.73735479,-245.9162944,115.7944644,121.493195,34.03490864,-64.02097412,150.0797026,1.755086666,-41.84271436,108.6319922,109.5690627,-102.5423106,68.97959967,31.85395155,76.76641797,6.86377664,-17.32837705,-93.27868677,-144.3322303,-30.46850561,52.2784637,-19.98018604,47.18024663,10.1981089,24.23394603,52.92849273,59.98478058,71.4818977,-75.29341369,-169.4320168,-34.01304066,-6.613227967,9.144447632,7.127265592,71.73387875,143.7667127,14.64164913,-2.531356406,-52.69080659,-35.62762863,-195.2724961,103.0927103,94.21897293,-57.85662961,-6.296028752,8.491874925,-24.51985276,-62.05584259,44.76159334,-12.98181221,-121.7763869,-75.10852276,-143.6789556,-19.26297116,-128.0927891,78.33892292,-70.68301112,94.85275062,-26.29725815,14.52792525,-79.46028631,39.89993518,8.038945279,-39.81133903,14.01836777,64.37887202,30.42960691,-39.92307851,39.84322154,46.04413224,-23.21621629,21.53898697,-30.32958444,-4.845574273,-9.621398566,-21.100124,8.611691348,-37.19652725,-29.50603686,-28.54296952,-87.17532053,49.49655533,-53.98952748,87.28780456,24.816826,41.3303323,-23.98321738,17.98862307,9.634532617,53.04868477,-33.81134893,7.209314622,-73.87452797,-67.90260305,4.667084655,58.91905642,12.93313267,66.27968382,9.926628045,10.39504188,-53.46313768,78.11554101,66.65139765,-26.33881788,-47.6889708,53.06468825,42.34838734
0,-586.362733,32.56654172,631.6109443,-189.7762004,174.6472581,132.5256061,-100.7757138,-401.4323539,105.2914801,48.66381803,-7.925889152,254.2559403,-133.6004604,-392.4164243,-83.13439603,-10.67850056,-12.97922294,-182.2263471,159.8358435,-4.71482499,-111.5907218,-192.3598707,130.6551952,135.3308402,136.7433162,142.9804357,118.3629438,31.91670093,226.5676504,-96.03129542,98.07517001,26.84449907,-132.6351874,88.26648505,15.88325924,209.1126639,-32.20002684,54.99516229,-34.21641208,25.89997153,-5.247206843,297.6259041,91.91782305,-111.2540306,44.72370895,27.99507649,49.80522836,20.61954697,-112.5449048,14.72826255,-41.59971135,148.7474567,56.20707539,53.60488938,-66.97383317,16.33043429,107.0889891,-34.68696172,30.14185503,57.96500449,-13.51092502,10.87878615,-26.93114737,-38.0817155,-60.34927061,-58.57012423,-25.97630583,-22.75078038,45.25742568,4.183666602,88.83880286,10.48217292,5.598846284,-34.18200232,-32.97190227,-64.12688585,-30.31933934,-59.11485312,-53.18853712,-93.90140695,7.795400035,-95.52873442,68.69305526,55.15765665,28.73118133,-4.947981767,-3.112801021,-57.7127252,-35.52584343,69.60360222,-28.86568366,25.40483497,24.89694547,8.899971468,-1.86039948,25.50275589,22.54339977,-48.64382506,-14.40170805,0.62014607,-17.31915575,2.7298935,-17.86301479,13.92442179,42.66412653,-40.86345555,-6.634874892,43.05989987,-43.54182701,-69.68657429,-2.867592122,-5.754436299,-69.71339948,0.743010691,-17.13724098,-18.50469324,-6.406943315,68.65390514,39.54086123,-49.58878918,76.72878225,-79.82723002,-38.39802908,-48.08439538,29.78725323,64.51556153,1.406738528,-46.63104914,-29.91421698,-24.17703547,-34.94440568,36.29749566,5.059165928,-21.4585071,-39.78246944,73.7744195,-4.341372596,24.03141683,64.35003689,-54.51323875
0.001,-29.91788351,-188.4817135,198.7354869,14.08647545,-390.9031322,536.2598663,-196.4216912,592.1433182,-73.27413349,86.06166343,25.17170892,433.3913197,87.09252314,231.7148714,164.4016173,-256.2953982,236.3260381,109.4114679,-72.70352667,44.267432,153.2194869,225.034111,222.5555391,-20.8148513,207.3475172,200.1204565,53.02940873,7.578112464,-102.650099,-178.7815041,-104.9069186,-14.13487858,58.87617581,-104.9801457,-77.40525361,-59.8470997,53.99758086,-131.0160445,-21.35374803,-124.7843663,-12.62730645,-86.35179316,73.22265333,49.24716772,60.21565935,147.0599686,65.89939902,-39.09801535,-100.7555095,30.30955772,-60.51422977,-86.52584594,-79.13491847,-39.5695635,66.39592899,108.7050186,-137.3890972,-81.22234624,70.62672534,54.3450659,124.277149,-102.3439061,75.28625095,-55.45527404,-66.61701458,-30.88413019,-80.46279138,-40.57920577,14.81441647,173.4146467,-102.9754806,59.80904644,-35.60209231,143.7223404,-27.66685899,-112.7091291,-145.3262961,72.80026892,-35.18223793,-18.41449483,20.21861798,56.73909307,6.851835184,-90.9820102,-61.68620945,-22.63362205,-113.2760952,-73.691834,96.60961621,33.32846153,89.57316574,95.72699001,2.815477487,-131.867643,-97.02315619,-32.2048286,-24.07650632,-59.59503805,12.37985569,-28.3360312,-1.487000578,29.70331396,-43.34786104,12.76258685,9.03693271,-102.6842531,-83.49572482,13.33457188,-11.87624869,30.88573033,29.73335186,15.19372941,-103.1315059,23.60342402,-12.78681678,-55.33083669,19.16888974,-3.005495976,13.36138892,-98.59419903,-54.85183065,43.25693102,-7.138631105,-7.18932093,-28.91443529,30.49413368,0.348737508,-35.52364815,-10.50247703,-88.8357166,23.53155693,-4.379124204,-27.7219366,13.92638825,-42.65298747,43.53691729,1.594531182,-44.17173738,-18.80937725,-5.975148935
0.007,388.7566259,444.220441,80.10772397,-239.8048808,-391.3563335,-232.4568138,229.9000415,-474.9077458,-95.93141929,445.8967627,-75.68689614,145.8232635,-540.136975,-167.4623665,34.22690296,-89.1936123,484.3679637,134.7133804,263.0014224,-183.0146798,-96.60899545,177.2811925,50.06807902,-8.42928663,76.93949673,19.97303949,-73.90216276,-250.6892194,60.62888909,-382.3055323,-160.4220476,-155.4813409,122.1796347,90.75522668,-234.8367189,173.5280622,-150.3831574,-53.87503429,254.803428,265.0430252,-68.50932028,-82.00567157,4.751520009,55.48803639,207.1850045,215.0723618,120.6302079,4.13985497,136.3479215,0.520905331,208.9418213,114.8968114,321.4432007,63.21957201,-63.03119301,128.9405105,-164.806521,-146.0435784,272.0998942,-14.64560473,-123.5020265,-76.33233078,3.207339801,42.74480665,51.22040754,-5.500826536,24.17781496,-82.48634614,29.04389656,66.46927604,108.8621575,-59.19483304,49.03903684,125.4876377,-71.01324527,66.63254021,-7.149204905,137.8324723,75.73202987,6.062421309,76.72586782,2.553089408,127.9139068,-84.16250472,-59.67916227,127.5171615,30.55672591,-19.96736762,9.81253613,-2.019341413,-70.27983835,95.28725413,51.3359065,-93.9372573,-105.2326534,20.15111265,-122.1579775,65.32088647,14.89912451,-104.4069805,87.85203017,-52.72263666,-50.65177051,96.34304564,10.15534591,5.912980406,53.38628032,48.26602657,55.08623899,-24.83221301,203.542997,-9.631362802,13.88693911,-63.53514262,-90.72074641,-53.45209991,46.54740254,84.33608864,70.13537474,60.87176575,-48.22912079,17.73446112,-18.65285326,-91.49706604,41.91635899,-20.08672827,-39.06762877,-0.783465903,-102.3328819,6.934843739,1.372985222,56.26864781,43.65009288,-7.920217192,-51.24594514,-47.67929038,-19.00983854,-40.6082502,21.62663957,118.7431487
0,625.7160993,614.469782,851.5016841,573.6157672,-572.5326315,-232.3788936,125.643688,-219.9554936,-212.6862877,-85.32294574,650.1908716,683.331938,38.18399518,-129.8231523,-110.7123729,-308.849181,140.1054009,-149.2299284,-297.9425222,124.1554631,91.27890877,117.2413537,-56.56689091,-164.5824721,-220.4458632,164.4458705,-228.8231296,-53.68847926,-227.3738274,-10.15047241,26.45686419,154.2158258,196.6690428,-163.6287374,-37.34761754,179.1214346,-154.0127277,-94.71904176,-158.1893635,31.07413719,180.1352844,-91.96857308,143.039422,-142.5058945,-38.96118255,29.28707625,94.79475846,110.8000156,86.96165538,-177.1659139,-79.38409459,55.04720242,-42.86868967,-43.94170966,76.84965604,-79.69487608,212.606787,-64.79749504,-53.6849312,57.05173424,-145.3556097,111.2524397,-67.74543959,47.31218312,-9.149524902,-110.5963004,-30.76849604,-1.764785758,-95.47374187,-90.40788585,143.5744679,-14.22118445,13.04001015,66.10460553,-56.60042081,-0.174790789,29.97952424,-121.3812275,23.46757832,76.99678691,92.55241446,-6.441706145,-119.9259104,55.17658861,75.12309463,-151.7233131,96.46043424,-102.849094,-31.36716142,24.46552953,29.45141366,33.33255007,26.92937236,-151.6686814,30.15637635,48.83745774,25.32821672,41.29402697,-59.48791706,-41.66133512,152.3214028,9.982628747,59.66677949,10.07758971,5.877324849,19.18094676,50.73679472,-81.23370887,31.61960423,-30.21114797,-84.59945213,191.9164563,87.09702104,-22.88709858,-59.66461034,-14.98355009,-11.97810917,-60.48307783,137.7306277,77.30155361,-52.40608729,186.1737708,38.96428032,46.47648124,-59.54480362,-76.94936168,-8.699447581,-161.0533025,72.84739697,-13.42378746,78.44646513,-70.36932824,-83.28826555,5.226976689,27.96265156,-2.549499321,44.95960094,18.34416682,19.28032888,29.70043231
0,430.0607004,279.8684372,479.5731951,79.94120142,-72.60729737,288.765104,148.2724453,-163.2473415,-61.96596659,-109.7084116,343.7669108,925.8919804,112.3645783,-75.85778498,101.9531922,166.0772769,-71.56768038,-37.50717364,465.4541965,33.72442643,452.8051713,306.7997961,20.56602652,-321.4096534,-187.1991805,-73.73116651,-19.64091516,53.71599311,-10.56975783,138.7371227,-215.4846034,297.5050802,199.7499742,-22.29314653,-164.8178837,70.44555377,36.16958601,77.53939525,-94.68095571,-165.9960785,114.3276089,-16.98485142,223.7835157,-155.3635798,84.73908482,-66.95880404,-228.1440118,382.7771014,-60.27708983,108.948424,-130.27102,0.47119632,250.8007148,-21.74985667,229.4805248,-107.3426828,71.37532383,-4.393859841,-178.2419503,-17.18454045,-194.2772457,-3.309949408,-25.13071268,153.9975591,-64.16639077,70.39658204,-188.8267939,-152.4902018,175.6874151,91.28993913,-169.8775172,-153.9677333,41.33135489,94.52964925,-113.6876679,24.94449386,33.27483579,-20.22655526,141.2683392,150.7018247,34.02643536,55.6503717,12.36179409,52.98685584,-18.55578201,105.3526863,-97.60178779,3.172376968,138.2553621,52.66968686,79.21741725,-116.5692164,-5.91485473,-40.22570545,95.87833111,-35.41686422,57.60882666,56.32978609,-28.40242641,38.0222335,-13.08466496,-33.33199393,42.34209926,-78.18254843,37.49718548,40.76104676,37.88054596,-84.05995619,151.4651078,46.81950683,33.95705456,6.002151679,-84.39358959,68.17304714,29.97838104,-3.253515601,-27.90675651,86.68863737,38.01878653,-44.62183987,3.586686143,-82.62615057,8.174867175,-61.78549942,-24.23293831,-54.81022792,14.89862801,75.49599914,-73.78657808,-3.379891799,-29.45571528,50.8022964,-18.06542535,-72.10372633,-49.93871336,-27.40093898,45.24736913,-3.895914013,12.66395184,25.576864
