pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200
0,-210.804557,404.5006332,-839.5888557,437.5579738,287.2792207,140.1408565,-6.243729306,-555.4765642,419.8758449,197.3952144,-53.82644626,299.6855014,-385.8668954,-196.9011659,328.9695795,164.6297845,107.8343078,-220.2681133,-188.2768524,126.0935968,-237.537971,-153.804258,-157.9336996,-97.90854324,-115.2026015,-416.8793403,-126.3242214,52.07948066,236.3738172,205.0221631,-326.7353578,107.1595747,82.16340389,40.876842,-244.0723314,212.6898434,-244.2638681,-242.8171663,332.6474921,87.87396028,57.92778576,-76.83749347,-25.40217476,102.2794482,-53.82541614,5.05968056,63.73838593,109.8788057,27.65556407,149.2106326,85.40079001,55.71849813,-15.43628394,97.55566858,-237.8831169,-306.1999665,43.08413558,45.67234222,121.6731762,-153.501725,-48.35065336,-16.7398291,84.0855548,-37.33808763,52.34925994,-34.54674871,134.517054,-155.0964083,4.198760362,-28.38396088,54.79572322,74.25864599,6.256754534,-49.27485954,-71.11212807,-180.5426706,-111.3389029,141.7039728,-178.2826931,-80.64961287,-135.161688,7.487002361,-42.15203436,113.4157325,-9.305433448,25.74275614,19.91273377,-17.82365409,151.9918387,2.995925141,30.46472121,-93.55395151,146.3874483,11.87585844,205.1070479,-40.36008438,73.38575459,176.3106765,-17.60732913,-44.05006804,-91.10878373,-25.94205274,29.07097753,-101.1525352,-129.9066788,123.821688,-109.7841972,-22.05395203,-20.03136983,47.69245889,-18.51893512,37.78557896,-121.045527,-59.94472825,99.27734402,-87.68314728,-27.35720727,-118.1027141,41.4100278,-51.03529314,-98.22982066,-62.96024701,42.78571625,-99.90064268,67.8371601,54.7781263,19.75069993,-18.19886103,40.64589588,92.04055931,-68.47954133,24.57146708,-3.560610093,52.29951963,-121.4825981,-29.58212114,77.09675979,28.63259412,23.8383562,-55.14428016,-54.57613044,-34.69075778,48.97055542,-68.23744465,-45.48820611,58.63761125,92.30313967,-55.73797044,23.1183048,16.05521364,160.6396321,-4.978879586,13.62029816,-42.61867816,38.93765934,76.59997971,-41.67529554,40.05276584,64.98831531,-64.05644132,-53.58506318,6.203328427,66.55747942,32.79774546,-55.64128768,-20.21147269,26.72949395,26.59075145,-37.82258086,3.775789678,9.817175343,-151.9066091,-34.96101204,-16.45136433,-83.43786463,-41.88573162,-2.163369358,198.6723665,24.78131717,-13.25205718,28.39573026,6.795241728,-64.28040318,-21.52525316,-79.02335716,-23.17508415,-0.615535216,-48.44073788,37.90560591,-1.738500986,22.0466384,-64.32586607,-9.671602091,-48.46098635,-25.18840177,-10.24491041,-70.29205323,-92.45583854,45.21572008,9.934101073
0,-755.809412,134.7732935,-249.5957265,-728.0385497,-145.353091,433.8524475,-57.74803603,196.9567922,-12.71793738,-145.53948,-244.4642786,336.1474427,228.7988478,-33.49276266,134.6860046,-5.800219285,-137.6591011,-240.0322,-278.1718504,-23.11068293,-158.2574217,-67.73617557,-14.42881631,57.61779848,72.97391726,208.7771514,-183.6413908,26.82846617,-80.12602807,65.23514764,-237.6702026,-132.2425041,58.02255061,-183.0870099,136.1886583,103.5808796,262.6750708,95.69746807,-51.64328359,-46.71126023,316.1433447,-25.49994934,123.6838596,28.33124139,59.45147693,171.8186963,-8.992158367,64.91464936,45.72533733,63.3184875,31.96013953,49.96599542,133.8529516,95.83595366,63.24129188,50.12266855,-102.7979314,-45.56219015,69.14225283,25.68199989,-40.42897301,-111.2066608,117.8681848,-130.1228929,-260.8272644,56.2289054,75.58851454,108.5242104,-61.19284057,-11.24441614,86.23719853,-143.3229694,-217.8679712,-35.1072881,-22.84844155,-13.29658,-3.080557461,61.19833353,61.09615463,6.174696583,-64.8661087,-2.349577204,18.35725669,0.407266185,-22.7301661,-8.9839299,127.8675932,60.30846173,45.04810696,-21.7173846,-23.00978151,-34.42195202,-15.49407458,-71.80352046,-31.87889846,17.85799485,28.95619013,-21.82805358,28.80613611,20.35663332,-97.91675396,55.38366443,13.46446499,-48.90052462,35.78373169,7.426833385,-97.89024466,-20.52696356,72.52379124,-29.27263722,-8.313425504,-90.35822517,-33.7276678,12.02936909,63.97654123,27.05128431,33.2640489,29.48307519,16.92625296,-19.09853547,5.00449166,-4.830755079,39.87195857,-39.92776991,79.364358,-18.13173325,-62.08842513,12.43087574,30.72025143,-59.83939441,-41.06584827,0.82474702,120.8324832,-91.30640867,12.06064632,19.11389172,18.75611638,-45.56357554,79.40601957,-54.62136983,-65.71195059,87.12390758,6.403712231,-47.62823456,-95.33432521,57.24186374,26.32726476,-15.80160167,30.54659695,-35.04644502,23.49530877,-113.9017082,-10.60031727,29.31678892,49.50230429,-71.77332122,-8.383278206,-70.98823568,-72.72849886,-2.703746305,1.015742053,76.51585911,-9.232904545,1.015772623,21.98083766,33.74653819,23.61519939,76.44054612,24.80231475,86.66380916,4.292515474,-52.4003066,-66.57271672,26.85426417,42.41527272,1.758838177,-86.38499003,-23.10118965,12.14890004,22.86016484,-19.35627555,6.515895363,-67.24573183,42.03317279,43.57860207,1.589273989,7.413395906,6.19602947,35.28426069,14.66301083,19.73313119,-13.49958975,-50.40994073,-38.38292969,6.274055339,-50.34388677,42.31193778,19.80667437,-14.20140938,-88.08660427
0,690.1339884,-339.2322589,523.970033,891.0766455,348.9822785,234.1232038,-552.1023484,-448.5347334,-324.4162733,-210.1971827,-475.1149389,588.3239968,-334.4154407,137.8327188,436.9313221,20.09300845,138.8448216,285.6354513,151.5645109,240.0114349,-319.2403666,-0.622376607,266.8356617,-101.2861186,115.7535284,-66.90797346,4.843826075,-31.71177145,106.126847,-91.6885233,-102.0263798,-129.0955036,-2.544624653,-123.9232277,13.68512816,-4.390070271,361.6250706,-238.6168653,162.193135,-115.3229833,-338.028503,108.8409199,68.19459926,-282.1791051,-93.23006657,-163.7365298,120.865926,-186.8480214,3.211335828,-46.9810641,51.03175586,-33.2180708,22.32091985,55.21773782,75.15701734,65.53072423,2.082642974,15.82216241,68.23786824,-49.67840502,-157.6584176,214.7342711,-63.54570356,15.65849653,40.76884985,-14.21143131,-242.0902664,6.459858494,-26.43416577,181.899304,-12.56868822,-77.06913145,-55.39640431,148.0230219,-154.2790837,-95.99261311,10.71910916,-11.27772528,-21.89178217,46.72946377,89.56116963,150.9909108,-24.22392099,-77.90602204,99.17728672,-1.492921006,-34.29389057,162.0224453,21.36198655,-55.00188323,122.5385945,10.46526066,-111.6554286,19.04027669,23.61134589,27.23726098,-69.79191186,-15.633857,-59.50850613,28.68783872,-30.34113387,-107.3094049,41.85235489,56.25794319,69.56254467,-45.46244734,-106.9756167,23.40812029,-18.35088098,62.88223484,-74.44928298,-112.033582,-37.62692621,57.43425455,-60.26512267,73.30408282,-52.88475354,-42.87894031,-29.51481913,63.87188066,-85.2912767,11.11924114,116.2801252,-28.17051201,125.9287484,-38.93596342,-44.1166073,-4.207074252,7.440199961,11.61714966,-44.39224315,-7.876363695,42.74573922,54.54517807,-104.4223473,-18.43246,-114.5165346,21.76525027,67.69676012,-61.17296032,56.17557655,40.11308047,47.34642008,-2.200669284,-63.17430711,-107.1544949,-77.31936119,17.07632925,-37.22165187,122.4176652,87.39468359,92.36560212,56.36900005,-1.181994177,-58.85615437,7.040646101,66.60097677,-97.77184517,-27.02443512,-11.12199114,8.876800476,6.030675449,36.07697144,79.37396656,-51.18912026,65.74979583,-38.08739866,-112.5774986,47.01379532,30.43968407,-87.73609454,8.938518712,-49.1163593,4.88877747,-95.42329052,138.6408446,-57.33072835,39.62889134,-9.903314807,79.52596895,1.615704346,-115.004059,49.62267635,15.12584834,-75.36091262,-39.0099006,-21.01183703,-4.793413564,7.618739478,14.84380221,-63.28048552,-14.23775156,43.25315659,-27.18089865,-10.36753442,0.498612318,30.62625603,108.581787,82.88601586,-62.00042126
0,186.8790419,762.6747458,-401.0660664,369.4611698,575.2733133,-249.308713,192.9143124,48.27310598,-592.8910112,363.6764345,-57.41213786,-589.2714893,27.69559135,166.0849547,-212.1688226,321.8577814,270.5576063,110.5227817,-325.1031876,59.02177172,23.35029201,-9.561858674,133.5888166,-454.2621219,227.1323431,-259.5644875,85.35654345,414.0903716,-260.8323649,288.4389839,-43.37705221,-142.3229085,-68.01516247,-85.81412205,90.84127269,76.56337455,96.2432944,-13.19042927,-191.9380993,-168.9782932,179.8623465,108.697973,309.5746983,-40.6262253,185.0975513,-6.869886463,79.97552712,-255.5898378,-10.54155522,84.44416714,-174.0973658,29.12096848,71.9557168,-48.48212119,71.38620354,37.97692005,17.8245766,-28.08277235,-146.3957063,70.69801436,-7.354415736,-43.72510301,34.64852911,-21.13473196,-45.43511265,163.5332128,-151.1785385,-71.50664891,94.51493974,79.24794821,92.88695768,125.8240669,-52.69371735,-77.55012721,-16.23608994,-29.87989074,-173.9200422,-23.55832485,-80.81427436,-28.46225139,-157.1305382,17.83388964,-76.31889058,84.90909935,81.35874866,84.09874879,-38.90832189,-3.12130847,-73.47138239,132.5848889,-18.57345629,-65.38069349,34.65326341,32.17057164,117.5394186,53.15507991,-42.21411001,76.56395714,-62.92146283,-4.070333447,-147.225244,76.1827449,-109.1032006,-104.2346037,20.61863531,-98.34039906,-3.289222904,48.65879374,92.93006551,-21.68346251,21.47197168,-55.34131952,-9.739395275,47.33591585,60.98340345,137.8577539,40.79184926,-82.48183783,-10.19855211,-100.2849873,-60.07760617,66.07166338,66.57821571,31.22242113,-68.34033826,23.92295424,-10.45242652,94.90204459,55.37202448,27.1628954,-24.47039547,5.04863598,7.037597473,-8.954977233,-6.832669675,-116.1135738,-14.11088541,162.376612,-142.4885011,-73.56069362,-18.1821261,-37.42148675,-5.959029657,-21.39030272,73.39987802,44.96407446,-36.3840597,26.74932939,-91.07709575,-2.949651341,-63.85658463,-41.48870816,-15.51352035,70.93599059,25.67639899,29.7059328,-7.311538713,-8.849306725,-5.771950952,-63.01098722,63.98527005,-62.26811151,-19.40336012,-26.35395646,18.19680951,-1.251406638,-13.0478201,43.12226697,24.08640017,-10.30692881,26.36072265,37.08420242,-2.80496716,-60.95302884,-10.29733015,-35.33658196,-69.48551332,73.59837744,4.635369266,46.9121982,30.24533372,-18.9481611,50.65417874,-93.83628569,8.149628121,8.831830226,-60.17841194,-20.93691873,29.08144183,-0.291350027,-3.227387786,11.63920245,13.50768057,64.7133954,-50.48682464,6.998418855,8.205430809,53.04709964,19.72809844,-32.96211271
0,-773.4863225,41.56278321,-233.8157882,-627.5743547,-373.2982596,255.0250138,-147.6690755,216.5740185,52.12409036,-242.7443198,-246.3974063,395.0321821,421.7955003,-12.56747321,232.3975323,54.492774,-180.8612466,-215.0015999,-401.7302648,-31.89312263,-132.1427009,-123.2941605,-39.39122594,116.4356151,59.40766438,171.787416,-153.5230009,3.416669915,-55.18352986,-15.10182253,-238.6060225,-64.36822835,84.52209587,-72.52338742,177.6817325,68.51707139,249.3560152,86.65636744,-99.23388304,-46.95916116,251.1895983,-96.96684967,123.0213076,-24.40544137,-59.46623769,138.5497021,36.18270358,100.8162653,115.8270059,75.65816444,71.72312401,-56.84857327,95.61822432,95.74312952,-15.97559293,-112.4284699,-26.04181341,-34.60246003,61.87515731,32.11986375,-0.838766124,12.50391447,58.64137423,22.63444671,-159.4589752,111.9161412,-16.06977033,-68.53415363,47.57469655,19.34423153,22.18673067,-66.07024265,-135.973726,-98.70839861,-83.89428949,-31.44537295,69.41021542,119.8897562,25.99682694,-52.00224049,-38.79063725,108.9864809,76.60933692,-22.19944854,4.384535,-38.48061124,-0.459379645,39.00636143,26.98012704,-81.06304912,-59.87079776,5.310609587,-41.54947096,-15.80716773,56.96996855,31.53443659,-15.55775219,-33.1390877,-82.44868653,95.85580124,9.86514141,51.72759585,4.645986946,49.57376577,29.17238413,-46.29292823,-72.45739563,-137.1832781,1.927500693,-25.02552544,-17.95739798,1.036868588,-54.60853801,78.92851016,-6.375098826,-6.189141932,23.43593724,-0.130730784,-22.62454999,-44.3096052,127.9194883,-20.9428998,-3.58754198,76.34734141,-13.68832971,81.77779133,7.733357675,16.98597284,-21.4109833,35.48905429,109.6902848,-21.98009071,99.73127104,22.28530601,37.14309195,-59.32889219,-32.72600664,-2.977469751,-1.409028433,-56.10358964,-159.6079102,-42.65292086,-79.74873022,-31.95787524,-34.41799124,3.289659313,23.3334326,70.3766532,61.43633088,-102.0315481,-23.05812358,-7.776100284,14.47642767,-3.924777834,-20.15825725,28.30107336,-41.78719621,-96.69510321,-15.54350644,8.10778017,-49.61710824,17.95497871,56.44807022,-4.149702187,37.65657553,-78.03342112,14.72386189,33.66358287,-10.70185758,23.9506337,21.95087886,65.87714656,24.4751069,-35.96240477,-6.485364371,68.65702528,44.19357566,62.55564012,83.87945754,-1.902161915,-12.79247036,0.349483367,33.18405607,20.37403161,62.75661734,-6.918598655,-6.707736597,-9.49007891,80.52586209,16.11043957,-53.63880075,4.139272164,-54.25812879,-22.58758556,-22.69378318,-12.13003097,5.602147832,0.743441083,-1.895946893,-5.175408865
0,-387.9215381,344.6418712,-570.7375145,118.1734259,638.6114145,-271.2234412,-50.56608712,15.10823438,244.0937516,826.3390757,159.7789188,217.7126988,359.2486565,-357.9916042,-38.87943174,-256.1883079,215.6882996,-19.95154909,-40.71110461,-247.7890677,361.5403526,418.0741649,-189.2343056,-137.4620894,-426.7540993,-488.2558716,-70.49366978,-36.71372976,-398.1996598,-22.65778581,-82.62632145,-162.028031,19.11912594,-165.3944239,-231.5431431,58.44630033,-185.4162442,-161.5026164,3.287585759,76.2021271,-193.075133,-218.4120297,176.0530875,63.32000425,-9.997633098,152.6462872,17.31431651,120.4414316,-250.5649266,-29.73266133,-82.42959129,12.13557657,22.47111381,9.294858006,-4.077935504,371.8257946,-123.7847182,79.38994154,6.797543327,-92.47282148,-81.71219307,141.5029126,146.4145875,4.688331477,65.00939625,-108.5232795,-40.17169874,-220.719439,-38.55498182,124.9971397,226.6195295,163.3821675,72.78412061,-192.9250869,-88.3295825,-22.30292266,83.99260374,60.72181351,-25.60761505,123.4247893,-151.6023542,22.7604062,-76.44685415,-25.88820538,-139.7879065,-15.00806888,-0.905104009,56.5381953,-71.29591178,-79.29019771,-181.3456182,50.36297077,24.01719231,76.75442118,-44.46720862,-35.61396929,-67.55625729,1.910151237,-8.033668234,-20.44349909,50.90808446,-56.50004395,59.90965601,-160.1185184,23.76908915,192.8986183,-112.6017405,125.7188708,6.903454995,-31.30444965,-125.6765215,51.6670099,202.2718599,-87.21759305,-17.82852374,24.74123861,-57.03255736,-44.18913831,11.81137128,10.39621876,-70.9357676,93.32120505,-9.150066887,28.04265095,-45.50455274,-96.25733296,93.84743751,-21.55717048,-177.380737,-124.1156711,135.4684778,102.6403928,-14.31446757,-36.63694369,140.5977257,41.09229477,-149.8911345,-80.25633547,79.98274832,-2.185609772,-47.6492252,-80.45123635,-13.49983224,-50.45525942,44.21290337,-134.1434435,27.87710847,25.96332048,28.57267323,-35.83382432,-7.697190476,-27.30342794,29.29847637,-114.9609374,-40.33707495,-27.43947827,-24.43515007,-38.74325824,94.32500741,8.961362046,-45.80851041,3.902292154,-46.09064148,29.9674325,124.3450255,-35.11216785,-23.66316426,-157.1575665,-52.80230263,-35.57344735,50.74287119,28.79073199,-15.1294132,-8.418785173,18.99532202,-1.118135312,-25.80696294,44.44554265,-5.224848988,-65.75737913,-62.31649153,31.64690358,56.03586536,-3.082131743,-50.37265225,40.11178378,4.989506732,-3.943186333,-45.2616293,-62.16077481,10.30155802,49.21669912,-64.53710497,-30.16734243,25.40118621,79.22806952,-65.14014519,4.857337276,-33.31577219,-14.54778884
0,-620.7736295,774.7728619,440.4873646,178.6570865,-27.97326313,60.36177963,-628.5747206,208.5996808,-180.8795617,204.6208203,-10.88734673,-191.7355692,-277.9530616,-145.2815965,-685.3946486,-165.0375818,-368.153181,-40.4205274,317.5882685,37.49568129,-419.6256927,5.259518055,-118.6650725,-26.85285092,177.7544982,-50.93702441,-573.7539041,263.0734745,-79.47162243,2.997211782,-123.3104544,367.3761582,-147.7422129,23.10285898,-86.2525329,22.06747638,11.09330357,-204.1549295,-36.92115256,41.82614142,-133.0349142,-17.4279477,-12.85918955,-321.5503198,91.52463182,-27.25783449,-87.3616182,189.978071,128.7761536,-68.53673293,6.716850463,294.9518834,110.0778822,202.150177,-55.45793888,84.97328223,28.14175591,25.45318094,10.66781264,-72.91368255,9.682746313,158.9802034,-24.74997611,-43.17441662,26.16919357,-69.28461816,-139.0220248,8.855143074,-150.1284829,51.92535343,-5.916839076,-148.4719548,-89.76870123,-51.16821686,39.44082402,48.54934661,-21.23477487,-43.30029248,-33.4008649,-6.975454566,119.3454648,-67.48118394,19.23509533,-3.091758893,-5.849736344,66.52681769,80.87561151,189.2072241,-50.83920519,115.9338542,28.82619981,-81.86197435,-17.17134167,-148.6765354,-78.85891015,-131.0249283,-51.44138377,-14.73992743,-36.22897788,112.2525637,-63.34145314,49.99442526,93.2874558,12.80740389,-0.931127261,134.8742296,-35.42096029,-125.8797992,56.95386414,-11.86531627,-11.03657512,120.6025347,-18.34683066,80.80476752,5.233357759,-90.45661011,-164.705894,41.88124216,-0.221999103,6.5060551,-145.8727958,-96.65110843,-82.29444837,-100.4697719,-83.99111534,-30.3425118,32.09187442,30.09632698,102.2503157,-22.96894991,-94.30234602,-108.2788893,-43.6917537,-40.82017626,-43.27837019,56.78827687,-32.9180121,11.21391368,-11.90989074,-103.2707938,-0.360888659,-59.07323984,-78.07728378,-105.7152516,-79.87216423,-123.5609243,37.09611184,22.43704492,40.87968096,19.92085921,-43.4144561,6.774166996,-53.75106658,-36.13627761,-41.87401935,-39.3767853,38.44700579,135.2499935,87.24063736,-0.174882799,8.218957548,-45.73240895,-37.98556335,10.08077629,-10.3715194,61.45196394,14.01699246,10.82904397,-13.2060259,51.68190534,-74.86363319,54.43185406,-22.3557037,-28.25646038,-25.82078503,27.95713601,19.7768303,-16.59730151,-5.225286639,3.649520271,-11.81367909,-52.90836573,4.452537391,13.32480963,167.3678276,-82.0312026,-0.260732495,75.58811602,-88.47562269,-46.86435937,-9.606040551,-51.83532814,-38.46337496,-20.85294911,-68.1766652,-22.6728086,-87.03655563,59.36831485,49.28486809,46.50978048
0.001,169.5089494,177.0037095,15.56572999,357.7076987,122.3127774,330.8644995,-46.20227519,137.1519955,-439.8589533,455.8062757,-314.0076634,-664.4886207,726.4229769,291.6466186,504.0932074,369.6374306,481.2425648,-190.5418767,-144.503938,-608.3878135,235.7009701,49.49209231,-79.28971665,227.8722521,66.64629192,477.0771812,-295.3140768,89.30626513,66.88395182,27.55721151,236.9353052,-59.28011421,-386.3472098,50.63811072,-227.7498447,-95.38271218,100.5876997,-141.839662,-104.537007,-79.76620867,346.5124901,-98.44985928,91.08659284,-36.94392936,-43.17859709,39.05889389,-126.537932,-124.0625933,223.8970561,-173.1379649,123.086046,-156.2864542,-104.9507769,-163.0988109,-328.38838,31.79427593,365.8924588,97.18076686,119.4978825,91.56452852,-93.44438936,49.3021602,108.8808268,-18.35366008,-3.255415016,6.467358512,-165.5405531,-29.17748829,1.537065462,188.4056972,-67.5600806,92.01678595,204.5630724,127.0459454,244.517249,-149.838436,262.1818636,-156.6421972,230.6110796,-97.28211501,-81.16963573,112.7303266,22.59382406,-142.9179091,-69.70573871,-66.83581063,-49.21584933,-42.50762311,45.48394475,-1.50654764,-134.0328154,139.4589004,-114.187573,-26.35144871,87.80220288,14.71702925,-132.7144821,35.20876842,109.9043156,25.86959195,-4.755287454,-21.01326647,-32.1800191,21.12376943,-60.59628695,-27.39449542,-59.58400122,29.73492058,-7.252720354,-94.0842115,44.52837003,142.7768193,-45.34697845,-171.5072733,151.1477588,61.70273144,-80.0000869,1.594190401,-97.59738585,103.4510093,-15.12401535,118.2572399,15.88461515,-166.0436367,69.3238389,83.3941518,-53.62349287,101.1577475,62.47615086,30.87008888,3.51023106,-48.53338033,113.8673332,-80.38345545,98.45969915,0.673719658,43.60003513,58.57149978,8.04017087,35.16273608,69.79079569,69.79023477,165.2432675,-26.83626839,7.890216261,-128.2374114,-48.04293227,56.46592405,66.73397684,55.53344628,1.128938483,127.9681168,73.78257816,-31.00202758,-62.62325484,-119.1587347,28.40996341,-52.1211474,10.33457588,13.48224062,34.19333586,-15.04562354,45.99016119,-72.76242903,-42.3169961,52.57017477,92.23801036,72.79505915,-59.52492195,47.01109005,66.0447903,-50.80057495,20.86789561,39.99836246,76.46830286,-89.38024145,-82.05937287,66.26763885,-2.160234845,-29.67140588,5.87462081,-38.48454448,-10.50156749,89.99770677,4.503121678,41.20303984,-0.043941111,13.39548885,18.46813749,-18.6280436,44.43460174,16.73984146,-91.80476752,-48.20861245,-10.01650334,-26.70210141,-89.68313457,-0.58307826,-97.95198453,-37.68553554
0,314.5077883,635.352872,-435.9936005,450.3284306,-242.5718953,-108.2796921,-596.7627483,-313.9741273,65.36555775,56.79589944,-178.3771512,971.5155267,597.3248788,-228.0045799,-365.9139308,-112.8353535,156.2901106,-71.73616854,-192.1059647,-102.62108,-348.9710281,-161.9441143,-127.6831768,6.155477276,21.69659883,-376.3246839,-245.8332067,-264.3233286,-189.7871588,-395.4952402,-134.5816418,-9.704221899,32.54902942,264.4966901,-23.25300469,354.3207216,-208.8293282,-20.73649699,93.13753662,-8.044317024,144.8726421,78.21164365,-218.2936661,51.90696935,67.62871559,56.27962734,-8.916265248,-86.5778154,67.73467434,157.5911759,-300.4775931,232.1695553,146.7959978,172.4609743,-26.1499177,-93.33642669,-112.5402952,-283.9843908,22.31037475,61.46906713,194.2109142,44.85246591,124.9065738,-1.896320242,218.1693583,-35.21781539,-66.56033868,92.91021653,142.4850419,4.281903491,-8.651499427,-18.2086818,-47.5035835,-92.61916451,-42.0724138,-97.45868755,61.93423011,7.292840756,2.395849013,-49.01777646,-67.15766282,-21.65427302,178.0204921,204.8795793,-121.6105208,83.15888846,61.19807489,-141.6802085,131.8662867,60.92271582,41.57043376,-15.71700722,-8.003677715,46.94538045,84.99621377,62.85075631,-111.3125722,12.05090634,-26.4287962,4.172974137,130.6234081,-124.4838086,12.97509208,-82.48512518,6.814843502,68.85561084,85.72178835,-10.15418399,-200.6646811,-50.49029647,27.65765867,-123.0376628,-43.98300117,-99.6282646,208.3638032,16.0319519,79.18782957,110.2710784,-131.1278895,-71.11192115,89.4866697,108.3635636,64.09077177,26.31035238,-0.574718122,8.057375072,65.54005509,15.32852006,78.60600835,97.94807351,-87.62928239,-146.5372634,-61.5962315,33.13975587,-36.69265198,82.38184286,118.5791953,-26.60456055,-37.70405181,32.12874685,-17.70189406,-45.66892468,93.78342685,12.83434715,12.89431104,167.9923724,-53.54595922,-11.98501465,28.1359265,59.22574801,-76.65512411,78.27593483,-67.12893946,-101.4600592,14.76765035,1.874868996,-55.71722601,-60.58782586,26.46459101,-18.15669429,-103.9199148,-10.02762488,-3.99154039,52.61450729,27.54847075,72.16115543,-10.94643653,-22.82535901,-28.72585029,24.6882647,47.04296122,-23.26629944,-84.6480189,-39.20726463,-83.89023118,-96.66240169,89.89400824,0.652726329,42.52019984,-8.880891546,-103.6306799,-92.57081582,-40.29521432,3.492999695,40.4130783,-18.4224781,-0.791701391,-22.50271449,89.91601291,-21.13032619,-59.34197567,50.78460495,-45.36669819,9.645844883,15.79356915,24.0579643,-46.49224689,-41.23460344,-115.0837167,57.08002455
0,741.9287184,-628.6690453,49.97143753,113.8366192,1482.490501,419.7814362,-132.3369439,752.0749372,-218.8038599,94.45988765,-249.1944463,240.1413387,48.47174269,291.6338173,27.17224391,-200.9901582,-107.0566158,-160.025637,-158.0745293,-12.43773111,-143.0822301,-236.3259436,202.1283597,-65.20857632,-162.5867861,-9.692922859,261.2488205,212.8238113,-347.0608161,134.6868598,105.0518419,167.0324874,53.88807856,-181.2611003,-159.5732716,-301.760212,-72.80439447,109.1742101,123.0946486,-12.55129299,7.673207798,39.07420996,-63.52607528,-83.11469674,-234.3639605,54.89473633,102.5028286,-229.5374231,105.2461579,-189.7845162,-86.50486212,216.6526729,-15.73159251,-172.5614568,-158.5553649,-111.402925,-112.7766023,-4.088468692,-32.96311403,-84.18956349,255.6837236,35.5234745,-103.6856989,-40.2094206,10.58342452,-123.8213315,-99.75293547,2.78832668,7.060510109,168.610395,215.771508,-20.96039369,-106.5047496,32.52093634,-1.643349141,-163.9933552,-31.44525088,-158.3292241,-78.99338492,-75.07537517,32.47742404,-16.30325675,-202.4135097,-29.54395995,-49.59483613,169.2404721,41.08659894,-17.39267957,122.5364279,-121.8167507,-185.7346039,-64.51726042,-43.06371543,47.54787429,134.6055167,100.8709477,-87.93094595,54.63721898,18.35555616,-32.38397359,6.961635897,33.58948062,-52.25394526,-59.13103941,-73.95123502,-82.11210019,144.533409,-58.59458786,31.91528141,46.9196557,42.05751335,-115.9873785,-149.3690124,-103.6519531,106.3637464,52.1950054,90.88393927,106.7635418,39.9177815,-83.57769392,-43.03167453,42.71624836,-186.8375942,14.2259226,-82.59894793,-19.07562874,124.7038915,16.03126084,-71.03133856,3.855881084,-11.96937803,-151.1171326,47.62652359,25.67018541,126.7243523,12.10402887,143.512957,-47.14277655,24.27187779,27.18532952,13.24363027,-48.71186839,-80.50728358,42.64819142,16.60669476,-35.99604849,148.4953408,-54.15016042,-40.96243268,-9.6856705,-66.97434348,-33.76849029,63.31627079,-74.19612992,37.51205163,20.38448039,-52.11861601,27.14934922,27.92508616,-83.97034862,-89.76774197,-49.79951804,50.5951017,5.419119834,35.51434763,36.19514178,23.02002841,69.61617351,-140.2615471,27.95847911,21.16755931,20.80410218,86.65158151,-79.79225952,-98.43261888,16.14546018,17.2737201,-2.975645414,-24.51679829,180.1191317,98.61362939,24.3860385,-18.38882409,-33.49628607,-63.87663036,0.396815887,71.31219785,40.26017866,-57.89294738,38.57343299,37.83203954,5.09917281,-3.140225512,95.81572536,-11.09481772,13.39484273,-28.54033007,44.01323246,-48.41531615,-40.01042481
