pred_prob,f_1
0,-210.7976254
0,-755.8090999
0,690.1384827260288
0,186.8814230978465
0,-773.4872421
0,-387.9216089
0,-620.772511
0.001,169.51600691140857
0,314.49957562775353
0,741.9263040049474
0,40.75570910441527
0,-34.74960401
0,639.8501403807878
0,-895.8236147
0,-395.147745
0,-15.21667058
0,-291.4235619
0,-655.1702338
0,-152.6494967
0,-79.46817071
0,-133.3597446
0,-285.6620884
0,70.36488469882475
0,-532.5452924
0,1501.4719679090285
0,-457.2546975
0,241.02787441349548
0,810.9897194093803
0,-846.6196607
0,-677.1034842
0,-893.98508
0,-887.9599551
0,215.37679463639827
0,302.8854888
0,-416.9900889
0,-910.9905104
0,-841.8968001
0,-832.1558941
0,-586.9167852
0,-412.0221059
0,-651.3230948
0,7.2900782463994185
0,-888.7473565
0,188.34356788871108
0,111.0102645023012
0,-44.7928801
0,-509.9278643
0,15.311803865069866
0,-479.1969482
0,-281.3461333
0.177,-673.3991381
0.136,613.9724460104223
0.107,665.7056666280506
0.192,1427.6856682176476
0.168,-690.275419
0.14,394.19269864577933
0.163,-761.1103631
0.168,-741.7661626
0.157,-646.8888212
0.13,885.6279615
0.112,-419.2556765
0.183,2125.458219065263
0.107,-364.3938898
0.138,677.3916723007612
0.174,-323.2922692
0.163,-313.7249405
0.18,-870.0444932
0.126,-125.8193633
0.109,-416.7950044
0.11,-314.6173212
0.182,443.7044940247331
0.109,812.9865034928351
0.13,286.8775284564569
0.171,47.226659954299485
0.171,-718.1715799
0.156,326.93197593434485
0.109,404.1312551769931
0.126,38.66648325927519
0.141,824.9088178964871
0.113,309.36591433396603
0.165,-756.8868993
0.109,-555.6898168
0.1,115.09986337777286
0.116,307.4643493333988
0.127,-26.29592299
0.146,567.7374744135243
0.172,209.70644218117866
0.152,126.25513521547188
0.147,-165.1119878
0.149,13.436829643662943
0.117,408.36169360257105
0.118,-447.3226528
0.182,1180.0023149033068
0.118,414.1031280255004
0.162,-303.0571621
0.147,-419.6536748
0.163,972.2554639635407
0.162,580.9717897993597
0.176,-863.26584
0.113,-604.106287
0.237,-53.23229967
0.21,137.3620982782932
0.23,-683.9301339
0.215,-336.9691105
0.252,-691.7147198
0.287,267.79333312601756
0.251,-633.5003704
0.263,837.3274825951463
0.277,1312.7803537452564
0.226,716.5815612804539
0.295,633.7886582584965
0.242,-217.9490202
0.207,332.52868107910444
0.297,309.32478270296224
0.238,-447.9916722
0.262,-697.5757524
0.217,1.0678301483413106
0.257,-491.0182937
0.21,33.75389836700188
0.217,948.0212951713665
0.295,337.55045449200895
0.217,-94.66884899
0.224,-450.9812648
