,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
0,0,64,0.105,FALSE,6.898,6.419,-0.556,24.444,34,48,20.591,FALSE
1,0,83,0.168,FALSE,7.566,8.195,-0.368,17.105,77,55,20.248,FALSE
2,0,40,0.062,FALSE,5.166,8.811,-0.368,19.474,24,25,20.248,FALSE
3,0,75,0.2,TRUE,6.567,2.213,-0.5,17,111,46,17.889,FALSE
4,0,41,0.082,FALSE,5.201,7.95,-0.316,19.579,29,35,19.925,FALSE
5,0.003,61,0.125,TRUE,5.334,8.264,0.722,4.944,60,38,22.204,FALSE
6,0.001,74,0.173,TRUE,7.09,5.806,1.75,-16,39,97,16.125,FALSE
7,0.001,77,0.18,TRUE,5.823,7.049,-0.667,26.333,49,92,21.633,FALSE
8,0,97,0.176,FALSE,8.065,1.478,-0.176,10.882,99,39,17.263,FALSE
9,0,101,0.171,TRUE,6.421,5.804,-1.3,31.7,69,65,16.401,FALSE
10,0.001,72,0.131,TRUE,5.647,5.809,-0.444,24.556,26,77,19.698,FALSE
11,0,86,0.171,TRUE,7.216,2.154,0.059,17.706,99,35,17.029,FALSE
12,0,42,0.089,FALSE,5.069,7.093,-0.158,15.632,34,36,19.235,FALSE
13,0,94,0.136,FALSE,7.649,6.105,1.667,-3.667,82,25,17.493,FALSE
14,0,80,0.129,TRUE,6.189,4.497,-0.056,17.389,32,69,18.028,FALSE
15,0,63,0.133,FALSE,7.026,5.174,-0.529,24.765,43,61,19.235,FALSE
16,0,95,0.205,FALSE,6.982,8.328,0.938,5.25,125,36,21.932,FALSE
17,0.003,61,0.156,TRUE,5.419,6.624,-0.611,24.278,40,82,21.095,FALSE
18,0,69,0.131,TRUE,5.736,6.015,0.214,8.286,24,79,14.318,FALSE
19,0,82,0.152,TRUE,5.986,5.154,0.538,2.154,26,93,14.765,FALSE
20,0,79,0.125,FALSE,6.844,9.247,-1.714,48.143,7,91,13.892,FALSE
21,0,84,0.29,TRUE,7.337,3.546,-0.933,22.733,150,77,20.518,FALSE
22,0,62,0.097,FALSE,6.695,5.667,-0.167,19.5,22,54,18.248,FALSE
23,0,84,0.202,TRUE,7.018,2.718,-0.118,19.706,54,104,17.117,FALSE
24,0,40,0.079,FALSE,5.098,7.514,0.158,11.368,30,32,19.235,FALSE
25,0,66,0.148,FALSE,6.239,7.151,1.091,-0.636,73,43,16.279,FALSE
26,0.002,40,0.068,FALSE,4.938,7.475,0.211,11.947,29,24,19.416,FALSE
27,0,73,0.148,FALSE,6.499,8.241,0.5,9,77,39,17.889,FALSE
28,0,64,0.149,FALSE,6.702,8.332,-0.684,25.105,58,59,23.022,FALSE
29,0,92,0.175,FALSE,7.946,5.613,-1,31,60,77,19.799,FALSE
30,0,75,0.131,FALSE,7.101,4.148,-0.211,19.474,40,63,19.416,FALSE
31,0,40,0.075,FALSE,4.977,7.233,0.105,12.474,28,31,19.105,FALSE
32,0,75,0.116,FALSE,6.737,5.699,-0.444,18.222,57,34,19.698,FALSE
33,0,41,0.099,FALSE,5.053,6.794,-0.111,14.556,41,37,18.111,FALSE
34,0,34,0.043,FALSE,4.94,8.12,-0.056,14.278,19,15,18.028,FALSE
35,0,63,0.102,FALSE,5.882,5.683,-0.389,21.111,37,43,19.313,FALSE
36,0.01,60,0.096,FALSE,5.984,9.067,-4.5,90.5,15,60,18.439,FALSE
37,0,53,0.107,FALSE,5.82,7.512,0.056,12.778,39,45,18.028,FALSE
38,0,81,0.126,FALSE,6.369,6.26,-0.375,16.25,68,31,17.088,FALSE
39,0.001,42,0.108,FALSE,5.294,7.905,0.316,10.737,49,36,19.925,FALSE
40,0,74,0.101,TRUE,6.475,8.167,-0.417,21.333,36,43,13,FALSE
41,0,64,0.117,TRUE,5.699,5.539,-0.529,19.588,58,34,19.235,FALSE
42,0,92,0.214,FALSE,6.612,6.635,2.375,-12.625,117,51,20.616,FALSE
43,0,85,0.139,FALSE,6.402,7.939,-2.667,41,87,22,17.088,FALSE
44,0,78,0.101,FALSE,7.169,5.534,6.5,-64.5,50,29,13.153,FALSE
45,0,104,0.207,TRUE,7.17,7.861,-5.333,121,39,123,16.279,FALSE
46,0,82,0.156,TRUE,6.587,3.472,-0.176,14.059,74,48,17.263,FALSE
47,0,41,0.065,FALSE,5.199,8.321,-0.263,18.316,23,28,19.647,FALSE
48,0.002,77,0.154,TRUE,5.85,5.062,-0.278,21.222,30,91,18.682,FALSE
49,0,56,0.075,FALSE,6.334,8.115,-2,36,44,15,17.889,FALSE
50,0.111,41,0.069,FALSE,5.081,8.406,0.316,9.421,31,23,19.925,FALSE
51,0.114,64,0.129,FALSE,5.163,7.433,-0.688,20.438,79,22,19.416,TRUE
