pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180
0,-123.7824478,-50.80238271,58.6683622,-883.1610107,-252.1009859,-326.7314578,129.1691927,-8.720321591,-458.7881173,-288.2854689,399.6339068,51.46345014,282.4365925,-24.95900518,-264.7907861,568.1464276,-418.2535885,407.4920908,353.1772495,43.83722941,26.8107102,251.0117242,6.330990748,436.8152396,164.5424669,197.5786859,-152.0074382,78.53843718,175.662142,278.9635,-33.50187688,42.73063483,188.7147353,-26.84205208,26.96359317,-32.09753143,51.60906113,-68.86933345,156.6414153,-219.0639254,-64.38110747,49.27418842,-47.69950767,-152.7902964,158.239875,167.6351198,-170.8633189,-283.4448534,-39.79145557,129.5954724,-199.6681924,-178.2133482,-138.822608,-47.24051769,-176.7284888,52.57224087,184.1522913,162.4501291,-104.9428222,66.67422749,-67.31194047,-187.8801944,-96.93812857,55.82644558,-12.69629609,-130.2214493,-160.636201,115.9085182,74.10828743,113.6902069,-76.57629736,90.39173431,19.0768206,-100.8949828,94.31567251,78.9295571,48.71044484,-162.9908768,-0.583937858,26.7380244,75.1635589,-34.68945623,-144.7783847,147.9742226,46.80725659,-31.64110451,157.2019709,-94.2401209,-45.18285391,-19.45518766,2.81330166,82.60740077,47.15072725,-33.32097063,14.17463572,47.46885621,32.90380955,13.72278995,-174.6252679,80.05079808,2.011872784,221.7511608,-50.35937536,-92.6842452,55.49262165,-12.51995046,-49.16071228,-20.21254397,24.10826824,1.081464912,-12.25758906,-0.085591624,60.09582103,-183.8633139,-0.335736319,61.63562194,15.85457682,-11.11089792,-0.721603075,28.18087057,-19.0827883,8.701473224,-7.00744297,17.82351717,102.9895704,12.64775535,-97.98218125,-76.48280267,-115.9677598,-38.47852674,23.7878438,-1.690118771,31.69083311,-93.42671829,87.83343608,-20.16775456,-69.91483654,-0.429987904,16.43613627,38.57794884,-33.46108856,-52.65311405,78.96632585,-39.96362173,-8.893242401,-7.384000101,93.89369963,47.18344797,5.474848514,-30.8685773,127.0287963,1.441987216,44.87914204,-29.85765198,76.33444254,28.53183655,148.9778044,35.78257866,-60.98574489,-91.61469244,-54.02727248,-24.6378281,-20.68693933,30.19199981,-4.607503953,-2.871137698,14.1990341,55.32772502,-90.19754362,-25.98792307,104.4630769,-113.6784425,-58.90666345,40.16197067,-71.06963883,-34.29679638,-2.285444075,9.624136436,-97.55164307,-1.690922088
0,-260.1969373,-329.2057589,-628.8314908,436.1715969,-284.8412395,935.1630801,55.85813824,636.7337186,-592.6568166,-663.8153284,-118.2520066,231.889133,-354.3881749,660.1826542,-172.0705009,-424.511009,-543.904855,63.45189168,-39.44133424,89.88948838,174.3497726,356.4063523,276.3140429,-41.73127259,53.95035893,-267.422023,-330.1580347,279.7653483,-188.0221305,104.4528291,64.44379021,260.5184045,133.9109404,658.6125946,246.5847336,-164.1234494,-98.90622855,-70.23613123,-209.1242797,212.5564638,-40.41437086,-49.16429206,-20.79937674,55.23895989,519.435636,186.8854198,-175.5694764,172.4234165,29.97049516,-3.311860928,-168.7888419,-117.5615228,-25.13880963,-168.1633441,13.40411959,-49.82867615,-14.10212715,-45.19982227,130.2963128,95.52930619,-183.8909445,-88.42566976,-34.77279704,406.5474352,-73.73569452,16.86442297,56.89826279,-79.09844655,239.6667469,81.16604056,-31.49449931,255.4688582,-142.5389153,124.0914481,61.81785033,61.68319266,-3.844177423,-16.25483348,130.0124951,-61.9469479,-17.11622326,-65.08590449,47.59645149,-136.8206727,44.3571518,37.32543506,-21.89646946,103.1618091,1.909025735,-9.330218455,-26.06177825,115.2386496,-122.5711423,71.76347343,-240.672144,-108.9230566,80.49965184,-122.9950208,258.2324255,-10.25334469,-91.61446822,-2.745384881,-109.7870206,-47.33364147,-48.48651831,73.82337474,-36.00609546,52.06867116,-26.04373905,-15.7749772,-172.7495392,-6.984114511,-168.2249872,44.29460971,29.73344607,-54.77604885,-102.492193,75.99324054,-63.66517161,118.6782047,-26.66039288,16.1741417,150.7036535,-120.3642992,62.59708786,-88.18667742,-66.71759987,45.12953049,-121.2086033,7.018114726,61.64369372,82.10866798,24.53321835,25.39049676,57.20920246,-7.999647285,14.11922899,24.66251798,-25.18492202,76.73580778,0.404649001,-5.523760671,-22.71661683,-99.18123175,129.951079,-75.49965456,-8.462490159,47.40339414,-31.33957771,-73.14756941,-65.90646389,-5.491389025,90.45311595,-67.36758684,77.71110783,110.3001789,-109.786755,32.63073681,-0.709081832,1.178880213,-12.25649357,-117.586397,39.61796335,26.35665055,-3.642782357,-22.41109819,-26.24313696,11.16951537,156.9603104,-45.43989221,-70.63380168,23.75649226,-64.47354566,8.97275286,28.49898968,32.56515618,-36.61428293,51.85032071,72.55993404,17.61673669
0,-605.0412109,-510.0488937,-964.1071444,-66.37079942,-73.81734601,-31.76103783,359.5500188,11.61067138,373.3320059,-454.2569155,-105.2643742,406.2821948,38.30116019,-6.002164578,133.650386,124.3031603,232.0578668,171.327929,-144.0021507,83.00505559,-345.6765273,43.98042816,194.4466409,62.80463862,217.9949922,109.4592168,-119.7655562,0.237965328,226.7396193,-209.6024719,94.35820294,73.36488227,152.2894257,-152.3973353,-19.57077218,77.69879515,21.89487643,81.64686668,-78.18570122,74.11361313,94.59079289,-31.0857706,150.4609289,-86.4537282,-80.16212486,-10.79707561,-12.81089888,103.1707351,58.35769202,12.72596801,-149.9632032,18.95133785,-32.7183186,140.9763696,-32.63264859,-80.7575678,81.91122328,-111.8846739,88.42483805,-78.97198765,38.02093627,77.66965047,-80.76637718,64.95291253,55.37953681,-29.5517029,-172.6324337,126.052683,-2.068163166,-34.89101714,-67.79661971,-38.11073431,-6.964649541,41.2836978,37.93036822,14.69162687,54.50415964,-26.50042297,-0.203438722,-33.0850393,-106.2182363,13.32631781,-52.23201606,-18.55981982,-54.17711726,47.8713063,51.6568254,-128.827874,19.8053424,-34.19022108,-35.19155073,5.508517712,-76.9842936,81.31640005,30.35792396,-65.24888043,-30.56890764,55.60425844,-5.154019594,-8.065688123,41.93437863,50.37442304,-4.517922461,42.28551311,39.27685132,-1.464700756,71.60491227,-30.11286716,39.09018227,-0.791397705,5.053792979,13.98327159,42.32682292,-0.810436209,-69.38900283,45.29511562,-47.75643692,-138.7919346,-41.90768114,3.163379842,0.402096376,-16.24761412,-45.69390307,-92.62756069,-40.43507861,-8.570239136,-77.35739226,-64.75072005,41.54247888,44.64445069,11.81513411,-0.060656599,48.1464063,40.96931875,-18.86994333,27.42380225,50.64339059,-72.69107273,35.28127762,-53.1483608,15.30575057,32.00347298,40.16940576,-27.442778,25.229379,26.85610831,-85.28321119,-89.24290186,-58.06476525,8.851231615,-38.17156538,9.274519041,-6.972541193,20.96485385,54.43838485,4.764735667,23.56282431,7.35915781,18.25667946,-73.25284896,-16.15858682,-25.53386923,39.30402456,33.05133973,-11.78694128,-62.0005446,39.16666133,-11.96990707,12.11427241,73.76949312,-9.618191284,10.02409707,44.65094089,-36.25271597,0.995771307,-33.1208419,21.74030906,-1.406002793,43.48880707,-38.70971282
0,254.5010504,-287.7932521,1049.956662,138.4838177,-637.9691213,1002.276181,413.1938432,357.677131,-355.4253738,-199.3129256,-52.03089236,589.5199913,214.4831601,63.36943156,-507.8212512,200.2072247,-94.44730941,296.9776328,150.1288062,-286.3083684,-52.06584982,109.1519005,52.91525289,316.1418364,-90.95954042,180.0081579,-178.6843744,-471.015254,-38.29162395,-219.7630714,116.3909775,275.2535331,-93.88342567,176.008088,-289.8911403,64.56428163,-120.8718495,70.54701255,134.916898,69.35184062,-133.35551,52.89279254,96.66258269,357.4067644,-124.6021458,249.2579605,71.83054655,-17.92675355,-66.31975842,128.888998,148.8674743,-12.04926382,-62.29454814,-160.3478147,229.7275635,-85.1566138,-31.67422181,-5.721712818,92.00796486,56.85858028,-107.5769069,-26.59288888,-2.876105182,20.5992817,40.16513672,-44.79609173,-89.73235925,66.42221503,-112.9822187,-196.8090519,32.63749957,-76.76827864,42.67678984,83.04170686,46.01342028,17.07489149,-216.704236,-104.1313905,-102.6533831,-110.6315473,24.00058725,-168.4678197,-7.869609085,36.07346552,-1.55728872,-99.54605328,-40.35042362,-155.3441397,-122.2145546,-87.16934882,70.85199441,-56.50450402,-0.001683446,-80.20984729,-111.0197533,89.07155279,-50.68634415,-10.1396841,158.1238243,27.55040694,-26.08436321,87.70675816,73.67296165,27.39516756,-16.82368864,59.54918818,-26.11248406,-64.31012534,-24.10214177,14.99092059,83.73827902,56.34619828,-62.63996395,34.40644009,55.08268012,-21.29281127,-60.40707452,171.9250253,-6.562028533,31.65342953,156.2555514,108.623325,-61.544031,13.22088553,-23.56529432,-88.23083799,-34.78134885,-54.57244641,14.60794003,-94.41643443,35.79527327,5.802319738,27.76289473,-13.17105488,-99.64763813,75.07966958,45.54288094,-75.44507893,12.60253648,-129.9281697,85.35961402,20.84496959,-17.19237138,36.46237147,-24.51911999,-125.1456293,64.33693404,-50.53762234,45.26159831,24.12558619,-24.79084435,40.5067249,-31.5183271,10.56482598,-70.43967713,-41.66637307,-17.31054744,131.9968853,-31.44498476,4.535001494,-21.52974664,-49.30291448,-70.62632478,-92.20994525,-42.26392973,-103.0319346,31.72648045,78.77091493,-1.539709523,32.72485512,60.03234336,29.4565678,-83.92158064,33.28928718,-84.4660897,-27.60391006,-52.70808531,-34.04384905,-44.22471722,-93.0096659
0,-736.489851,-569.8012579,-825.9258696,-52.33437174,205.4894697,48.71976402,443.3098051,-69.11411501,384.417753,-489.1612916,-5.493561722,479.0269112,-9.036198052,14.11505096,123.5572729,197.1127738,210.4937391,269.2437586,-204.6600605,89.44915557,-311.7372726,1.101131538,127.9550715,28.47450846,207.899835,90.38807445,-158.8132824,-40.10861944,254.9856433,-91.07006571,48.01745016,42.54278709,72.75880303,-220.1426206,-35.4915097,16.3564016,17.99464782,104.8223244,31.71564313,91.90926483,37.97552391,53.16779449,27.57015772,17.51733031,7.754382232,75.50285588,28.64551497,-17.35031637,-40.05176414,-183.0246035,-12.3064414,77.64381916,-39.08491177,106.3685308,10.43868722,-47.90083264,44.71165838,-130.4647483,-25.292883,31.23065399,97.93906362,28.20744161,1.096295262,34.13510867,-35.99573719,-63.94043332,-109.4041462,8.451413468,103.2008059,-112.616151,47.58985945,-5.373698158,-56.18895091,53.52404768,22.51837672,-20.76854794,-85.95688081,-48.57558633,36.37978355,-38.24456355,82.89483,43.72064472,-29.47084295,-113.7363489,30.69017896,-41.66955737,72.21626133,-19.75506906,-8.165128678,42.0620655,-10.18653155,106.8035734,-38.23999862,57.04336916,92.04228668,-22.50081189,-33.85553318,-20.8031989,-86.6894747,7.114023812,-62.65702359,16.65414516,-83.01887721,17.26411261,3.731094249,-86.60206244,130.8151606,58.08434236,-36.67553875,-92.82554346,13.78270802,25.47210531,15.70693572,-26.81953174,28.04319219,-38.21699476,-43.00208309,28.0452104,5.326885639,-24.90183772,-30.05805369,-2.829424267,-127.7812576,-31.20833442,-30.34084816,64.53498746,-45.89313189,48.54344304,52.33549768,-78.5770596,44.30776131,25.80288518,-13.35975752,33.4647638,-104.2050461,-16.50642397,-39.39539995,-49.38163009,52.47627752,-79.7181607,-30.61721283,4.177762033,-25.37586655,-14.37209031,-12.92696072,-83.62615581,-83.12899647,40.56257538,23.95177896,-44.07806034,6.75052476,19.82821236,13.92205669,-70.479431,-24.85686973,27.27343825,9.143956119,-48.53497651,-13.96175692,80.86825904,-85.38804411,-17.11604172,30.53805226,-63.12510793,53.46794434,-68.06763708,-28.01361876,38.40320854,47.18107947,-1.312305796,2.707673876,-0.895888056,21.92947972,-50.26587746,42.11622508,21.16255696,-37.49392643,-27.47214178,32.67092355,21.87544383
0.003,-83.95457721,440.2677712,-227.1585196,313.6069853,-60.74635357,252.9259811,-353.5083169,-4.221971307,768.8638387,401.8236755,4.656716058,49.74483036,15.42101149,43.25400433,-371.3098993,326.7704075,-241.5619305,-117.3780992,164.3219085,-8.086045418,82.80741923,150.536969,-36.87180745,-141.2464584,444.9481986,-65.05688117,214.902887,-238.8722777,-190.8061333,71.29586112,-48.51254478,237.0410195,52.27066963,-28.26957559,141.9530318,88.38919186,-390.0509515,348.8283743,-234.5736332,-137.5157241,-21.97192958,-122.1994154,341.5496145,-27.10282111,-168.7976912,-122.8080449,-188.8890586,29.19257623,-155.0203374,-121.5764189,42.43553552,38.42585439,5.160708183,35.37736217,70.43886536,-233.8484055,162.2670742,242.5594009,-79.14089235,18.81384531,-30.66344141,-92.52581847,-6.362441765,-15.22748165,-22.17232871,115.577075,-1.575963486,56.21152432,-181.9943285,53.26655336,96.82974718,123.4428375,-74.2251602,-54.75008873,-1.490451258,-126.50196,-46.35323689,43.56165765,22.1735234,-111.1585144,77.47862,-10.1174954,-85.81224075,32.16683969,-64.67923813,-26.70450498,110.4044576,-153.4923509,98.02993196,3.386059189,-25.13177955,-60.08317645,-7.400407364,-68.09655886,104.7417768,-115.2020153,11.5492796,39.39831808,10.86061366,125.5179659,59.87585161,-6.588374189,133.5264851,-52.86584069,-153.9242218,22.66342204,-33.70013446,-120.1720881,1.802063035,-146.2876353,-27.48187738,20.7736686,-37.9534775,26.82513044,46.01347088,-12.59936904,0.317045774,15.53580074,118.445258,-86.70403759,-24.94357691,-29.27558447,-9.392903215,29.78925856,129.7906568,-115.8599133,-153.7646985,-130.9964516,-111.74224,-25.75094403,-14.76899706,32.16594099,0.69214071,-38.79405551,58.99672788,-15.918742,-15.58276011,42.17795411,-3.512466991,-2.090684218,-53.04037462,93.8212734,-1.371402767,37.74461704,25.26323705,-0.103719785,-42.11531304,14.03217186,-12.14940108,-33.10154727,25.5277995,39.46383901,67.96270008,78.76271819,-52.43586319,93.91110904,-104.7356491,-39.85952124,8.233306012,-101.3410407,-4.241475269,65.52301809,10.58301419,-82.73036698,-146.4437142,3.150410443,-86.74358115,-47.49483532,16.56004068,44.26564699,33.35509988,-12.14246948,-31.80471592,15.57077358,-18.98901094,20.01772906,117.769513,11.49388255,50.11028504,-49.53188113
0.001,461.9621955,-75.04893134,319.7820775,468.8277084,-206.6305477,-204.0476946,336.4365374,-28.47966368,-287.7971292,-951.4795237,433.3242296,663.5057356,-476.7096657,-298.5156112,582.0478535,-27.05045265,239.2051067,-98.31733133,-144.3735026,359.4941896,69.84165785,134.97112,-241.0175707,-308.5737212,281.8016162,-33.10328308,35.00880806,180.2930795,-337.0320459,145.532615,305.3818836,-214.6252097,-150.3782272,33.22911518,226.3954501,7.731531173,378.8437426,279.608993,-231.3750813,150.6699823,51.53447075,-225.2200268,-46.24796835,335.4255614,-405.3540249,-76.22729772,98.96131246,139.7184116,-97.31392691,188.3830355,54.58366359,-33.25228613,-182.742079,-185.1220026,-5.916816737,33.04389496,-46.02693644,-64.29781275,-123.0582374,30.76031719,149.2767256,69.97733823,145.3405342,-47.79507784,292.149856,-46.85357294,72.3608524,-29.51118137,-96.94812846,-63.99803031,24.5900579,52.09619638,-72.28945706,-72.08994202,-73.40928272,72.60548256,-27.18454015,-26.80892978,8.644898503,-78.77897807,-91.12111589,49.51754812,-120.3637319,60.77656193,-117.8024715,-62.16934118,91.2888926,50.4699587,232.9791401,-238.3288629,21.67766414,68.08217575,44.35655781,31.93870252,-97.61584967,7.035214912,26.39577449,-139.8205863,-18.11243905,49.93740042,-65.98377323,-58.99933875,-59.407191,-12.54460063,51.96765499,-77.38616842,79.07834225,-32.06057973,-47.05351773,-99.98512754,-187.7886403,5.355513568,-115.6286504,1.242219599,102.2656422,-3.327494106,39.29561663,-67.42555526,80.55370447,-0.917699439,-51.50469951,-1.914048509,2.690985413,53.28163477,106.7050733,87.08842103,-64.05760658,22.9668984,-38.57919189,-34.00126247,-57.08542174,-34.85152849,-73.62281537,77.61320311,-50.90751551,15.63101281,58.62402776,-161.2171986,35.73428585,55.84300822,-67.71446951,13.42417659,-21.5943867,167.8624394,-6.791379259,-58.53911457,-27.94383124,95.22494012,19.61392091,-72.25812125,61.96608882,-33.80504616,-32.53125252,11.1311148,-120.0733527,-24.61933733,43.16906317,-47.22090364,106.3092868,16.61356297,-113.2993558,54.28458969,-95.69519556,41.31703073,-58.97032623,47.09072853,-93.08155237,35.44858533,-39.31280134,-24.71670659,-38.4624198,-140.2368822,8.428617231,35.19597328,63.88974753,-60.55832931,-63.78729107,-67.37836656,-63.11808585,73.05531133
0.001,-131.3697449,-536.1814965,655.5837378,-836.6464441,430.0114552,262.4876836,-263.4267753,-20.73720187,572.0693553,-184.6238066,214.0163853,-22.88232624,363.1425409,16.40106652,32.75715585,193.1044492,449.2855222,364.434757,137.5072668,-0.547446059,180.19037,-69.6840607,-211.436185,141.8915725,-87.33575485,83.90699205,-192.008322,-81.26285791,-106.3077944,135.4427515,-262.495257,289.0522319,-89.23133671,247.7113582,-20.75364472,-119.3810515,-71.30316392,-84.9994212,274.5905371,-309.7160117,32.32787903,-190.4171183,48.83265911,-216.7833385,250.7997115,51.38336506,33.62326639,98.46378843,181.1428816,30.77527109,-70.50864669,-115.2928709,-150.93213,72.29314208,11.69771739,55.85096904,102.8444103,-3.28293408,204.1917709,171.5334009,50.2873106,102.684848,84.20431535,-38.65455988,8.162154102,-221.9323234,159.8187376,-56.77297099,-9.792178737,119.6725223,82.39030427,-56.40273564,-72.6607026,17.78946327,-81.15623734,42.49285208,159.044576,-3.621133844,-34.63731753,123.1426755,15.352426,55.46231752,-27.50488724,52.61850546,45.2683465,203.198815,71.93748559,88.68139293,-14.99951311,4.316246275,-99.68930653,-47.06143141,115.0997317,75.41758222,-39.32097008,-27.94119251,-85.35036533,-167.4424118,30.1932271,59.62966802,-116.5674149,-48.16908322,69.15807772,-41.4794083,36.93938877,-28.442748,-7.346029614,50.07412886,55.79167796,37.15202442,-95.91049424,69.62431462,26.95048781,-23.41143314,7.916621519,68.05631501,17.15665077,-130.1454661,9.054064049,-52.64212879,-66.51077261,2.338982284,-2.0026141,134.3930236,-7.238880522,47.95578461,54.01981566,60.15428553,63.94936141,22.10478707,-23.43313941,25.64160794,90.19447655,-3.684205164,-179.2599947,-11.80577252,-38.54771373,33.00112794,135.3624903,100.9088462,-30.2184745,-116.6014556,-158.5923623,122.0332003,-33.75128986,-73.38983588,-132.2927461,-82.36579952,17.96302062,56.39657902,136.2432811,46.72879875,183.4968671,51.3622936,6.695882375,63.44624702,69.64808634,49.19316423,-173.9618621,-59.53394486,-109.3664053,24.54957602,-92.98656165,-22.17745414,-98.39799149,-50.41373561,35.3257371,40.09982313,-62.01484562,40.90369413,51.09265551,-77.41154039,-44.3278304,3.995678414,-33.87191037,-38.26360553,52.6130193,-77.24683692,-5.932304252,-24.07768027
0,959.9756706,-114.0599953,-34.79173174,-363.3174358,-719.622448,780.5677127,767.0083755,453.8494472,-165.5605575,-436.1887889,-549.2511959,1081.49655,-365.0485882,0.123142119,-317.8405037,-402.1414206,-129.1371989,230.3377429,166.1242493,169.9400863,370.5452018,-491.0361407,335.2624718,-82.04759378,-249.9842851,123.9875818,237.9729901,69.23927656,17.07796948,5.253909049,171.537949,-4.707671542,-325.3662328,-34.89177451,-87.51065551,-20.29626149,-38.80611232,-224.374765,37.29159303,-334.4701034,44.54512739,-223.3145379,-95.19838987,-336.7827373,-174.7936423,-119.9589839,-26.12194112,7.865034723,7.785550204,102.0170864,96.20130881,-1.425877825,-57.47290122,301.1626603,-124.8160736,110.2586835,226.7735632,129.8481163,107.8352046,-43.19703748,35.21871975,-13.44343062,114.2868411,114.3746828,-11.21900383,-0.249641678,-48.17914793,-111.0628946,57.71081986,-59.83648836,48.61773362,-187.4010896,-153.2365631,-89.99731183,209.9003178,17.26839785,-76.0240635,-157.6007144,101.6186994,99.33358259,58.40389547,115.6128424,-153.793061,-33.94622073,-87.08772043,76.99620301,12.69058598,-147.5016286,-46.89140968,72.10421059,85.42561936,-0.770102115,42.70470344,93.28125915,-96.2410793,-31.00056434,-20.29617457,104.5944306,-107.2284896,146.7171802,-34.21741693,-16.49451148,-8.117025919,-34.83477979,59.60307919,-78.34723248,87.74377853,-18.27578999,-110.7537513,117.4614027,-12.82934578,122.3916109,18.47928581,-22.17319472,-89.85381596,-46.95920144,166.405277,-66.33635437,158.6174844,-58.24648744,114.5773668,-67.16373105,57.63102448,104.0698783,-13.37807018,72.94403557,-97.90964711,-49.44699876,-24.6272998,65.25128235,6.114525915,27.90355496,49.75652178,61.42820706,20.40484418,-28.28897301,-18.35436955,-15.65570032,52.63526474,104.0467489,49.17034701,-106.027555,-24.37856326,-77.82491921,-83.35639,-14.62159112,84.27043443,40.25935757,36.52841018,17.97287712,71.05412916,79.31509575,0.570389221,-32.29938788,15.25285087,109.0318554,64.74721685,-92.23766924,80.69774245,-2.95680626,93.8053333,53.11552564,2.04390517,-4.261450769,4.965807542,-42.66190246,-128.7043193,-35.9909762,18.92265858,40.81389368,-61.25511774,-34.08795275,111.8195677,-43.99922926,4.309761717,42.15789862,30.38594351,-8.507916914,-13.36449755,-25.37318112
0,680.2318011,-101.4553447,-172.5547485,-330.2622479,40.35393034,632.234231,597.5527603,-224.9719378,210.2750623,-304.6504326,-709.5692647,370.7754657,-327.3181335,194.4498556,-241.8229487,-351.5734087,-358.708419,-180.1612628,67.26045009,24.74934494,272.8930725,308.000438,118.4328898,-208.4333316,-237.218291,122.7155228,-253.6549642,-775.7685752,58.89180089,-222.2078218,140.6215843,197.7369344,-73.49338736,387.9581152,247.2325625,-167.4910677,214.3505853,-317.5175658,-209.7424482,-237.3211376,-56.90803127,-182.2343355,-147.37307,58.29553731,-322.1050723,83.72480114,-339.4369036,32.43577445,28.95290881,-44.71757404,-11.60416461,-64.43782663,161.2120227,-158.8757094,193.815827,-25.51500976,45.57878511,-83.57125026,145.9530844,-253.2219862,-122.9839174,-68.25385924,46.68785669,216.7815652,68.34402786,-21.58395973,-158.8641234,-259.1187349,34.89260183,-276.7891192,-340.7567964,-126.3093162,-89.62934287,39.78717899,6.983271468,162.6623772,-95.49070868,128.3248916,-75.23919808,-66.97958928,-84.91335249,86.68891166,-54.10084158,-23.75386331,134.8706619,63.3756539,-39.81150365,163.6731976,9.407027613,21.55197051,-61.21401921,-15.11584692,59.81783123,24.34388959,-41.37202515,38.39108159,-38.7955856,-171.3496109,19.30041341,70.58654013,-83.01377847,87.63667741,116.7010433,-13.12641705,177.0010851,94.47944885,180.9128679,-5.414908125,167.2014889,11.29611977,-71.17454984,-176.5890812,105.5476756,-9.270582897,99.38049501,64.57281731,-117.1582144,108.2213542,9.221523174,-43.51893539,-68.38849842,-99.75734393,-2.9707423,14.51570601,-79.9763957,70.67462202,79.9609061,42.61965307,9.604007336,-77.50695861,-144.8698301,38.62968098,-70.2411652,-96.11332291,16.82021086,93.85657988,-91.73415933,-50.05185793,-26.57485713,-124.572698,77.18116934,117.4130341,-141.9744242,-1.112183294,-6.62026913,-5.135617167,-18.82966684,-48.08213805,-139.6754968,-17.16258334,26.96860472,-5.580971928,-10.75928142,109.1953622,34.41454805,-2.009673993,-44.34358203,11.02764259,-85.37954325,19.76961583,-53.29907433,-34.64651973,36.33139519,59.20106116,-41.05344901,54.98031942,7.774594356,-24.458855,0.805693475,51.01753148,49.5854888,-42.55926678,83.39365531,97.41089585,36.18633431,4.629604868,25.78349085,-79.85890135,0.736537699,14.68627575
