pred_prob,f_1,f_2,f_3,f_4,f_5
0,-291.2765975,337.8323207,168.6489132,-58.43919454,-688.457611
0,-104.9416485,-62.72293886,1179.931018,524.9786024,363.6882661
0,-680.3307559,-153.2649994,1040.692368,-284.6168338,110.3804689
0,521.9582411,909.6781119,42.19429232,815.6697053,-355.0822906
0.007,1059.110064,312.9746742,251.5213385,-714.81392,-406.3988856
0,-789.6881559,-25.536488,854.4599276,-176.543957,225.0485136
0.001,11.74230174,-191.3338251,125.4035441,129.2756459,-466.8943724
0.007,496.0195603,524.875191,193.9070205,-379.1378816,-505.7109382
0,813.5826,770.0260783,1052.293511,757.9261027,-740.1583929
0,575.0978477,365.7405898,601.4999449,174.0611239,-71.47348391
0,789.3413414,813.9029225,352.8578726,439.8481992,-455.764283
0,-817.239678,-382.5740044,636.5554875,146.2180703,-139.5183921
0,214.0170356,-275.2725022,1096.143901,690.2512222,-188.5699713
0,242.2188787,182.6587153,148.5202833,346.6132957,-732.7270516
0,316.2112331,-231.7148101,937.2406728,641.3958557,617.0776458
0,256.4231485,-283.9123094,-309.3910622,-436.7086827,-161.230355
0,390.2032628,-153.2383987,340.1581002,294.6378284,48.05344101
0,616.9318477,179.3261699,305.5682737,-371.2687154,-259.3485721
0,-397.9180883,204.4365731,317.1625309,255.1523567,-106.3062453
0.014,547.5489336,-487.9617714,129.1273305,-651.9764124,-189.9593696
0,790.0995131,1578.778858,145.8184415,798.4828775,-594.1683693
0,613.0452698,-259.2987976,344.9690082,-316.3575176,-69.71806295
0,717.4319381,211.1560603,-375.6822037,-545.5543109,-188.2013279
0,540.8382972,1039.121854,239.3578213,854.6079611,-159.5794527
0,-706.3135397,-358.7682915,682.9868791,30.02963844,-361.6499852
0,-102.4366631,-235.7610581,492.6229283,1058.096725,152.6228841
0.001,-501.8476996,-667.4333144,582.5365126,-94.21646708,-449.4616807
0,256.2822899,-653.6808344,640.120158,784.2717922,521.3754704
0,506.4629321,302.8246297,714.8635102,-502.0770351,-556.2811108
0,-626.2046219,1099.279628,378.3713395,-108.2956855,-241.9531404
0,263.5040197,645.1922754,1221.843043,419.5356319,-762.7158293
0,67.02731289,69.78271856,76.07229233,65.39190341,-954.1242298
0,-791.490541,-368.5781419,611.1180398,-3.859218109,-374.7258053
0,-21.30397205,-10.32801043,1185.666269,609.4175883,-149.8102729
0,-913.1987629,-161.7354121,605.071094,175.6275962,57.52358492
0.001,-614.369734,-267.1884048,1024.7254,-317.4648174,-335.1459696
0,-224.5796105,-77.03710782,71.70877156,-165.3097958,-487.991237
0.002,260.9244324,-225.6672065,-549.597266,-396.2699062,-172.8700261
0,-132.598116,-100.6882716,954.4403675,-474.6055323,6.469280495
0,-480.2995552,-218.4081503,786.6413189,507.3333348,-157.2874213
0.001,-136.8695093,0.432051949,549.6208749,785.2415371,164.7640699
0,0.127199847,-744.7357445,486.1343944,88.84761528,41.07804698
0,-271.5788042,113.1564096,658.2229767,-646.9739413,-75.70134471
0,944.1718275,73.20371002,-956.6767383,280.1947137,155.2702631
0.001,1127.947284,464.2350704,324.1694723,-899.8687922,33.66760844
0,-161.1964893,64.9454919,601.2130419,98.25060649,172.8295904
0,531.3083793,-93.26904531,465.0202897,1018.897979,518.2541824
0,77.27049527,265.9875138,-51.30494566,2.294693764,421.1974045
0.001,357.3254306,-294.7997428,1128.248201,408.1049191,-252.790875
0,734.6732839,190.1839219,913.193735,-17.18796231,-148.1769752
0.16,-384.9630295,-330.4507111,-714.4621111,211.7669237,14.77617027
0.116,-193.3314807,-394.631097,564.4740451,-398.8017827,-96.68682574
0.196,-853.6060862,444.6584498,-280.8412518,-143.9437357,-416.4545046
0.115,588.7211229,-166.1935791,282.8802344,-457.3502557,-71.12386685
0.172,939.2603494,-75.13842853,-0.551645139,-153.7632542,963.2849176
0.182,8.977169042,-361.535767,-12.29419007,-218.2003447,464.2686029
0.113,-411.7303092,352.8593588,566.619372,-728.5979362,-184.4196515
0.115,-146.7176637,-900.1790079,326.5646081,5.995372348,-309.4224444
0.169,302.1447008,-570.0413185,1087.047584,-70.44209326,-14.55802553
0.117,-649.4032479,-496.6310989,-302.2110785,238.3830524,-509.0373074
0.122,-7.15074329,811.3015799,544.6429918,-671.8312881,-84.56827712
0.137,884.2284804,1239.889751,357.3409152,31.80944161,-892.6832465
0.117,99.72786791,-335.9514905,179.8125983,123.4298211,205.1123323
0.114,1380.567034,871.0508953,-181.1674498,-416.1516082,417.34336
0.2,-516.844074,-829.1073141,181.3063416,203.8671424,-289.7848752
0.166,-955.7838655,330.2155797,210.6263856,746.7696431,17.84505045
0.114,1213.647724,493.1574207,371.4589214,-759.5703407,660.0883669
0.152,27.43778077,787.4020026,-191.2925948,635.2892092,-126.7581996
0.138,-204.2832467,-596.7134906,-381.8483442,-348.664402,-222.5528915
0.158,515.7735932,-454.7763494,-65.78201342,-79.91178676,218.741479
0.134,1419.361598,416.6080105,426.2409338,19.0021818,-39.1592096
