pred_prob,f_1,f_2
0,-291.2765992,337.8316784
0,-104.9404257,-62.71012665
0,-680.3311746,-153.2691715
0,521.9587784,909.6811869
0.007,1059.109879,312.9752118
0,-789.6883813,-25.53909052
0.001,11.74283878,-191.3281669
0.007,496.0196255,524.875957
0,813.5819078,770.0191201
0,575.0983166,365.7453403
0,789.3404589,813.8937317
0,-817.2399568,-382.5752486
0,214.0170393,-275.2704126
0,242.2190572,182.6582898
0,316.2126135,-231.6993235
0,256.4229854,-283.9134693
0,390.2029657,-153.2413509
0,616.9328257,179.3342036
0,-397.919234,204.4250937
0.014,547.5490859,-487.9600277
0,790.1007793,1578.787328
0,613.0446666,-259.3072352
0,717.4310136,211.1484663
0,540.8384754,1039.121546
0,-706.314022,-358.7719997
0,-102.4365708,-235.7595707
0.001,-501.8480076,-667.4344331
0,256.2820302,-653.6837004
0,506.4633058,302.8281642
0,-626.204244,1099.283498
0,263.5056378,645.2073485
0,67.02799119,69.78717703
0,-791.4913379,-368.5844119
0,-21.30363468,-10.32427338
0,-913.1988517,-161.73578
0.001,-614.3708256,-267.1982628
0,-224.5797182,-77.03975654
0.002,260.9253623,-225.6563525
0,-132.5974471,-100.6812831
0,-480.2997103,-218.4076439
0.001,-136.8706111,0.422640421
0,0.126849673,-744.7380769
0,-271.5779355,113.1631136
0,944.1717047,73.2035702
0.001,1127.947126,464.2350104
0,-161.1961977,64.94746021
0,531.3095646,-93.25692016
0,77.26944705,265.9757387
0.001,357.3251683,-294.8006928
0,734.6744944,190.1956699
0.16,-384.9628335,-330.4481033
0.116,-193.3318908,-394.6352555
0.196,-853.6064875,444.6551685
0.115,588.7221869,-166.1847116
0.172,939.2609608,-75.13279003
0.182,8.977474382,-361.5347572
0.113,-411.7304876,352.8586903
0.115,-146.7175076,-900.1773312
0.169,302.1440564,-570.0467196
0.117,-649.4026013,-496.6268798
0.122,-7.150190169,811.3055859
0.137,884.2291231,1239.893565
0.117,99.72823325,-335.9497937
0.114,1380.56567,871.0384769
0.2,-516.8439755,-829.1052771
0.166,-955.784195,330.2146671
0.114,1213.647546,493.1556218
0.152,27.43727028,787.3997828
0.138,-204.2829014,-596.7092024
0.158,515.7729983,-454.7832101
0.134,1419.360595,416.5969468
0.176,-628.2709968,-43.15856917
0.121,-506.3573931,-619.7551492
0.104,73.55047015,-845.9253081
0.149,304.0025973,4.093893557
0.19,494.3536054,-343.2977295
0.121,-172.5690349,355.7814653
0.102,914.0058144,395.7425599
0.1,204.983243,-448.8603569
0.111,-885.9887933,284.47547
0.159,6.349097605,498.5875542
0.146,-293.5601329,-557.5751688
0.108,-262.0074457,-622.6274722
0.136,360.7603457,198.5287061
0.12,240.1570438,-836.2294654
0.118,-510.6095445,374.4485882
0.129,-789.0190131,-58.67801612
0.101,164.0018394,-215.2012981
0.129,749.4406362,-368.9807449
0.107,740.1071174,-232.0816665
0.101,-94.54504851,-890.5895427
0.142,6.056137866,1114.972824
0.151,-730.1996507,642.3753072
0.148,-508.3601695,-121.1711437
0.112,-591.6807579,-128.4486194
0.192,-464.888381,135.915872
0.149,-886.4291628,1051.444679
0.113,505.6378281,111.0912097
0.154,459.8627102,228.1941452
0.178,955.8786923,-397.2827807
0.203,1.501979847,-741.1694834
0.251,708.183827,-826.3723015
0.271,-156.1436825,226.8310069
0.203,-411.9254391,798.9067933
0.215,53.25394853,-781.6245401
0.284,637.7622929,-908.3980697
0.212,-278.0135263,277.0061584
0.227,-90.11392274,-410.3654686
0.249,-717.0248177,-215.7949336
0.257,-718.2358087,202.3039268
0.239,276.8749156,-706.2731068
0.293,-512.4790963,-225.0690073
0.271,843.363545,233.9351043
0.23,885.2301371,-346.6103143
0.226,687.8461597,63.38256064
0.281,384.0439127,-867.1401214
0.223,796.7682817,-615.875179
0.245,-666.5549621,-94.02568843
0.252,1387.723062,755.6701982
0.27,-747.2539801,-169.7431078
0.204,-876.4166692,401.221275
0.203,-407.9838238,1316.34049
0.207,593.9059408,341.5062068
0.23,871.1604882,141.5162129
0.262,-356.3737442,-495.7137181
0.268,-180.6184029,-165.3101519
0.275,-224.9779559,338.5782156
0.216,638.9694637,58.06557685
0.28,-333.400026,246.3261047
0.253,597.8751585,285.5455163
0.267,-824.8697424,524.6280162
0.27,-804.8442628,-330.9946551
0.265,983.7919571,-482.4022035
0.295,825.7801855,-653.2586574
0.227,388.3285152,-202.6904587
0.242,-179.5551117,-392.8512105
0.255,-710.9156644,292.3648842
0.248,779.296677,-825.8020738
0.211,-343.8880477,-380.9441595
0.296,652.3676707,401.0369353
0.211,-317.9996663,248.1463816
0.216,-318.9303395,851.0560901
0.299,-767.9836242,182.883806
0.263,-325.6446648,-221.5103649
0.237,256.1889682,-730.8137749
0.24,-718.093076,465.2781757
0.215,-107.2025189,-675.6022575
0.203,339.6232652,-781.2346521
0.27,-786.8784672,-159.993765
0.237,650.6315775,-919.8460275
0.312,-629.3875079,-92.31073157
0.334,794.849327,76.85848875
0.318,-786.0345682,141.6909031
0.322,-672.4049413,-446.2443501
0.348,-596.3996312,-345.8039002
0.383,264.93965,-89.90438333
0.35,469.4870275,173.7543428
0.36,-999.8587378,606.4713242
0.365,-471.7573862,122.9387201
0.317,-642.7234936,467.5524913
0.356,-64.86387837,71.68898522
0.373,-331.3634028,-645.081638
0.363,-574.8476474,120.8041199
0.308,-423.7215162,-459.7273543
0.344,755.3263997,-471.5132404
0.363,738.2758166,627.2745991
0.342,-911.9942893,87.34570057
0.325,-60.34308082,-500.6326214
0.35,506.9073186,-269.1920442
0.351,-567.8898805,1274.153752
0.316,-251.376407,795.7107679
0.388,-756.5555445,-219.8721344
0.384,-518.3793674,307.7965847
0.337,-16.4905728,-236.2850744
0.307,129.0821363,326.990702
0.32,-1030.502624,696.3127418
0.314,-892.6406445,-456.824943
0.371,-418.5229353,-434.7456911
0.36,734.2704525,718.4869962
0.352,-590.8405574,-588.8292438
0.364,-465.4201932,-353.4717979
0.381,-905.9268749,-518.5611875
0.35,10.75437374,-216.5253288
0.398,-167.8715834,-1028.357103
0.36,591.8696199,448.0533571
0.339,-379.033737,-494.9618321
0.38,-880.3350647,887.6855805
0.393,226.273781,234.5461272
0.318,709.7880153,-237.7692018
0.305,-562.4988599,-209.8095718
0.328,617.5011018,-503.5106057
0.335,-599.3791573,399.9715983
0.464,409.4254844,-743.1833862
0.406,930.1618807,162.6542619
0.428,-248.5717093,1317.876084
0.483,259.4898791,104.3977959
0.489,-239.6345247,-122.701098
0.455,-146.0712585,871.6045295
0.493,-670.2802431,362.937507
0.404,-676.502711,-36.57489446
0.445,-355.9529378,715.8651235
0.474,-921.6620407,169.1394753
0.496,838.4573101,774.7536414
0.48,567.3054299,213.5410798
0.487,342.3588506,908.0556318
0.455,-399.7158196,340.8419137
0.452,-715.8242379,27.4640711
0.404,-821.4851118,438.1542586
0.418,-792.373495,375.8583536
0.489,-156.2460173,258.0295473
0.457,70.58472393,-747.8556137
0.477,777.0756062,746.7130118
0.451,161.0849911,-706.9668194
0.459,641.7469811,-109.7353209
0.481,-604.3979124,614.8572222
0.47,52.91633594,-345.9945036
0.41,234.1056294,238.3663068
0.432,-66.89149768,844.834073
0.461,-629.22594,-144.8061991
0.471,652.6309483,-696.197929
0.413,-61.70007629,-614.4127687
0.443,738.6770936,-597.5110358
0.412,691.6185875,-285.9023965
0.5,-563.4643438,214.0951042
0.523,-257.7834559,-682.4876539
0.582,-523.687852,950.606893
0.531,549.8686248,-466.0098545
0.544,212.7519163,-626.4650956
0.525,1024.586549,12.57047487
0.524,-1006.131092,-240.2225737
0.521,963.7445046,-340.5481434
0.568,535.6767154,-663.3340663
0.541,-449.8613289,15.74035658
0.571,-764.6910203,-367.9059143
0.518,-830.1957616,-31.76048205
0.527,-739.7442163,31.35374582
0.572,788.2569621,-486.5942675
0.533,-688.8031803,-422.8537025
0.579,-55.01698313,-447.6049547
0.551,-118.6338231,170.1585848
0.535,-658.3500408,-110.5049289
0.561,-278.4662928,-107.4791797
0.504,856.9457833,223.0879192
0.514,-611.6388801,-321.460066
0.589,521.4490249,-414.3278863
0.535,1322.011143,735.7925189
0.546,167.3550118,-576.6552993
0.56,495.7166648,853.7608582
0.594,-873.3600242,146.3639242
0.531,772.5690281,476.8125603
0.571,-141.387319,-785.2280653
0.54,-529.2951897,865.6674713
0.519,-559.4009939,995.1980573
0.57,531.0319919,-107.910089
0.574,154.3326202,499.1930622
0.552,-440.5626555,784.1548983
0.59,1370.739207,76.42843402
0.599,610.3825871,563.3128383
0.673,-450.2898616,-459.9831255
0.635,-794.263237,483.2110931
0.616,39.87519193,909.7159411
0.602,545.3013047,-500.4768316
0.617,2.144139926,70.31688051
0.636,-603.3380704,2.728447747
0.691,-161.1447379,-704.5010642
0.617,1438.131511,648.3872543
0.662,-11.11785993,-393.6848724
0.675,-835.4607826,434.5917115
0.648,-957.6956409,482.2856701
0.615,163.7117994,-999.5929569
0.61,1022.626271,-92.28097756
0.672,1301.987965,870.2018185
0.63,-282.8072304,-752.2512921
0.611,204.1461754,-13.23438755
0.644,246.2349994,146.1771854
0.628,625.5215215,-331.6892585
0.675,-731.4126536,-636.9740734
0.634,575.9107891,-317.3401495
0.628,-764.0468566,339.66522
0.639,917.8833869,747.3707435
0.67,-750.7162457,738.9284671
0.658,-421.2983659,-702.5215675
0.696,931.4463873,83.73414168
0.664,644.783655,667.5525146
0.613,-21.9374018,345.3823993
0.666,576.5237217,-792.2392423
0.662,-778.8480182,71.34076944
0.678,-556.4253607,-68.61345749
0.667,-236.5710787,-642.2049829
0.699,-879.8969965,399.7439766
0.613,-247.7182463,-954.8371511
0.637,-29.70552542,-445.2353493
0.683,-727.6582647,638.2660186
0.667,-584.7516806,-442.4979346
0.692,-676.1932061,-540.5577308
0.627,-292.293784,-470.3941996
0.7,-77.59762846,-370.4517123
0.638,-858.3191028,-335.8466283
0.653,953.6695844,490.5759075
0.659,-614.859097,-735.4261125
0.626,700.6504163,109.756059
0.639,-91.75364586,-723.6043603
0.674,-976.8417933,-540.9708383
0.671,220.8704372,824.6930239
0.748,1088.269658,-44.94526918
0.719,1052.366392,153.3995163
0.793,276.8885811,-147.5693582
0.71,264.7368407,-841.0616311
0.712,142.7007287,821.4544827
0.789,352.2290345,-95.41168981
0.734,137.3368819,-681.5038403
0.769,-483.8943641,843.6709777
0.743,-823.4293026,-136.8558789
0.734,-957.5603045,314.6717736
0.763,-645.2872098,-443.6897251
