pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120
0.001,567.4501454,-580.9529067,121.8878225,204.9139309,595.9712065,-403.8381156,-516.1497416,157.5153966,43.40783751,117.0304986,-241.6735106,-25.00559102,-11.34007471,636.6287168,-258.1149956,-65.48213949,-86.1982812,506.0482489,134.3057159,44.41039364,-86.79198523,-37.76182958,642.550265,-12.9894505,45.67009372,-331.917194,279.2588116,287.1704074,-363.4444126,-26.20811874,20.22412425,-21.07543856,47.73788572,-198.9303669,19.75923005,-194.9007133,-108.1500613,135.8786003,25.79346155,-30.18067605,109.1933535,-97.4618084,43.87910563,208.290234,59.14343037,-76.8595237,-116.6689178,-101.8552859,87.95511344,179.0925497,134.7338479,246.7837154,55.2845074,-47.49547622,0.3120768,-93.31280961,-6.358718741,140.1251124,98.95803019,11.44719679,-299.9053069,111.5286949,51.89550997,-73.63606106,42.02447506,-137.4152739,-153.0679791,159.4501118,-124.7127302,-3.978193898,12.47412387,22.22980583,-5.33985366,162.364291,-71.09897487,156.4307569,-89.52969647,26.17908964,103.1009356,-46.99815638,14.97064284,30.12577487,-41.52545459,-24.54640566,-11.97545473,-118.9499866,47.96255956,-120.4778017,22.39225819,49.98371722,78.09946512,77.66361006,-44.70111758,41.50050275,-9.209111955,-117.1991538,72.1737714,-10.02646374,-34.11137395,67.61109049,-19.06766255,-30.26398764,-18.54241562,123.8335734,9.27674604,3.572237593,-94.74635677,98.48365197,94.73372397,-10.07002899,12.47786963,101.7746331,-36.7020849,106.4989996,-12.18603119,-28.43592201,34.17307515,111.4453113,-123.3429169,-69.08315504
0,-413.9467274,68.45130974,-844.0953023,298.1316905,-412.7809126,558.4911502,396.0185064,-87.85521967,-114.9088278,661.5930581,-269.067914,494.6093077,-41.59160377,-306.1030478,-165.054107,-266.020015,-0.200756499,405.2581057,371.5597237,58.70616511,-238.9728893,-452.5244245,137.9472984,122.4196843,-194.7272636,-149.788118,-176.9285613,350.4290837,366.8534468,126.3113198,116.6836159,172.8820178,-64.21373963,-161.4210918,274.7464606,-33.79640307,-37.79569882,-14.64482302,94.06222114,-230.6833717,-287.6563967,-207.077754,-105.7849835,342.7803298,97.54256524,167.458985,-157.6446609,-12.2970944,-219.9260881,17.79575916,-49.20500289,-152.9987664,289.0264422,-59.44038542,97.58996397,-11.99776446,116.0645619,14.93631434,210.965344,134.3524317,192.3033052,143.2782741,-111.8889376,80.87264618,-57.02718858,103.7198538,143.4843541,-3.751131806,74.75805556,165.274518,98.43826371,-28.73223215,-142.0530435,68.39799442,101.5801233,-33.17810465,171.5114925,-166.1497588,146.0927589,-32.91911965,-150.6904687,86.95255654,-52.36976977,72.78337288,-18.93780517,-93.58359699,-120.9804458,-145.6205555,-74.69531939,29.57050537,-116.6397261,-19.32765437,144.1979986,77.08737418,98.5889155,110.7625437,-85.05154152,-18.56920103,5.712627074,-87.36211641,31.3093233,-40.98490213,8.170630035,81.25182978,-90.3126975,-46.07238122,65.58280702,-10.3999508,-197.2848634,-150.3469071,-94.53773882,61.61227215,-84.50480902,92.62089394,-176.0715888,-157.0609159,2.666098476,9.623548881,-0.765433192,-62.43278313
0,619.8423503,-700.0774563,-459.4713698,208.4429928,-284.8543808,71.61387546,-123.717862,-553.0989554,36.68883214,-27.58355572,149.0113683,-190.0320964,-18.57175546,-310.3465482,66.69762911,-45.57002767,-266.0849076,55.46204947,-262.43582,-214.641811,-14.53555308,-168.4386001,39.8846962,-151.9787278,123.5068431,116.9443018,-124.937902,-269.4566695,-275.1040911,130.000133,-312.8676722,-49.68243442,-271.6594066,-98.12062334,302.1116107,105.8270854,89.75716147,74.90152268,145.9241498,4.289260414,-265.884306,135.4708917,75.92883814,-10.56570458,-265.0487426,-4.835756847,156.3427157,-198.3563255,57.26700018,11.81830292,3.934161389,131.0080179,-120.1332478,-122.6776147,-72.40164469,5.545211121,31.80515209,193.8250751,162.7549966,-54.34527436,23.5126069,43.37218932,-28.2053005,-39.69188463,-40.30520111,86.75458795,69.15232029,-96.7551097,-71.53247664,35.62045006,-96.68943694,97.61885781,62.65937925,145.4760582,-57.14969331,-21.20971357,-108.6702638,-0.394951661,137.8469946,84.76126199,162.548238,15.44225556,-72.58298981,50.31148705,-89.60046634,-14.30199186,16.16556489,-68.26146582,-65.54320223,-31.67701753,-43.14625379,58.52851446,-40.84869868,36.55036739,9.890630314,-57.05377468,-108.467249,-54.72598273,-28.94494208,44.83930211,19.97713795,-8.807880658,-6.737961446,30.44500646,28.11889572,-33.69259896,15.6248214,140.6711165,-14.87097939,23.89798958,4.940856789,-51.72425515,41.0829035,-40.29217738,91.89682205,26.09682651,16.15713715,22.86014356,36.97420021,18.91089419
0,-147.2401514,886.621308,-197.133092,329.7344779,813.7849807,-47.82271915,-355.248505,413.1284486,-392.9548987,394.4788035,287.6582228,478.6800786,-792.4158994,47.60969531,303.5039835,-236.5135653,-71.62056834,306.499517,-145.8713631,28.71277238,398.5436757,291.9902901,286.819131,257.2238073,85.11311214,40.54076816,221.6567654,-221.5394817,110.3794299,10.55614697,-102.2637606,318.4581212,-62.98258763,-28.79953547,-30.91080548,114.8728862,187.392166,141.2301742,21.57811231,-157.9566201,160.2198411,-73.67675464,-86.47418879,1.35247707,-19.5324522,-121.7015924,-96.43896319,-37.65253788,182.0290651,-93.34304667,-60.02550595,-120.7551462,82.69857563,-154.5298235,101.9277767,-122.928186,-99.040381,-217.9938486,119.1661395,-88.10750617,180.6081978,-100.7996833,10.28131043,19.96045159,2.285349665,119.0495302,-158.5696002,-37.94097255,-56.64841987,1.30411577,111.7356069,3.502957687,102.6509442,3.768823516,-6.925001142,32.05564296,-194.8355973,115.8261916,-18.88331657,-22.25787202,-145.0243083,-127.3412073,-49.25567025,42.57721546,37.64746876,93.76827321,65.89597903,-105.0510037,60.68337781,90.79879371,-123.0246541,-47.22382979,-59.22908734,-2.160289844,-156.4675288,-33.51637291,-123.1112462,-62.07683223,71.21400542,-102.1227302,25.15055444,69.37525809,62.38140799,-35.55527524,109.2097514,100.3814654,-29.57122226,79.76610635,131.320818,13.54170394,21.93814532,-36.99132791,-26.20417071,170.1676562,100.0476591,69.27000741,93.23983994,-17.44709765,-64.19632274,-58.81225574
0,406.5243384,-548.1065828,427.3341541,676.4090129,49.45276019,-421.0471303,264.8624467,937.0216744,-722.8339857,-273.5602371,172.8668014,171.9117866,-312.2597756,427.4031436,264.7748201,195.9027207,-96.37956825,13.07557043,36.71419279,-380.6020699,-428.4154421,-273.4972209,-142.4637318,6.382229256,-30.49644966,-44.10128751,-314.7821262,-56.54310464,51.5694164,-307.4558731,-145.4331283,206.7958103,237.7300709,-119.1184367,143.0733654,-41.57740017,-6.95624296,-109.929845,231.8049401,-203.5576498,-137.5810608,-110.4624333,99.16350997,-138.0850896,-109.428565,60.39188889,11.34354723,-98.06120252,191.0947558,68.31849896,-118.5264016,77.96835062,73.25900739,77.05293074,-171.3325522,-41.13297634,18.90537606,11.65480503,-79.25179861,-38.32611314,114.2733705,-150.9312361,236.2158429,-160.7948278,3.46409684,-212.4345879,-159.0484876,25.63966887,103.7634257,-34.67224844,64.83453455,13.49942781,-122.749145,-52.81968789,26.0669233,-78.50550151,-55.5680017,-39.12302792,-71.46795589,95.6243477,-53.82831874,-43.27388138,-92.48784186,-35.82144647,-167.259101,-182.0726908,-14.66358871,25.83410404,-15.18545668,5.601525872,25.57926948,-29.80932375,-1.459410519,40.66742522,39.95542194,65.23435639,71.60673223,-161.1206376,-69.52179117,21.40419776,-81.72637714,-98.51294697,-48.31612944,-14.87490739,-98.47203506,-2.487669451,-38.97317527,34.04145407,100.2231448,-68.24762488,9.326516805,-53.31325992,151.1651467,107.3078724,94.25336519,98.95854789,-18.18067488,120.0463045,-180.6542069,5.53672519
0,651.266504,-619.7100374,-226.6525652,80.29748158,-259.4936297,272.5521975,-173.3621332,-717.9006967,93.56304098,-72.05403058,154.9056122,-153.5982169,-70.2014793,-289.5851798,48.37599727,-283.7664477,-261.0622357,34.80860832,-294.9656292,-271.3070496,-45.23188419,-104.7183146,3.063613304,-205.4607689,38.7461276,96.45873089,-92.27293388,-224.2692708,-341.4025715,141.5846894,-334.3914067,-2.329092884,-348.302498,-33.77142023,171.7762501,148.8165648,53.26492615,123.3125237,85.0040935,89.79702928,-251.6230403,156.5677448,155.2897219,5.50696682,-194.9256519,7.819970077,96.10951196,-182.43616,-11.51643776,124.3488145,-61.57813221,60.68767376,42.42000415,-111.5945494,-137.5186024,-12.28937976,69.10842647,90.79887245,90.80449041,28.91070179,-59.13908337,36.66769628,24.38763065,23.29089902,-61.22747336,20.71498614,-77.02890242,-44.27737911,17.13725943,7.87263588,-42.48447637,38.38725673,69.63476855,156.1101219,-65.60264369,29.6399393,-19.74805078,-7.22091755,11.08365449,28.72292204,-15.45952352,-81.73174795,-62.62620395,68.51473777,-53.48668883,48.40717854,12.26522575,15.56659963,15.83550803,-43.64529225,-37.33751172,2.091971959,-25.53769321,45.6325289,26.55920815,46.00373714,-165.4594642,19.48941866,-73.81167233,-45.91825928,-14.59404731,-119.5191215,138.0025103,-34.93149827,33.76395727,-6.777402531,-25.86143294,109.6082609,-22.69551181,56.64381505,-0.513715209,-42.80202038,-40.48717732,-102.1568532,27.23512931,58.95218344,-85.64672092,99.98999943,-26.61388691,19.14047949
0,224.664917,-624.1310327,409.7014504,473.6880097,-78.59783962,-233.429122,-131.146997,408.9652823,167.3985497,158.7165787,111.616993,-675.0675307,290.9362357,567.6306561,270.1309803,-333.6793607,-56.63711013,-42.01830504,491.602005,-171.3920668,57.44841558,-367.8973619,42.65512818,218.7416662,-184.1850658,85.48248433,262.3458405,-26.62652805,54.49502337,258.0932046,430.6490573,-237.1764253,174.6629152,-230.7360708,201.0285936,-257.9791235,-88.3904943,-223.4691077,119.5356301,41.20116523,157.2571508,-152.3163648,-153.2511017,-224.0915516,239.8426269,-37.67318919,126.5230073,-302.210979,-192.5759968,-101.0952783,-91.74741236,8.918296323,-242.8423598,164.0043805,-107.4637577,-72.06238655,39.26373787,196.821935,20.40265613,-222.7834863,-120.5918403,32.85306075,-59.65305919,56.50710786,60.09859128,-203.8047612,18.64967524,12.41792827,91.32368112,64.74950225,171.6211028,-3.286646699,-77.30683232,-20.91607593,-18.17284374,-106.2720674,-48.56355449,-199.476284,-33.37565864,-15.6032049,97.5689059,-63.1686547,43.39826844,13.6264639,-97.15267812,-0.404036165,86.91357415,-32.51385116,288.0877023,-127.1711353,40.61183095,-46.20967244,-24.22554958,-97.35128096,14.34279316,143.4724134,-139.9848268,22.75346779,57.8717794,59.99460693,-66.26669598,26.89781624,50.67431338,-33.20527468,-5.296019635,-13.27453231,31.99445832,65.33865145,77.19945437,10.42970983,-56.74139542,24.42030454,28.80490898,-158.9658755,-36.33956291,-77.39201617,-86.67972825,-139.7274385,-81.12522186,197.5048772
0.001,-120.4592662,-688.4133122,185.7386554,171.6652423,624.1616995,-116.9215776,664.6534924,-50.05044482,-114.0450618,-107.0540001,-167.577747,-223.4939131,-202.034914,-413.1750379,125.6792703,497.8511681,296.053981,-93.92603741,-243.780017,-35.24615057,-217.6814507,-4.193037345,-237.8651572,139.5112195,533.1401431,187.7250007,220.2947495,-366.2327265,-131.0640733,138.9372383,177.2829602,156.301384,117.3175536,-38.34627798,195.6122315,-130.465535,95.70616436,260.2400428,-120.6026027,179.5944223,217.3266193,238.6960093,-99.96511124,236.9817449,-105.0796775,102.8103572,39.40638162,-10.96281827,-49.30581,-182.1183101,4.921122841,-32.81545196,208.6251431,-49.98804416,-169.5635268,-64.54229732,-186.9322305,-16.54646969,26.66430736,-73.11622553,-5.724754497,17.52861237,-105.2502959,203.0460493,115.3045322,11.83543339,-40.59976812,-166.8439547,-28.47059016,114.6244748,38.93619577,131.7216626,-67.75146503,42.26268858,-79.92805399,-58.90347606,-8.81956283,42.3265546,56.67839843,-100.3330793,-74.71932995,42.17038286,-69.10108432,52.1540877,-27.09861706,-7.913292455,-139.7256936,-70.91161175,0.803719231,143.2919722,-52.74129282,-72.53587252,2.740515715,-96.17777776,-112.4209496,94.92424601,116.8220228,-80.00618337,164.858283,71.44941999,119.1419711,113.9977179,-12.23802815,-27.39389649,-28.74326746,-26.02679717,70.54118438,-18.73681697,38.85297179,90.84612194,-16.41722472,-68.85904025,49.26647042,107.2733834,-50.27145507,-198.6039171,89.89281222,-11.81277636,-38.58317246,-38.12959226
0,666.7910225,-225.7022041,273.6940974,218.4463183,89.0424932,100.4615276,264.7993915,646.1320421,-588.8491231,93.62168789,667.4418741,319.4362126,-85.48702463,-348.6241415,72.84526945,70.06117846,-541.2089487,223.167875,-31.07774206,-628.4511882,548.2097785,-581.2606349,-473.6061996,-306.8448971,-173.4683058,-128.5164012,-321.4027827,284.5453345,175.2617517,58.81138381,162.8929135,-113.0474114,-275.9477098,75.49163028,-75.89038561,235.8273467,-187.9205657,-254.7153802,52.35366441,358.4138889,254.5170562,-263.7650039,254.3469349,162.4346024,-7.197779851,151.9892968,3.580028921,-157.0187164,-46.90503225,72.90817108,-155.9990821,89.76136426,128.5473074,-126.4833333,3.657077296,-282.5252906,-48.44828674,-259.3298449,97.34466832,80.99026716,-22.38166504,-52.4426056,-8.933672641,-119.2833357,65.76614299,78.0933699,-175.4529869,-131.8786018,50.83649882,58.2972575,-2.31354488,106.3692853,-130.9435752,-25.37078971,-52.85198557,255.4584784,-116.2060587,92.26852818,-151.737216,-151.5432626,53.82272547,114.1097391,130.2909089,109.4482015,83.45791477,45.52687841,-93.35846812,99.83253646,120.5511826,-256.9627703,57.85274477,110.5818769,-6.630716614,-134.1025863,177.2278815,-49.36795582,3.116747826,-119.00456,168.493507,176.052154,-127.7237916,13.41948321,36.58055996,19.85827923,244.8640238,-88.90363823,11.48634825,-56.05968496,-168.1004959,17.88094459,-75.85465928,187.4407179,-32.41243651,-90.08828393,48.54455204,44.24977423,-21.57450033,-129.578374,46.45795135,33.71469022
0,759.0430618,-52.07475673,646.7982469,239.75182,762.6934651,-246.1366354,-48.91631945,79.53829767,538.3579049,567.3016615,-422.3528622,-387.9269374,-477.2050987,129.3264681,314.6021177,-431.6163208,-383.313298,108.4037748,-166.2065312,-358.6332448,-139.0585855,124.3435187,164.4600762,53.91422379,172.9049156,342.2126502,162.9518425,28.7440491,-307.502632,-83.93722487,-112.3635857,151.2554275,-73.14386262,-446.123595,261.715171,189.2068686,-127.837627,-123.0966889,-246.3048475,52.54528808,-90.46068347,87.15788586,34.72651915,31.9795971,210.906352,94.61573402,-87.24577503,162.7190884,-85.76053157,-28.25386109,-40.17687803,67.93816906,134.72386,142.7626916,-88.64539428,220.6840541,29.71467226,332.4014091,50.24778617,-65.06503153,184.5648419,-75.95100341,314.9500824,57.11923086,-12.20487039,35.10580444,-168.1739612,-179.0241433,-0.788869357,-27.7572715,-112.4824511,-33.23971543,-44.25470274,138.803829,81.85684055,9.296424446,127.9142439,162.100509,126.0052171,-82.36022873,102.0400774,129.6276193,28.93375188,45.44244029,135.1105233,125.438463,70.41181211,26.4726259,20.41930009,-136.930167,-6.501758431,-68.57927059,85.83525412,67.82404798,-14.77622066,82.31709787,144.8360308,48.76884207,-56.82190335,91.96241591,22.73780619,26.98601781,156.2778649,-20.92268952,59.47130737,22.1015986,-15.67276955,5.157548573,-38.61037021,-52.9588005,-126.644792,-3.256444332,103.1593887,-110.5450067,-22.1690641,11.25921635,-104.5036212,-34.02865122,-56.73680815,-138.9208844
