pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160
0.001,567.4501454,-580.952907,121.8878219,204.9139379,595.9712202,-403.8381354,-516.1497656,157.5154261,43.40783743,117.0305454,-241.6730502,-25.00521077,-11.3401692,636.6295899,-258.1166082,-65.48285225,-86.19927297,506.0487148,134.3094856,44.40614181,-86.78957748,-37.76933711,642.5508635,-12.98938751,45.67095081,-331.917874,279.2620444,287.1933428,-363.4455453,-26.2136446,20.22148103,-21.0744749,47.74720125,-198.94977,19.77308972,-194.8927302,-108.1856805,135.8324288,25.67883571,-30.31906628,109.0828612,-97.41662252,43.86279181,208.4387668,59.00190709,-77.11418192,-116.7297865,-101.7368299,87.63613453,179.5137465,134.6236395,246.2997042,55.29224152,-47.03807125,0.327987507,-93.53805492,-6.608421035,139.8400066,99.11394401,11.82503752,-298.7508078,111.4933471,51.43908384,-72.23602381,-40.86103589,-137.1368175,-151.9763512,160.7578787,-129.6295771,0.212204538,10.61586859,21.56988699,-6.746092137,163.4479028,-75.00238547,148.0359258,-98.563295,26.6392525,94.38220852,-44.28323357,14.90653626,30.34869142,-64.19643406,-8.286092861,-15.95754993,-111.3354528,-44.21426095,-103.771175,25.85141122,69.87450099,65.33655596,65.09051879,-39.4025019,34.29767931,40.99546643,-130.2739992,-75.45628519,2.448557743,15.00047765,93.61227631,-13.1084726,83.67405621,-3.87007838,107.286293,-6.850634635,-22.57684695,74.45705052,74.01797419,-3.581421439,-80.70621867,-30.17738559,122.6170826,-4.781230912,-43.89906413,-52.73065267,58.47615825,124.5545556,-60.34017551,42.50854044,-40.46238644,160.9933301,-96.66429013,11.56942771,-15.82770136,60.80344418,-60.19073194,45.75342115,-0.490133446,-48.82205498,-53.06039732,56.07828077,99.17855459,-27.30927921,-19.72171435,151.5350726,-96.07863186,-62.95618464,-3.189009099,-118.1881567,8.779773627,23.62786892,83.60022772,-154.2160073,-25.69566667,-1.023180824,-18.64166623,-37.70261501,-20.72056479,-86.72800822,15.29642693,19.10028808,21.29773525,14.9922738,41.95029865,1.460583065,-89.74430436,-40.14875519,-101.0989025,62.01235608,-63.96236443
0,-413.9467276,68.45130984,-844.0952997,298.1316958,-412.7808932,558.4911492,396.018467,-87.8551938,-114.908784,661.5930948,-269.0675137,494.6092775,-41.59153403,-306.1031003,-165.0538265,-266.0202641,-0.200984035,405.258668,371.5614934,58.70656107,-238.9740041,-452.5213756,137.9490353,122.4174684,-194.7224127,-149.7906098,-176.9360386,350.4236814,366.8497247,126.315691,116.6587255,172.8747911,-64.21641712,-161.4190236,274.7524769,-33.80399654,-37.73139365,-14.64879146,93.97950688,-230.6438197,-287.5011511,-207.1395575,-105.8963933,342.6817404,97.45010413,167.4548808,-157.5526155,-12.30371221,-219.9893391,17.88411741,-49.32760723,-152.6827905,289.5569763,-59.3118171,97.29474987,-12.06890526,116.697649,14.99801934,210.0026253,134.5646192,193.0441061,143.0888419,-111.2421255,83.99723461,57.40266943,104.16751,144.3042244,-4.89083287,71.61782467,164.0996309,101.2108784,-22.7247883,-137.6661983,70.74910181,105.8464568,-19.64384302,173.5344915,-165.514015,151.8364563,-16.0783482,-144.7721814,64.12749455,-8.025247163,109.0327317,-27.51782562,-82.11135545,111.7809257,-144.6133799,-60.73482067,35.72896866,-111.4026712,-26.70137596,140.2280034,-12.94549384,101.080383,148.7895342,40.49932307,-20.20676206,-16.68688253,-116.1997757,31.15030117,2.274809123,39.49956281,52.81971522,-78.13180998,43.29334247,-93.51162874,-78.7348736,-86.57374491,126.7224425,-164.2968664,-16.03475239,-90.75836538,-33.51410099,-89.74485768,54.35449681,53.8343445,-172.6047595,179.3821001,-21.60669559,-3.080692578,23.44306824,-78.6171565,47.38287281,66.50122132,-175.3529242,135.6994491,17.14488131,-6.819872698,202.0280265,11.32289382,-72.3743702,71.97256633,-190.0629421,86.75940854,-139.5585932,43.76379349,-55.8481205,25.9124377,155.08492,66.59343638,31.35668543,77.83173255,52.07122001,-1.353867641,86.29788835,10.90440143,142.1419772,-132.8264234,-158.8923382,31.24621395,-48.45184277,11.19846574,-21.12203381,-154.166946,33.17568307,79.75059076,51.80699369,-76.93711933,58.4826007
0,619.8423503,-700.0774563,-459.4713695,208.4429953,-284.8543899,71.61387819,-123.7178495,-553.098966,36.68883803,-27.5835598,149.0113582,-190.0319663,-18.57197822,-310.3465803,66.69742364,-45.57017409,-266.0848845,55.46173,-262.4345867,-214.641383,-14.53699231,-168.4387248,39.88640754,-151.9797369,123.5045519,116.9397044,-124.9417853,-269.4540459,-275.1104035,129.9955435,-312.8515287,-49.67810448,-271.6718301,-98.12650614,302.101062,105.8067901,89.7448719,74.88709921,145.9485014,4.266118146,-265.913546,135.4389011,75.89182126,-10.55063725,-265.0458351,-4.775561063,156.2091735,-198.3504342,57.1452176,11.84248201,3.907998282,130.8054415,-120.1220862,-122.5394475,-72.44292006,5.548500942,31.64340642,193.8242733,162.7351419,-54.41483189,24.13446239,43.01263787,-29.80283089,-37.95311435,40.43204685,84.84643382,69.4012438,-97.00289089,-72.56802054,33.8446504,-100.7955043,91.92040891,62.78927124,144.9137939,-57.16869678,-26.01799927,-108.7211429,0.777016968,133.8125906,55.63089218,173.2061659,25.86416092,-56.89057181,54.76898546,-97.68307091,-9.244667876,-24.4203398,-68.67755709,-64.16092569,-27.51250631,-13.56458172,64.54921368,9.30459929,50.2021554,-2.793775824,-41.95097541,128.6001121,3.75341851,22.61740649,20.01111193,42.43209487,33.25710358,1.522209445,43.68214605,26.58802018,52.96359569,-72.47644557,89.7401559,-85.3262427,-20.02547202,83.11776591,-24.99523939,13.46850428,-49.26203915,62.34712565,-7.22220143,46.29556175,32.68716372,-56.28098024,40.03956905,-16.39863254,-39.33941881,4.286113322,-8.520612059,9.664916391,1.803819965,4.739052976,104.0171142,47.38530552,-54.75051334,42.65983513,78.11186963,-106.3679772,-18.61329257,12.55169239,-22.41700332,23.64222095,21.67086818,41.88650722,17.4146492,10.68084287,88.75919027,-9.962393195,0.101751601,0.588658862,-27.0454313,40.3709442,17.79702776,73.82180121,-6.861491927,30.94635682,114.1078033,-41.91217441,28.24354869,-54.71622855,15.50250061,12.31123477,19.99306317,-5.108432162,-10.10935447
0,-147.2401512,886.6213073,-197.1330917,329.7344757,813.7849882,-47.82271265,-355.2484749,413.1284357,-392.9549494,394.4787057,287.657947,478.6800193,-792.4160923,47.60934722,303.5034409,-236.5135388,-71.62137773,306.4999654,-145.8718075,28.71328022,398.5463881,291.9878287,286.81712,257.2250117,85.10822308,40.53895211,221.6648447,-221.5279588,110.3789713,10.55293608,-102.2370715,318.4522545,-63.00483611,-28.79385887,-30.93486331,114.9140053,187.3751356,141.2228367,21.71229292,-157.9243306,160.0957058,-73.60761144,-86.43024876,1.416646801,-19.59838871,-121.7436114,-96.55068651,-37.42104288,182.1233205,-93.22165669,-59.92362628,-121.1697921,82.64107909,-154.9306995,102.0720759,-122.8870583,-99.00657039,-217.3834184,120.0886737,-89.01601213,181.0653885,-101.4737455,12.47233927,20.51717125,-2.706225501,118.8493295,-157.8973759,-38.36856529,-55.59578206,3.59717634,106.2479217,11.17154568,101.6150041,7.157142889,-6.658623511,20.09309199,-195.3917524,119.7195377,-21.35283522,-8.611421133,-146.831127,-128.7422047,-43.75412807,39.75895615,33.12809253,99.66391278,-69.77654739,-98.86573623,65.9193216,103.812643,-100.6224405,-8.188788245,-20.76638043,70.82021439,-169.8414271,-10.16028883,114.7194704,34.37831843,-75.40411022,-111.131328,-27.93110999,-13.30790726,-16.83620093,-7.687171511,122.3699344,-125.0280271,26.40552154,66.81989066,62.11264131,-177.5337641,28.56061109,128.0460411,-83.68815338,-118.2799212,-49.18340356,37.80579994,42.8184354,69.8058868,-89.79118975,21.56325247,25.69875122,90.12733056,21.37945443,67.88924023,-74.63958357,-25.5678975,-45.00200357,-33.88747623,-9.119637931,-35.21704685,-89.50384661,31.31099834,25.5260452,-28.25490036,45.54794944,-31.63926979,60.32578259,-168.0687264,2.449775387,37.87233213,-6.582557677,-19.3345137,30.23433763,-20.23198068,78.92204458,-108.2638859,-30.98967371,18.34545419,36.50630125,29.97460372,30.57695889,-48.45706482,-34.58096294,48.04928961,43.34881921,46.03701788,-8.722613709,-29.58094723,-39.69469284,-34.38328249
0,406.5243385,-548.1065832,427.3341533,676.409007,49.45277947,-421.0471423,264.8624244,937.0217267,-722.8340472,-273.5601612,172.8669664,171.9114043,-312.2602867,427.4028303,264.7742435,195.9026897,-96.37986388,13.07566132,36.71420222,-380.6002526,-428.4127243,-273.4999339,-142.4623005,6.381980002,-30.50188305,-44.09973064,-314.7846001,-56.54410859,51.55671067,-307.457747,-145.4110031,206.7901236,237.7218989,-119.125707,143.0776213,-41.56659072,-6.948386127,-109.9281106,231.8127847,-203.6306891,-137.8431715,-110.5038291,99.16988248,-138.096788,-109.5111176,60.01946434,11.20611186,-97.97394138,190.8264695,68.80352775,-118.6102912,78.02319568,73.4363169,76.66786758,-171.7591345,-41.15800388,19.42511896,11.80200159,-78.23116628,-40.9334272,115.83459,-152.9398972,232.5584908,-165.4628832,-1.855783059,-214.7521401,-158.2062021,24.34371036,101.7047355,-24.72966383,61.36749752,16.80162697,-125.2964607,-38.51699922,28.65321314,-85.35671672,-58.21673796,-33.6522281,-64.27330056,123.9243788,-57.8999574,-21.88715947,-117.4104273,-26.59860668,-171.1106328,-163.6580418,17.63194665,39.54753487,-13.87564633,17.16595506,23.64394275,-27.76034198,-35.72110055,16.24642229,77.22701875,56.48259137,-48.99868529,158.2358674,78.0823377,37.0557782,-63.29862866,175.1779126,20.08138478,-8.350544044,-24.3543416,-67.3267026,-44.99379551,139.7403084,101.2256094,-87.34281994,-63.31286255,-90.72225888,-16.52964962,-158.8490037,-108.3767073,-21.8711173,34.47473057,-18.88739193,-126.1836805,-84.79643819,55.66683411,56.30662838,-44.82434972,-3.356989111,33.95642143,61.14900711,39.05993719,50.74875004,30.71830861,4.002071084,136.768755,29.2841659,-14.5328893,27.04139593,20.84703923,-51.76558226,34.73452902,-12.08206137,32.64201162,-81.42956204,-45.63818356,112.3313904,-37.71836551,-20.4086768,-20.90041043,-91.73849178,-89.41956142,4.594294874,8.422202559,-146.6323278,-25.88455309,38.09447844,-46.72909419,-10.26656533,-43.77204943,-39.01264963,22.22586232,-49.19058003,-41.74276241,-36.6861344
0,651.2665041,-619.7100375,-226.6525652,80.29747877,-259.4936336,272.5521964,-173.3621305,-717.9006856,93.56303183,-72.05405075,154.9056237,-153.5983202,-70.20134595,-289.5851216,48.37580754,-283.7666312,-261.0626955,34.80816494,-294.965879,-271.3052148,-45.23100261,-104.7194481,3.062832092,-205.4586143,38.74238253,96.45773475,-92.27196811,-224.2688151,-341.402348,141.5832469,-334.3807377,-2.327811286,-348.3004921,-33.76010499,171.771066,148.8132513,53.24754836,123.2932208,85.05217562,89.76847382,-251.7664081,156.5737952,155.333677,5.550185672,-194.9468188,7.771782501,95.98222652,-182.4621381,-11.6166337,124.339348,-61.5451123,60.63609773,42.35672505,-111.6232913,-137.554147,-12.522306,69.13206163,91.1205957,91.39127888,28.58141653,-58.49917985,35.31395119,25.89072897,23.86401296,61.63766948,20.42749465,-76.83763464,-45.53103232,16.6842759,10.66749505,-44.51305324,36.53217511,67.35801617,154.4488305,-67.09999283,28.86696218,-20.89238156,-6.699039911,11.58110809,31.06839834,-12.25039965,-79.01323107,-42.3580001,69.27423214,-56.71430638,49.76296977,-20.15322886,17.57428186,19.66196094,-42.7514091,-22.05960951,11.27714158,-3.686067903,59.30261121,6.100876862,74.36102252,135.5692541,-60.31044934,78.63524265,-44.67289074,-33.27846713,-3.762004854,185.5873957,6.077747339,27.28545883,-30.90972211,-35.68632372,55.4236657,-86.6474712,-6.460310577,57.81775077,20.43042232,34.75267662,7.158114127,58.58513664,-57.51979874,19.49512245,-101.692314,-73.70520305,-19.24330647,-6.68920097,2.603492599,-76.25753121,115.1871678,-59.66261031,74.05332203,-36.44742604,-14.36667261,41.93016637,-22.60721224,21.40184672,78.29767823,-50.41539657,27.77930035,-51.63641077,-6.624277001,26.24019185,-15.03885805,4.768723226,-57.590747,-35.97373965,14.43976089,11.6914783,-52.33907181,39.38191215,-9.655384997,-65.16665709,-41.67970104,-58.5775632,-16.96739031,39.93080534,-60.68139369,14.92638048,72.04284642,-60.73652905,59.09150568,17.55029094,-4.209700331,-53.88021433,-28.41434515
0,224.6649168,-624.1310322,409.7014504,473.6880164,-78.59783409,-233.4291233,-131.1470045,408.9652844,167.3985803,158.7164912,111.6173822,-675.0672681,290.9363588,567.6312684,270.1299229,-333.6801013,-56.63698192,-42.01686043,491.60476,-171.3946288,57.44628801,-367.8976343,42.65542673,218.7348069,-184.182231,85.47796382,262.3399906,-26.62279282,54.50135734,258.0838292,430.5984135,-237.1868068,174.6795469,-230.7235815,201.0683602,-257.991623,-88.40279149,-223.4843771,119.4186845,41.22448496,157.3975993,-152.2551033,-153.3514414,-224.0010308,239.7536374,-37.76704025,126.6141031,-302.4186091,-192.7374248,-101.0965791,-92.03403288,8.952058065,-243.3591369,164.7698596,-107.3029788,-72.41964978,39.15040153,196.8962934,20.82605234,-221.5248441,-121.8796283,35.48597269,-57.6091099,56.415126,-60.18823125,-200.2671122,16.90801575,14.87737723,89.20590046,63.43945519,176.0924505,1.049573755,-73.82736855,-18.51804734,-16.06319285,-105.3215298,-43.62098912,-200.9226542,-36.87001381,-20.78239712,101.6872299,-62.71326279,44.40204814,-3.739242233,-94.77960736,1.073146544,-75.03140859,-16.67408902,305.1714433,-122.8983223,-0.693681458,-62.38987393,-66.98522459,-103.9101755,13.21037841,142.8311493,141.7453316,2.465337517,-78.12275472,48.90601581,-62.54212168,-72.67782995,-2.874186147,-23.01389764,-30.12656424,-29.51998121,-37.27684187,4.359132445,-23.98453691,21.56646077,-28.87068815,51.13398923,64.4967099,107.6421304,30.18949812,-178.144435,-19.34729465,49.70628543,166.3595881,41.99250669,81.53488791,164.5493174,32.48163279,40.26082056,-110.5285001,20.68011717,29.94332656,-90.20180997,1.31743605,-142.5347088,188.5961716,64.08797885,39.38718293,30.1124791,-21.57255616,37.29991598,-96.93207814,113.1173796,21.68195035,28.31009563,75.64983197,24.17743055,3.443532063,48.93849197,-20.46740068,-48.5129703,84.5937742,-75.95164524,25.45901671,4.609972867,-23.62332197,-32.73707901,68.3660529,81.77879202,48.15446571,-12.23437285,110.0283808,40.4720415,-73.29241073,37.39793319
0.001,-120.459266,-688.4133121,185.7386564,171.665248,624.1617222,-116.9215567,664.6534626,-50.05050893,-114.0451107,-107.053928,-167.5777501,-223.493925,-202.0348066,-413.1743544,125.6797948,497.8512218,296.0546805,-93.9254642,-243.7808893,-35.24870722,-217.6770144,-4.196343656,-237.8646332,139.5024148,533.1451858,187.7165841,220.2792579,-366.2415959,-131.0721343,138.9465853,177.2754714,156.2938192,117.3290157,-38.40301845,195.5865434,-130.4794512,95.76769844,260.1832338,-120.6855404,179.5540235,217.3524319,238.7208754,-99.95245671,237.1003702,-105.0523168,102.7326714,39.48896273,-10.76794953,-50.10780438,-181.7261736,5.059291665,-32.80974611,208.1620797,-48.74609196,-169.9602669,-64.30017734,-186.8971019,-17.6693219,27.94932295,-73.50572692,-5.151493827,15.80189976,-99.12506789,206.8025793,-113.4043422,9.58586842,-42.22448936,-166.7231555,-31.08942646,114.410998,34.53034749,133.3130158,-66.80283193,46.32420494,-80.62312204,-57.11573668,-4.722520244,45.64050742,54.37513923,-84.35575651,-69.85480868,30.1491733,-49.2620516,89.84194723,-26.73976406,-1.328327407,130.6817763,-73.57420551,-4.378209985,138.9374038,-66.21867616,-42.22806016,-60.7889222,-72.33551302,-104.723698,85.62579712,-108.4930022,117.8803093,-184.1933412,4.964493489,106.9734525,-3.307595083,-108.8540651,-10.21942798,17.92583106,-36.16320982,-3.612764615,39.41472926,147.6828968,18.77641772,149.7545837,-61.13221485,-83.96005185,-10.03861923,-21.78485091,40.44783216,68.04618537,38.90173886,239.2027532,-4.270844324,56.96608304,-39.97595719,163.2466116,18.73064871,-28.52770157,-22.31493444,-107.6911038,90.0875103,-44.71650428,-16.4863756,17.79879195,27.94219732,39.41363827,53.85149967,48.89115975,-12.6704719,-34.72139197,-119.7587869,-6.816844598,147.8922697,-6.976474398,-26.03669815,-65.89699695,-30.32679832,-16.6009626,-65.13648116,-100.1638433,-80.80246791,-73.94169655,4.812166264,-69.91140278,135.5347332,-85.34054407,40.61833525,-27.1755474,95.69275011,131.1250868,-66.46007418,110.9899177,52.47773573
0,666.7910225,-225.7022037,273.6940966,218.4463149,89.04248622,100.4615256,264.7994067,646.1319783,-588.8491246,93.62173795,667.4416375,319.4361658,-85.48678503,-348.6245469,72.8459393,70.06116207,-541.2094075,223.1676919,-31.0782458,-628.4517,548.2093299,-581.256953,-473.606151,-306.8470426,-173.4668064,-128.5153886,-321.3943845,284.5436217,175.2733849,58.82438045,162.8980386,-113.0479066,-275.9601244,75.47202933,-75.91048177,235.8490663,-187.8991562,-254.7040089,52.27739698,358.456831,254.7217699,-263.7221797,254.3435687,162.4516058,-7.103779973,152.3137998,3.611292869,-157.2684348,-46.61105572,72.6021634,-155.9719475,89.91882453,128.7263468,-126.6439708,4.385530679,-282.7088082,-48.71768886,-259.3022287,96.3979887,82.58170764,-23.31986001,-49.76080674,-14.17841172,-121.0862013,-66.15768268,77.91494075,-175.5375244,-129.5358402,51.52446574,53.5886604,-7.182870861,106.5214135,-127.8109996,-29.89034565,-54.32737546,250.7241344,-114.9697038,76.49845777,-165.8292377,-169.0240417,45.31485708,90.84584619,168.8653827,87.3885907,78.23433888,33.85567915,101.8046151,91.66272297,119.9642072,-256.8085853,36.04373997,78.70106583,-45.11235849,-181.596208,156.2479066,-80.32748886,75.44434467,85.85341236,-140.822694,124.6785442,-73.18839398,-32.97796384,4.928384404,2.121368424,187.7446463,198.8866914,-7.592350424,-111.1574588,-100.750072,98.49179068,-9.896310973,34.25044408,125.0653725,-119.2845867,31.32520174,33.05787112,-99.31091404,-34.67979996,9.922732234,-33.10963726,-95.07453361,124.5860722,-18.65832621,-105.7339007,-39.88111548,-96.40255938,-86.34188151,122.4489542,-78.61454667,-98.09750399,-41.62288221,48.9551192,-65.89670286,66.58522256,183.447089,-54.13018561,-47.93169397,18.16127272,37.24177414,-90.32782647,88.82323163,15.6254414,12.57560098,-17.56843274,11.70005971,69.68748787,26.75398392,-69.25506846,-105.5997952,189.2253604,56.89444436,-6.930247588,-39.42500279,27.63490764,28.27197041,28.90910858,-47.10662867,-41.80391679,20.6999229,-16.51048179
0,759.0430618,-52.07475634,646.7982467,239.7518189,762.6934674,-246.1366317,-48.91630116,79.53830295,538.3578699,567.3016635,-422.35278,-387.9271401,-477.2055881,129.3264914,314.6027059,-431.6149744,-383.3123067,108.4032251,-166.2093473,-358.6332947,-139.0559904,124.3434299,164.4630745,53.91293487,172.9084212,342.2129876,162.9576503,28.7249878,-307.4960183,-83.94229099,-112.3589006,151.2664642,-73.11351919,-446.1239507,261.7029808,189.2054928,-127.7981931,-123.0778524,-246.3621291,52.49232899,-90.45346784,87.24160852,34.66252993,31.83516737,210.9139181,94.61774495,-87.11100093,163.0343348,-85.93956559,-28.09013821,-39.9744222,67.76141767,135.0424031,142.4162535,-88.77484849,220.859977,30.11193666,331.6551362,50.5399366,-66.77710471,184.1469589,-78.07973029,314.4086725,46.34337251,13.60880049,33.97689686,-165.5464207,-175.2381611,-1.808590683,-28.6595744,-108.3351013,-37.43094594,-44.67103931,136.0067873,76.86309684,25.47884864,130.3212018,163.1153811,124.1400513,-101.5881408,103.9489362,123.9186563,50.44680006,46.95497721,144.0019373,105.7828223,-73.37140043,22.8146339,31.0046724,-140.4569782,1.715733846,-68.97133216,83.4174887,40.5719147,9.597233435,95.2793717,-136.3222964,10.98388042,44.87840993,112.9053107,45.68522716,-118.197149,93.30967776,12.92036984,104.1811095,-55.18120681,44.87929885,44.71309604,-13.58295658,103.1922908,-53.07901229,-84.58278793,-58.27294399,-66.3653681,-48.93721956,-91.62681527,44.63486275,-146.5593419,-7.778290799,59.50891204,91.72068544,-43.37461004,11.62132443,-162.9915452,46.33426981,69.17431839,-23.77904363,94.74120051,-41.08276329,-14.70520178,60.42913164,-77.58880415,-62.31583334,46.50527244,-158.7181212,111.694292,-113.0566874,32.41437008,-22.01778211,36.24509276,-34.1314968,25.78606072,-7.238584857,-22.84613557,40.93667985,-3.477991765,43.08139079,16.51928416,-124.5708119,27.02146931,-12.79500246,-42.06571655,-10.13069397,-110.0862612,101.7163076,-51.85980337,-46.33845082,96.747874,-29.54349436,-109.562845
