pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100
0.001,567.4501451,-580.9529086,121.8878266,204.9139325,595.9712614,-403.8381526,-516.1498069,157.5153938,43.40807758,117.0307504,-241.6729823,-25.00428687,-11.34120228,636.6294023,-258.116724,-65.47938651,-86.20020985,506.0477003,134.3097442,44.40572366,-86.78852524,-37.77342749,642.5571449,-13.00611386,45.68288448,-331.8934013,279.2342909,287.2196224,-363.4341413,-26.18469168,20.21178671,-21.06752055,47.75994768,-198.8435968,19.8950607,-194.8108214,-108.25513,136.1526372,25.64969942,-30.56796445,108.8881742,-97.35939669,43.88618602,209.3062021,58.56492479,-77.35958636,-116.0337184,-101.7031549,86.39593307,179.8039851,134.2437217,247.3476776,56.77800134,-47.68116268,0.731924945,-93.49837004,-7.016575061,140.101632,98.75672974,12.89788132,-291.0627597,105.428089,49.3696102,-76.65504277,-31.09809993,-124.6047183,-140.851647,177.3352448,-129.2452775,33.88464041,-13.44756781,7.847569651,-1.465608639,-174.9580893,-57.82560843,145.4279798,-103.1904031,-9.50634559,-89.80157362,-27.13452184,-1.292588659,27.40070364,46.00969437,12.92429867,77.90348436,-100.9808005,-86.01643778,-135.456418,-50.87308146,3.385740355,31.06080471,-33.15841167,13.06381204,-35.29740857,135.8155582,81.40374427,-16.00913395,25.78808847,-26.01036703,25.09875537
0,-413.9467277,68.45131225,-844.0952916,298.1317084,-412.7808835,558.4912303,396.0183786,-87.85540715,-114.90879,661.5937093,-269.0669605,494.6098021,-41.59392531,-306.1029648,-165.0540872,-266.018276,-0.195854414,405.2658659,371.5582727,58.71078981,-239.0025439,-452.5341913,137.9477435,122.4087339,-194.6947653,-149.7907471,-176.8379981,350.4961086,366.7551805,126.347069,116.5432227,172.682017,-64.34562741,-161.2442786,274.7116188,-33.98072502,-37.5110565,-14.81534888,93.80910165,-231.0657944,-287.2951247,-207.6301764,-106.437059,342.8400607,98.14094173,166.8414704,-157.3714629,-12.05582789,-218.7733685,17.98061478,-47.97309643,-150.6349276,290.1413566,-64.21001263,97.310543,-11.3492398,115.6121406,12.88794294,209.6364424,123.306121,191.6265633,152.6574029,-108.1914268,81.94219135,50.17728121,84.41013256,141.1077786,-28.94009786,38.84797645,-183.4284172,-87.01936948,-36.99179303,133.9209384,-77.8072544,134.2486849,-34.35093421,187.1571526,-163.9961588,-147.4892592,20.21604306,-151.0178953,60.52009292,13.2508732,128.6863467,91.62149681,-1.779210083,54.14365772,-46.95376308,-91.94173103,-85.26281042,11.42666784,65.1888688,98.66129284,74.63800676,-11.36816759,6.304297076,-47.15701556,-24.79091618,-99.51124689,52.08013243
0,619.8423506,-700.0774568,-459.4713696,208.4429868,-284.854356,71.61385747,-123.7178247,-553.0989395,36.68896302,-27.58339669,149.0115228,-190.0316494,-18.5719659,-310.3458823,66.69675361,-45.56946118,-266.0857109,55.46103927,-262.4349082,-214.6437173,-14.54299489,-168.445226,39.88888188,-151.9840379,123.5033787,116.9432134,-124.9355978,-269.4561034,-275.1054013,129.9855716,-312.8478062,-49.6702161,-271.6960314,-98.08459309,302.0833562,105.8025904,89.73669924,75.01419825,146.1188041,4.302448281,-265.9420569,135.1559968,76.01173481,-10.34514363,-265.1992141,-5.037820043,157.1374549,-198.2125449,57.13527938,11.13676241,4.259846389,130.8667133,-119.2812794,-122.6828392,-72.5051473,5.053064074,32.22041375,193.6427826,162.2861244,-57.15211569,24.54590399,44.82417269,-31.93428086,-36.50056229,33.78350145,76.99573875,70.24360187,-108.7003264,-76.05153934,-36.16209029,114.8544983,97.06077613,-81.33938443,-139.4561909,-61.28858305,-11.69321168,-98.88240781,-28.30161381,-104.5720009,104.6303794,143.6362119,6.806936245,95.88089852,61.21837329,71.16574002,49.74704252,-83.50923341,-6.092612144,48.87557925,-54.5565037,17.81605214,-69.40306262,83.50454928,-20.0589661,-86.84509584,86.60486166,16.29782398,1.197895573,3.08756642,54.04656357
0,-147.2401521,886.6213083,-197.1330841,329.7344706,813.7849743,-47.82276256,-355.2484498,413.1284245,-392.9549826,394.4782897,287.6580204,478.680542,-792.41568,47.60915052,303.5029712,-236.5165584,-71.62424608,306.4967245,-145.8714731,28.70854677,398.5444871,291.9914814,286.8172145,257.2211668,85.12752245,40.53166519,221.6396403,-221.5584009,110.4259139,10.58176062,-102.2543146,318.4534787,-62.89005062,-28.86992248,-30.98174066,114.9406589,187.355988,141.3346481,21.72247779,-157.8923488,160.0976151,-73.59251554,-86.25698827,0.898063687,-19.73419218,-121.5445968,-96.87028532,-37.6551805,181.4811882,-92.37327913,-59.03447841,-120.3053856,82.52823879,-154.1811756,101.251308,-122.1242419,-97.76525493,-215.9243626,121.5129675,-91.32712406,178.6867953,-106.577407,0.569908541,19.02872373,7.593100386,138.0809563,-146.2022976,-34.11945697,-61.04146515,-5.555903882,-114.0480869,19.76032087,-100.3388247,16.0060754,-28.08622145,32.92091161,-195.3831004,104.7939565,24.03403274,-56.64481958,-113.5686127,-148.6654953,8.930844817,9.046905782,-114.1953413,10.78685767,-63.83799794,-99.64742086,-102.706286,-38.26039405,-132.9289971,-22.08845138,-21.67103847,-136.5970691,-174.0766326,-69.09676509,-77.97547417,-110.3786752,-4.585433425,49.51194042
0,406.5243384,-548.1065846,427.3341567,676.4089836,49.45277345,-421.0471516,264.862412,937.021693,-722.8336873,-273.560183,172.8672593,171.9115674,-312.2603485,427.4022284,264.7748772,195.9048375,-96.37926186,13.07130595,36.71497974,-380.5926169,-428.4105724,-273.4928872,-142.4484425,6.395478805,-30.48213912,-44.07554084,-314.838269,-56.55037697,51.5819894,-307.4611335,-145.4480617,206.8256866,237.7275779,-119.0023866,143.0397801,-41.49621575,-7.191346861,-109.79965,231.7959258,-203.944821,-138.1375917,-110.6680974,99.13488531,-138.0842943,-109.6735068,59.62183198,10.51360594,-98.20779244,190.3031247,65.41310929,-119.2116758,78.82509201,73.89098138,74.03802636,-171.5132384,-39.95910555,18.17467178,12.81322142,-79.09915277,-43.77257951,116.9430974,-169.3712022,222.9945688,-161.0992806,18.50632542,-202.1113936,-156.8246768,38.68187922,104.8528023,17.49460731,-38.41144491,-7.936274061,113.2684332,40.69441705,22.75190931,-84.9122128,-52.07510078,-19.89336163,79.97090815,81.10866898,-71.62012312,-108.6555763,118.2670926,-66.72849388,207.1058956,-26.18252581,24.82024666,-9.488419191,-45.52682768,-24.68074136,-41.86087233,-23.36312455,8.522654655,83.62614151,-4.008445544,22.13122562,89.7401028,157.5911894,74.0539088,86.87187632
0,651.2665042,-619.710038,-226.6525681,80.29748805,-259.4936172,272.5521586,-173.362069,-717.9006659,93.56292705,-72.05415345,154.9056222,-153.5983588,-70.20129234,-289.5840914,48.37465449,-283.7685606,-261.0657913,34.81078502,-294.9621831,-271.3074112,-45.2331358,-104.7280079,3.06057429,-205.4649336,38.74217873,96.45567754,-92.28463034,-224.282446,-341.4018051,141.5878907,-334.3734371,-2.359856277,-348.3545585,-33.79673929,171.701823,148.7315188,53.20454709,123.4136109,85.31032672,89.93695511,-251.4769164,156.4191427,155.3026748,6.020580944,-195.0519939,7.407687269,96.81505447,-182.8163955,-12.03441379,122.5260073,-62.6949615,60.84559644,42.0126476,-111.2707792,-137.8359109,-13.28843322,69.67750334,92.38359241,91.54202453,28.11733698,-57.20051041,36.2889214,24.59090538,23.45290215,61.99309476,24.38361529,-81.96583627,-45.78737574,11.16749366,-17.91578814,47.26500732,42.11930994,-80.06067967,-157.1058676,-52.08237741,41.58724096,-13.53089515,-17.97975093,-4.940804366,24.1817337,-22.55208966,-113.6873305,38.72458222,30.61524981,-15.15011677,74.92418947,2.138646968,3.679112289,44.83110403,-11.80059254,24.59255855,-60.03420871,42.81475773,-5.30596766,-61.7826051,36.43443992,81.12937505,-53.12402363,55.09237034,117.1035312
0,224.6649184,-624.1310323,409.701445,473.6880503,-78.59789291,-233.4290974,-131.1470439,408.9653914,167.3985122,158.7165877,111.6173633,-675.0680553,290.9378151,567.6307678,270.1323225,-333.6815538,-56.63422933,-42.01840928,491.604713,-171.3912168,57.45721465,-367.891398,42.6489895,218.7503025,-184.2168609,85.46909043,262.2869561,-26.62525499,54.48047508,258.0223592,430.6666273,-237.122322,174.584576,-230.814551,200.9851238,-257.903304,-88.40913351,-223.9342209,119.3919431,41.32811189,157.5057268,-152.304714,-153.7644468,-224.0855899,240.845794,-37.23255905,126.4888058,-302.5678829,-192.821368,-103.6919716,-91.60752802,7.902534087,-244.1854035,163.90875,-107.7115136,-73.31145876,37.9489176,197.7650264,18.27402557,-217.0412335,-120.2828723,39.9942557,-49.26459984,59.68427511,-62.27359361,-212.7953161,5.965140402,26.94030194,84.63980918,-71.31255955,-175.5520409,5.869400214,78.34359729,-3.481685709,-0.695436431,-114.0366807,-28.84946868,-215.5648741,30.35362783,34.46560892,96.34785614,-138.6597396,-48.5882582,-48.45076641,20.16612896,72.23011565,53.10396824,-208.8839585,132.9866319,134.8511331,-8.537819917,-19.06448433,39.13734051,68.54879302,-120.6572307,-140.9087124,52.19736531,-91.15884977,60.13593534,-26.21461466
0.001,-120.459267,-688.4133118,185.7386664,171.6652275,624.1616853,-116.9214817,664.6533951,-50.05076154,-114.0450343,-107.0537209,-167.5780667,-223.4939779,-202.0353881,-413.1758396,125.6823031,497.8546326,296.0570731,-93.92955127,-243.7837127,-35.2482154,-217.6714065,-4.185674176,-237.871484,139.5045808,533.1581696,187.7042088,220.3022665,-366.2472218,-131.0706397,138.9477678,177.2203027,156.3446328,117.4079952,-38.37601586,195.6966709,-130.4737895,95.93123952,259.954789,-121.0250605,178.9976031,216.7503566,238.8660903,-100.0398096,236.6830519,-105.4463866,102.9691404,39.21396679,-10.67369955,-49.84380369,-182.1725086,7.896500466,-33.41982576,208.9169769,-49.62206927,-169.3659823,-63.9626283,-186.7280521,-17.9413818,29.84082679,-73.14245879,-8.690057656,20.35121946,-103.0595231,208.8965301,-123.7971687,5.277569263,-63.41809681,-147.7219913,-56.14852548,-101.7147024,-21.3562162,122.3640346,85.66082663,-63.09620716,-75.27841909,-56.67672401,-16.96559753,27.66989593,-53.17094922,-81.27709851,-79.32844404,47.75612252,74.4709029,136.712879,39.69701144,-19.87905727,84.84464305,-82.15681848,-145.5247192,5.585479066,-152.8783417,44.77555756,-77.56330118,36.54201576,-62.31497076,-130.6601613,-142.027465,63.42473184,-101.6810904,-24.058127
0,666.7910234,-225.7022046,273.6940969,218.4463391,89.04249863,100.4614884,264.7994753,646.132297,-588.8492851,93.62148649,667.4417466,319.4365134,-85.48512839,-348.6250345,72.84489678,70.06243286,-541.2114244,223.1695253,-31.07204677,-628.4518667,548.2128429,-581.2559479,-473.6048645,-306.8259357,-173.480959,-128.5102649,-321.4555043,284.5326074,175.2799395,58.83904029,162.9567379,-113.0532276,-276.0497938,75.51719848,-75.93678233,235.8429407,-188.0041125,-254.8107376,52.44944099,358.527938,255.1202869,-263.6837512,253.7728303,163.0429893,-7.123931816,152.2664081,3.6657062,-158.1423815,-47.24117899,68.71393809,-157.4271796,88.37888947,126.9889282,-128.893835,4.967237418,-281.5154785,-48.81558813,-257.6092483,95.63466253,85.69400977,-24.22605334,-52.05542292,-13.17714001,-117.6323795,-70.11726051,75.49265346,-187.9010969,-101.0494213,36.83895947,-53.82954224,15.61042325,95.88303121,146.9714986,-11.21701778,-33.92448398,271.3465418,-151.6155774,10.92595399,125.6056796,-122.5303873,35.40797294,146.1064877,-214.633168,98.22235359,-69.79117429,91.26315577,129.0217641,-24.26516993,264.6620919,-19.66432529,136.1008373,-33.7824071,13.43843945,168.603856,-58.50878272,4.294957691,-139.587374,68.41816989,119.4395754,-177.9854046
0,759.0430621,-52.07475662,646.7982544,239.7518242,762.6933865,-246.1365991,-48.91639645,79.53876389,538.3579848,567.3023295,-422.3524273,-387.9284218,-477.2056244,129.3252819,314.6062923,-431.6175675,-383.3077447,108.4006828,-166.2179588,-358.6257101,-139.0465208,124.3555528,164.4692525,53.93230755,172.895789,342.1895542,162.9150346,28.74409119,-307.5342259,-84.00312044,-112.2828873,151.3798702,-73.01627094,-446.2137906,261.6661135,189.2340895,-127.6273959,-123.6754619,-246.5677854,52.32931339,-90.56498704,87.01409775,33.9250121,31.32130826,211.6811225,95.79940962,-87.91157479,163.2944405,-83.89226493,-27.22491887,-43.13779999,67.35537195,135.1427014,140.3317633,-88.40896312,221.051277,29.81470403,333.0182874,48.62127899,-67.35870019,174.0496565,-88.01388936,312.1206548,48.33192437,-3.280975029,35.94362126,-184.3357198,-147.745572,3.263346236,29.61672052,87.10298178,-45.76679594,50.71936971,-157.8853784,120.287757,22.29580321,48.01328434,122.6601638,-136.1407449,-35.40080872,94.14870976,121.4522587,-57.98235307,62.58867103,-194.0064271,-28.80708011,-20.2784404,8.821563726,84.90881172,71.43950523,-35.59471268,84.26883841,-46.37611328,42.79355361,86.41049431,11.31211574,96.87709596,-71.08053221,97.14274897,-18.53322579
